planned_decision_id,decision_order,decision_class,phase3a_event_id,pair_id,observational_reference_role,variant_id,matrix_cell_id,window_variant_id,processing_profile_id,external_optimizer_seed,payload_id,payload_logical_sha256,input_n_samples,resolved_decision_status,canary_selection_component,canary_selection_reason
F3ADP000001,1,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000001,F3AC001,W00,P00,0,F3APAY000001,1d02146c8a280c6810f282a46c92a9d46209796954131b2c1022de6e37a3d764,30,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=W00;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3ADP000008,6,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000008,F3AC008,WSm2,P01,0,F3APAY000006,87bd851d7d64b9f3202397f28f5a5492586c3a99e2868c1168de409692c4fafa,32,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WSm2;assigned_profile=P01;lexicographically_smallest_phase3a_event_id
F3ADP000795,477,PRIMARY,F3AE000011,F3AP0006,PUBLISHED_QPP_REFERENCE,F3AV000795,F3AC015,WSm1,P02,0,F3APAY000477,371cc46b082c21106fb7485b5121f702cee5d7efebd015368906b1f4c67859c3,22,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WSm1;assigned_profile=P02;lexicographically_smallest_phase3a_event_id
F3ADP000802,484,PRIMARY,F3AE000011,F3AP0006,PUBLISHED_QPP_REFERENCE,F3AV000802,F3AC022,WSp1,P03,0,F3APAY000484,03935ddb6b9830ce8dfe631063ed8e5e67941263f6d62aaaef71e5c467459409,21,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WSp1;assigned_profile=P03;lexicographically_smallest_phase3a_event_id
F3ADP000185,115,PRIMARY,F3AE000003,F3AP0002,PUBLISHED_QPP_REFERENCE,F3AV000185,F3AC029,WSp2,P04,0,F3APAY000115,6065c5fbde49bdf506ccfe40678ffd27dd60ebec90b13e7c2503fee9093cfe6b,29,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WSp2;assigned_profile=P04;lexicographically_smallest_phase3a_event_id
F3ADP000036,20,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000036,F3AC036,WEm2,P05,0,F3APAY000020,9da6f10c1113fef97d5df6ba3778cc001b6bcd2129a4cd42bd4fa5600aab75c1,28,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WEm2;assigned_profile=P05;lexicographically_smallest_phase3a_event_id
F3ADP000037,21,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000037,F3AC037,WEm1,P00,0,F3APAY000021,6286607a1a41926dceeb1239896b8b4832c7b3fb969e6ebc4632447f35ff9cd9,29,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WEm1;assigned_profile=P00;lexicographically_smallest_phase3a_event_id
F3ADP000044,26,PRIMARY,F3AE000001,F3AP0001,PUBLISHED_QPP_REFERENCE,F3AV000044,F3AC044,WEp1,P01,0,F3APAY000026,6f502edb6b8a66dea1b3861fd34f57a880a381e2e188b58688ff6217e989389d,31,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WEp1;assigned_profile=P01;lexicographically_smallest_phase3a_event_id
F3ADP000831,513,PRIMARY,F3AE000011,F3AP0006,PUBLISHED_QPP_REFERENCE,F3AV000831,F3AC051,WEp2,P02,0,F3APAY000513,03baf34ad3e0763df644c6e4b0228c0fb0abb270ccaf5756d20405b3e62651e0,24,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WEp2;assigned_profile=P02;lexicographically_smallest_phase3a_event_id
F3ADP000838,520,PRIMARY,F3AE000011,F3AP0006,PUBLISHED_QPP_REFERENCE,F3AV000838,F3AC058,WX1,P03,0,F3APAY000520,18bf8a3d87fc83e9eec36f90007b131bdf820e24bd9405a890a130462cb2db8f,23,READY_FOR_AFINO,A_STRUCTURAL_COVERAGE,role=PUBLISHED_QPP_REFERENCE;window=WX1;assigned_profile=P03;lexicographically_smallest_phase3a_event_id
