evidence_id,work_id,version_id,extraction_field,normalized_value,evidence_source_level,source_locator,evidence_paraphrase,verification_status,notes
BAII4E0001,BAIIW0001,BAIIV0002,population_and_sample,"TESS=YES; sample=TESS 20-second-cadence stellar-flare survey, Sectors 27–80; sample_size=1285 flaring stars; flares=3878; QPP_candidates=61 QPPs across 57 stars",ABSTRACT,arXiv abstract,"Available source identifies the observational/sample scope as TESS 20-second-cadence stellar-flare survey, Sectors 27–80; reported scale: 1285 flaring stars, flares: 3878, QPP candidates: 61 QPPs across 57 stars.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0002,BAIIW0001,BAIIV0002,detection_method_and_processing,primary=AFINO Fourier model comparison; additional=ARIMA flare detection; AFINO=YES; wavelet=NO; Bayesian=YES; gaps=NOT_REPORTED,ABSTRACT,arXiv abstract,Available source describes the primary analysis as AFINO Fourier model comparison; additional processing/method information: ARIMA flare detection.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0003,BAIIW0001,BAIIV0002,validation_and_robustness,window=NOT_REPORTED; processing=NOT_REPORTED; injection=NO; ground_truth=NO; selection_function=NO; heldout=NO,ABSTRACT,arXiv abstract,"Available source reports validation/robustness state: window robustness NOT_REPORTED, processing robustness NOT_REPORTED, injection–recovery NO, known ground truth NO, selection-function characterization NO, held-out validation NO.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0004,BAIIW0001,BAIIV0002,reported_conclusions_and_limitations,methodological=AFINO applied to 20-s TESS flares identifies short-period and sub-minute QPP candidates at catalogue scale.; catalog=3878 flares were detected on 1285 stars; 61 QPPs on 57 stars expand the stellar-QPP sample.; validation=No injection–recovery or independent held-out validation is reported in the abstract.,ABSTRACT,arXiv abstract,Authors/source-level conclusions were paraphrased as: AFINO applied to 20-s TESS flares identifies short-period and sub-minute QPP candidates at catalogue scale. Validation context: No injection–recovery or independent held-out validation is reported in the abstract. Limitations: The abstract frames the physical QPP mechanism as debated; detailed selection-function performance is not reported.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0005,BAIIW0002,BAIIV0004,population_and_sample,TESS=YES; sample=High-cadence CHEOPS and TESS sample of late-K and M stars; sample_size=130 stars; flares=NOT_REPORTED; QPP_candidates=NOT_REPORTED,ABSTRACT,arXiv abstract,"Available source identifies the observational/sample scope as High-cadence CHEOPS and TESS sample of late-K and M stars; reported scale: 130 stars, flares: NOT_REPORTED, QPP candidates: NOT_REPORTED.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0006,BAIIW0002,BAIIV0004,detection_method_and_processing,primary=Dedicated flare-morphology analysis; additional=Cadence comparison; QPP search not fully specified in abstract; AFINO=NO; wavelet=NOT_REPORTED; Bayesian=NOT_REPORTED; gaps=NOT_REPORTED,ABSTRACT,arXiv abstract,Available source describes the primary analysis as Dedicated flare-morphology analysis; additional processing/method information: Cadence comparison; QPP search not fully specified in abstract.,VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0007,BAIIW0002,BAIIV0004,validation_and_robustness,window=NOT_REPORTED; processing=YES; injection=NO; ground_truth=NO; selection_function=NO; heldout=NO,ABSTRACT,arXiv abstract,"Available source reports validation/robustness state: window robustness NOT_REPORTED, processing robustness YES, injection–recovery NO, known ground truth NO, selection-function characterization NO, held-out validation NO.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0008,BAIIW0002,BAIIV0004,reported_conclusions_and_limitations,"methodological=High-cadence observations reveal flare morphology that is partially lost at lower cadence.; catalog=Multi-peak events are at least ~30% of detected outbursts in the sample.; validation=Cadence-dependent morphology was compared, but no injection–recovery or held-out validation is described in the abstract.",ABSTRACT,arXiv abstract,"Authors/source-level conclusions were paraphrased as: High-cadence observations reveal flare morphology that is partially lost at lower cadence. Validation context: Cadence-dependent morphology was compared, but no injection–recovery or held-out validation is described in the abstract. Limitations: QPP confirmation is described as tentative; the abstract does not provide the detailed QPP decision rule.",VERIFIED_FROM_AVAILABLE_SOURCE,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0009,BAIIW0003,BAIIV0006,population_and_sample,"TESS=YES; sample=Large TESS flare catalogue with QPP-candidate classification; sample_size=~29,280 flaring stars; flares=208,280; QPP_candidates=10,465 M-star flares with QPP features",ABSTRACT,journal abstract/provider record,"Available source identifies the observational/sample scope as Large TESS flare catalogue with QPP-candidate classification; reported scale: ~29,280 flaring stars, flares: 208,280, QPP candidates: 10,465 M-star flares with QPP features.",VERIFIED_WITH_SOURCE_ACCESS_LIMITATION,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
BAII4E0010,BAIIW0003,BAIIV0006,detection_method_and_processing,primary=Fully convolutional neural-network QPP classifier; additional=Machine-learning flare catalogue construction; AFINO=NO; wavelet=NOT_REPORTED; Bayesian=NOT_REPORTED; gaps=NOT_REPORTED,ABSTRACT,journal abstract/provider record,Available source describes the primary analysis as Fully convolutional neural-network QPP classifier; additional processing/method information: Machine-learning flare catalogue construction.,VERIFIED_WITH_SOURCE_ACCESS_LIMITATION,No long verbatim quotation retained. Fields not resolved from the available source remain explicitly NOT_REPORTED.
