work_id,method_name_or_family,baii_priority,directly_tests_qpp_or_upstream_flare_detection,code_or_procedure_available,requires_training,requires_new_labels,decision,rationale,secondary_analysis_role
BAIIW0004,Morlet continuous wavelet transform,MUST_ADDRESS_BEFORE_F3A_FREEZE,DIRECT_QPP,NOT_REPORTED,NO_OR_NOT_REQUIRED,NO,CITATION_AND_POSITIONING_ONLY,"Direct QPP wavelet comparator, but BAII does not establish an implementation/code and significance-threshold contract sufficiently harmonized for a frozen secondary execution without introducing new design degrees of freedom.","Discuss as direct QPP-method comparator and motivate why F3A primary inference is robustness of the frozen AFINO reference under perturbations, not cross-method accuracy."
BAIIW0023,DNN / Random Forest / XGBoost flare identification,MUST_ADDRESS_BEFORE_F3A_FREEZE,UPSTREAM_FLARE_OR_VALIDATION,NOT_REPORTED,YES,YES_IF_IMPLEMENTED,CITATION_AND_POSITIONING_ONLY,"Upstream flare-catalogue construction is relevant to source-universe dependence, but F3A freezes an external primary catalogue rather than rebuilding flare detection.",Cite in cohort-source limitation/positioning; no rerun of DNN/RF/XGBoost flare detection.
BAIIW0024,Three-state hidden Markov model with celerite baseline,MUST_ADDRESS_BEFORE_F3B_FREEZE,UPSTREAM_FLARE_OR_VALIDATION,NOT_REPORTED,NO_OR_NOT_REQUIRED,NO,DEFER_TO_F3B,HMM/celerite plus known-truth injection-recovery is primarily a validation architecture and would mix F3A observational robustness with F3B ground-truth questions.,Carry to F3B signal/background and selection-function design.
BAIIW0037,Time-varying harmonic trend + ARMA/GARCH flare detection,MUST_ADDRESS_BEFORE_F3A_FREEZE,UPSTREAM_FLARE_OR_VALIDATION,NOT_REPORTED,NO_OR_NOT_REQUIRED,NO,CITATION_AND_POSITIONING_ONLY,"Alternative trend/ARMA-GARCH event construction is a processing precedent upstream of the frozen source catalogue, not a required primary perturbation of F3A light curves.",Cite when bounding processing robustness; do not rebuild source flare detection.
BAIIW0098,Fully convolutional neural network (FCN) QPP classifier,MUST_ADDRESS_BEFORE_F3A_FREEZE,UPSTREAM_FLARE_OR_VALIDATION,NOT_REPORTED,YES,YES_IF_IMPLEMENTED,DEFER_TO_F3B,The FCN is a direct QPP classifier but transfer/retraining and synthetic-label architecture introduce training/ground-truth decisions outside F3A. Primary F3A labels remain independently frozen from BAIIW0001.,Use as external-label context where deterministic cross-match exists; any trained benchmark belongs to F3B or a separately frozen secondary study.
BAIIW0145,flatwrm2 LSTM flare detection,MUST_ADDRESS_BEFORE_F3A_FREEZE,UPSTREAM_FLARE_OR_VALIDATION,NOT_REPORTED,YES,YES_IF_IMPLEMENTED,CITATION_AND_POSITIONING_ONLY,Alternative LSTM TESS flare catalogue informs upstream catalogue dependence but does not provide the primary QPP reference-label structure needed for F3A.,Cite as upstream selection context; no catalogue reconstruction.
BAIIW0147,Wavelet-based denoising + flare detection,MUST_ADDRESS_BEFORE_F3B_FREEZE,DIRECT_QPP,NOT_REPORTED,NO_OR_NOT_REQUIRED,NO,DEFER_TO_F3B,Wavelet denoising plus injection-recovery is principally relevant to known-truth recovery/selection-function questions and is not directly transferable as a TESS QPP primary comparator.,Carry to F3B methodological context.
BAIIW0149,ardor multitier flare-detection pipeline,MUST_ADDRESS_BEFORE_F3A_FREEZE,UPSTREAM_FLARE_OR_VALIDATION,NOT_REPORTED,NO_OR_NOT_REQUIRED,NO,DEFER_TO_F3B,The pipeline's injection tests and completeness/false-selection handling are validation/selection-function considerations; changing the F3A parent flare universe would conflate upstream selection with QPP robustness.,Carry to F3B and cite in F3A limitations.
BAIIW0154,Logistic regression + FRED template flare detection,MUST_ADDRESS_BEFORE_F3B_FREEZE,UPSTREAM_FLARE_OR_VALIDATION,NOT_REPORTED,NO_OR_NOT_REQUIRED,NO,DEFER_TO_F3B,Template/logistic detection with injection-recovery is an external validation analogue rather than a direct observational QPP robustness comparator.,Carry to F3B validation design.
BAIIW0156,flarenet 1D convolutional neural network,MUST_ADDRESS_BEFORE_F3B_FREEZE,UPSTREAM_FLARE_OR_VALIDATION,NOT_REPORTED,YES,YES_IF_IMPLEMENTED,DEFER_TO_F3B,"CNN flare detection with synthetic injections, threshold and gap/quality handling primarily informs upstream selection-function and known-truth design.",Use for F3B; F3A retains its explicit no-gap-fill admissibility contract.
BAIIW0168,VAE surrogate + Celerite + HMM additive Bayesian flare model,MUST_ADDRESS_BEFORE_F3A_FREEZE,UPSTREAM_FLARE_OR_VALIDATION,NOT_REPORTED,NO_OR_NOT_REQUIRED,NO,CITATION_AND_POSITIONING_ONLY,Bayesian GP/HMM modeling is a concrete processing alternative but implementation complexity would introduce a second scientific model family rather than a focused perturbation of the frozen F2 matrix.,Cite as processing-model context; no implementation in F3A v1.
