requirement_id,requirement_category,source_work_ids,source_evidence_ids,issue,why_it_matters,current_f3a_reference,required_design_question,must_resolve_before_f3a_freeze,resolution_status,allowed_resolution_types,prohibited_shortcut
F3AR001,COHORT_UNIVERSE,BAIIW0001;BAIIW0003;BAIIW0023;BAIIW0145,BAII4E0001;BAII4E0002;BAII4E0003;BAII4E0004;BAII4E0009;BAII4E0010;BAII4E0011;BAII4E0012;BAII4E0025;BAII4E0026;BAII4E0027;BAII4E0028;BAII4E0113;BAII4E0114;BAII4E0115;BAII4E0116,Catalogue-scale TESS flare/QPP populations already exist at multiple cadences and scales.,F3A cannot define its contribution merely as scaling QPP analysis to a larger TESS catalogue; the cohort universe must be chosen for a distinct robustness question.,"Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.","Which source catalogue(s), cadence regime, sectors, target classes and observational strata define the prospective F3A cohort, and why is that cohort appropriate for the robustness question rather than a duplicate catalogue exercise?",YES,OPEN_FOR_F3A_DESIGN,PROSPECTIVE_COHORT_DEFINITION;BOUNDED_SCOPE_JUSTIFICATION;EXTERNAL_CATALOG_SELECTION,Do not justify the cohort by claiming catalogue-scale TESS QPP work does not already exist.
F3AR002,CATALOG_SOURCE,BAIIW0001;BAIIW0003;BAIIW0023;BAIIW0145,BAII4E0001;BAII4E0002;BAII4E0003;BAII4E0004;BAII4E0009;BAII4E0010;BAII4E0011;BAII4E0012;BAII4E0025;BAII4E0026;BAII4E0027;BAII4E0028;BAII4E0113;BAII4E0114;BAII4E0115;BAII4E0116,Different published TESS catalogue-construction pipelines produce materially different flare universes.,Upstream catalogue construction can change the events available for QPP classification and therefore the apparent robustness sample.,Catalogue-scale observational robustness extending the frozen ten-event F2 pilot to a substantially broader prospectively defined observational cohort.,"Will F3A freeze an existing catalogue, construct a new flare universe, or compare catalogue sources; and what provenance contract prevents upstream selection from being conflated with QPP robustness?",YES,OPEN_FOR_F3A_DESIGN,FREEZE_EXISTING_CATALOG;PROSPECTIVE_RECONSTRUCTION;PREDECLARED_MULTI_CATALOG_SENSITIVITY,Do not select a catalogue after seeing F3A outcomes.
F3AR003,EVENT_SELECTION,BAIIW0023;BAIIW0145;BAIIW0149,BAII4E0025;BAII4E0026;BAII4E0027;BAII4E0028;BAII4E0113;BAII4E0114;BAII4E0115;BAII4E0116;BAII4E0121;BAII4E0122;BAII4E0123;BAII4E0124,Automated flare-detection and vetting pipelines encode target/event-selection choices before QPP analysis.,F3A event eligibility and duplicate/repeated-observation handling must be independent of the eventual robustness result.,"Event eligibility, cohort construction, inclusion/exclusion, duplicate handling and provenance/selection of QPP-labelled or comparison events must be defined prospectively; candidate discovery is not authorized.","What exact eligibility, duplicate handling, repeated-sector treatment and flare-event provenance rules are frozen before execution?",YES,OPEN_FOR_F3A_DESIGN,PREDECLARED_ELIGIBILITY;PREDECLARED_DUPLICATE_POLICY;PREDECLARED_OBSERVATION_ROLE,Do not use F3A output to discover or promote candidate events into the cohort.
F3AR004,QPP_REFERENCE_LABELS,BAIIW0001;BAIIW0003;BAIIW0098,BAII4E0001;BAII4E0002;BAII4E0003;BAII4E0004;BAII4E0009;BAII4E0010;BAII4E0011;BAII4E0012;BAII4E0097;BAII4E0098;BAII4E0099;BAII4E0100,"Included literature uses both AFINO and neural-network QPP classifications, while observational labels are not physical truth.",F3A needs an independent reference-label/provenance contract and must distinguish robustness of a classifier from validation against known truth.,"QPP-labelled/comparison-event provenance and selection rules must be independent of the F3A output; F3A cannot establish physical truth, sensitivity/specificity, observational false-positive rate or true-negative status.","Which QPP-labelled and comparison events are admissible as observational references, how are conflicting labels handled, and which classifier(s) are baseline versus comparator?",YES,OPEN_FOR_F3A_DESIGN,INDEPENDENT_REFERENCE_LABELS;PREDECLARED_BASELINE_CLASSIFIER;PREDECLARED_COMPARATOR_SET,Do not treat observational non-selection as a true negative or catalogue labels as physical ground truth.
F3AR005,WINDOW_ROBUSTNESS,BAIIW0004,BAII4E0013;BAII4E0014;BAII4E0015;BAII4E0016,"QPP conclusions can depend on explicit window/detrending choices, and wavelet analysis provides a concrete alternative window-sensitive procedure.",Temporal-window dependence is already a recognized methodological dimension and cannot be left implicit.,Temporal-window dependence is a primary observational-robustness dimension; future F3A must freeze temporal-window perturbations rather than silently inherit the F2 grid.,"Which temporal-window perturbations are scientifically meaningful, how are they generated, and what summary defines classification robustness across them?",YES,OPEN_FOR_F3A_DESIGN,PREDECLARED_WINDOW_GRID;PHYSICALLY_MOTIVATED_WINDOW_SET,Do not inherit the F2 window grid silently or tune windows after seeing catalogue results.
F3AR006,PROCESSING_ROBUSTNESS,BAIIW0024;BAIIW0037;BAIIW0168,BAII4E0029;BAII4E0030;BAII4E0031;BAII4E0032;BAII4E0057;BAII4E0058;BAII4E0059;BAII4E0060;BAII4E0141;BAII4E0142;BAII4E0143;BAII4E0144,"Alternative baseline, detrending and stochastic-process models can change flare/event representations.",F3A explicitly targets dependence on processing choices; literature provides concrete alternatives that must at least be considered.,Dependence on processing choices is a primary observational-robustness dimension; processing profiles must be explicitly frozen prospectively.,"Which processing profiles are part of the frozen robustness matrix, which are out of scope, and what scientific rationale governs that boundary?",YES,OPEN_FOR_F3A_DESIGN,PREDECLARED_PROCESSING_PROFILES;JUSTIFIED_EXCLUSION_OF_COMPARATORS,Do not add or remove processing profiles after observing which ones preserve QPP selections.
F3AR007,QUALITY_GAPS,BAIIW0156;BAIIW0145,BAII4E0133;BAII4E0134;BAII4E0135;BAII4E0136;BAII4E0113;BAII4E0114;BAII4E0115;BAII4E0116,"Quality filtering, gap filling and input admissibility can be explicit parts of automated flare pipelines.",F3A must keep inadmissible/failed inputs separate from non-selection and prospectively define missingness handling.,Admissibility and failed/missing execution handling must remain explicit; input inadmissibility is not non-selection. The future design must freeze an admissibility contract and missingness/failed-execution handling.,"What TESS quality flags, gap thresholds/filling policies and failed-execution states are admissible, and how are they represented in denominators?",YES,OPEN_FOR_F3A_DESIGN,ADMISSIBILITY_CONTRACT;PREDECLARED_GAP_POLICY;EXPLICIT_FAILED_EXECUTION_STATE,Do not recode inadmissible or failed executions as QPP negatives.
F3AR008,NUMERICAL_STABILITY,BAIIW0190;BAIIW0001,BAII4E0157;BAII4E0158;BAII4E0159;BAII4E0160;BAII4E0001;BAII4E0002;BAII4E0003;BAII4E0004,"AFINO is an automated model-comparison implementation, but the software record does not establish optimizer uniqueness or seed stability.",The project already separates classification robustness from numerical optimization behavior; the catalogue-scale design must retain that separation.,"Classification robustness and optimizer behaviour are separate evidence planes. Optimizer-seed policy and numerical diagnostics must be frozen; warnings, bounds, convergence limitations and numerical multiplicity remain reportable. Stable classification does not demonstrate a unique numerical optimum.","What optimizer-seed policy, warnings/bounds/convergence diagnostics and numerical multiplicity summaries will be frozen for F3A?",YES,OPEN_FOR_F3A_DESIGN,PREDECLARED_SEED_POLICY;NUMERICAL_DIAGNOSTIC_CONTRACT,Do not interpret stable classification alone as proof of a unique numerical optimum.
F3AR009,COMPARATOR_STRATEGY,BAIIW0004;BAIIW0023;BAIIW0024;BAIIW0037;BAIIW0098;BAIIW0145;BAIIW0147;BAIIW0149;BAIIW0154;BAIIW0156;BAIIW0168,BAII4E0013;BAII4E0014;BAII4E0015;BAII4E0016;BAII4E0025;BAII4E0026;BAII4E0027;BAII4E0028;BAII4E0029;BAII4E0030;BAII4E0031;BAII4E0032;BAII4E0057;BAII4E0058;BAII4E0059;BAII4E0060;BAII4E0097;BAII4E0098;BAII4E0099;BAII4E0100;BAII4E0113;BAII4E0114;BAII4E0115;BAII4E0116;BAII4E0117;BAII4E0118;BAII4E0119;BAII4E0120;BAII4E0121;BAII4E0122;BAII4E0123;BAII4E0124;BAII4E0129;BAII4E0130;BAII4E0131;BAII4E0132;BAII4E0133;BAII4E0134;BAII4E0135;BAII4E0136;BAII4E0141;BAII4E0142;BAII4E0143;BAII4E0144,BAII.4 identified 11 sufficiently defined methodological comparator candidates.,F3A must decide prospectively which comparators are necessary to support the robustness claim and which are positioning-only or reserved for F3B.,The F3 comparison reference does not freeze a final comparator set.,"Which of the 11 candidates must be implemented, benchmarked, cited only, or explicitly deferred to F3B, and what decision rule justifies each choice?",YES,OPEN_FOR_F3A_DESIGN,IMPLEMENT_COMPARATOR;POSITIONING_ONLY;DEFER_TO_F3B;JUSTIFIED_EXCLUSION,Do not equate BAII consideration priority with automatic adoption.
F3AR010,POSITIONING,BAIIW0001;BAIIW0003,BAII4E0001;BAII4E0002;BAII4E0003;BAII4E0004;BAII4E0009;BAII4E0010;BAII4E0011;BAII4E0012,Catalogue-scale TESS QPP analysis and TESS catalogue QPP classification already appear in the included literature.,The future contribution must be framed around the project-specific robustness design rather than catalogue scale or TESS/QPP usage alone.,BAII.4 prospective F3A role and overlap assessment.,What exact bounded contribution can F3A claim after distinguishing it from existing catalogue-scale TESS QPP and machine-learning classification work?,YES,POSITIONING_ONLY,BOUNDED_CONTRIBUTION_STATEMENT;PRECEDENCE_SAFE_WORDING,"Do not use first-study, no-previous-work or scooped language."
