requirement_id,requirement_category,baii_issue,design_resolution,resolution_artifact,resolution_locator,scientific_rationale,remaining_limitation,resolution_status
F3AR001,COHORT_UNIVERSE,Catalogue-scale TESS flare/QPP populations already exist at multiple cadences and scales.,Freeze BAIIW0001 (20-s TESS Sectors 27-80) as the sole parent catalogue; primary strata are all source QPP-selected references plus a deterministic 1:1 matched sample from source non-selected flares.,cohort_contract.yaml,parent_catalogue; reference_event_population; comparison_event_population,Keeps F3A a robustness stress test of an independently defined source population rather than a new catalogue-construction exercise.,Event-level source table/schema and archive mapping must be physically verified in F3A.2; failure blocks materialization.,RESOLVED_FOR_F3A_DESIGN
F3AR002,CATALOG_SOURCE,Different published TESS catalogue-construction pipelines produce materially different flare universes.,Use one external frozen source catalogue (BAIIW0001); do not rebuild flare detection or switch catalogues based on F3A outcomes. BAIIW0003 is secondary reference context and BAIIW0023/0145 are positioning-only.,catalogue_source_decision.csv,decision column; exactly one PRIMARY_COHORT_SOURCE,Separates upstream catalogue construction from the QPP-classification robustness question and avoids post hoc source selection.,The event-level catalogue artifact must be located/checksummed in F3A.2.,RESOLVED_FOR_F3A_DESIGN
F3AR003,EVENT_SELECTION,Automated flare-detection and vetting pipelines encode target/event-selection choices before QPP analysis.,"Freeze deterministic source identity, duplicate/repeated-sector handling, all-source QPP inclusion, and 1:1 matched non-selected sampling before light-curve execution.",cohort_contract.yaml,event_identifier_contract; duplicate_policy; comparison_sampling_policy,"Prevents QPP outcome, admissibility, or later AFINO results from selecting/replacing events.","Exact source field names are deferred mechanically to F3A.2, not scientifically.",RESOLVED_FOR_F3A_DESIGN
F3AR004,QPP_REFERENCE_LABELS,"Included literature uses both AFINO and neural-network QPP classifications, while observational labels are not physical truth.",Primary observational labels come from BAIIW0001 and remain non-ground-truth. External labels are separate annotations; conflicts are flagged and never resolved from F3A output.,reference_label_policy.json,allowed_project_reference_roles; conflict_policy,Directly resolves BAII's classifier/provenance concern without turning observational non-selection into truth.,Cross-match availability for BAIIW0003 is optional secondary context and cannot alter primary membership.,RESOLVED_FOR_F3A_DESIGN
F3AR005,WINDOW_ROBUSTNESS,"QPP conclusions can depend on explicit window/detrending choices, and wavelet analysis provides a concrete alternative window-sensitive procedure.","Deliberately reuse all 13 frozen F2 temporal perturbations exactly, declared prospectively, with seed 0 and no data-driven addition/removal.",robustness_matrix.csv,all 78 rows grouped by window_variant_id,Tests scale generalization of the F2 robustness phenomenon with a prespecified complete window family.,Source window markers must map deterministically to native cadences in F3A.2.,RESOLVED_FOR_F3A_DESIGN
F3AR006,PROCESSING_ROBUSTNESS,"Alternative baseline, detrending and stochastic-process models can change flare/event representations.",Deliberately reuse the six F2 processing profiles exactly; no new BAII comparator enters the 78-cell primary matrix.,robustness_matrix.csv,processing_profile_id P00-P05; changes_from_f2=NONE,Preserves a confirmatory connection to F2 while avoiding post-result profile tuning and scope expansion.,Alternative processing methods remain documented comparator/positioning context.,RESOLVED_FOR_F3A_DESIGN
F3AR007,QUALITY_GAPS,"Quality filtering, gap filling and input admissibility can be explicit parts of automated flare pipelines.","Freeze the F2 admissibility principles: no interpolation/gap filling/silent reindexing; explicit QUALITY policies; inadmissible, incomplete numerical and baseline mismatch states remain separate from non-selection.",phase3a_protocol.md,Admissibility and baseline-reproduction sections,Keeps denominators auditable and prevents missing/failed inputs from becoming observational negatives.,Exact product availability is resolved during F3A.2 without changing the scientific rule.,RESOLVED_FOR_F3A_DESIGN
F3AR008,NUMERICAL_STABILITY,"AFINO is an automated model-comparison implementation, but the software record does not establish optimizer uniqueness or seed stability.",Primary matrix uses seed 0; numerical stability is separately frozen to W00/P00 with external seeds 0-9 for every eligible cohort event and explicit BIC/period/payload/warning/bounds/convergence diagnostics.,numerical_stability_protocol.json,scope; external_optimizer_seeds; diagnostics_required,Scales numerical auditing without multiplying the 78-cell scientific matrix and preserves the distinction between stable classification and optimizer uniqueness.,Convergence remains whatever the execution can audit; absence of unique-optimum evidence is not repaired post hoc.,RESOLVED_FOR_F3A_DESIGN
F3AR009,COMPARATOR_STRATEGY,BAII.4 identified 11 sufficiently defined methodological comparator candidates.,"Resolve all 11 BAII candidates prospectively: none enters the primary 78-cell matrix; direct/upstream methods are either citation/positioning or deferred to F3B according to whether they require training, known truth, injection-recovery or a new scientific model family.",comparator_decisions.csv,11 decision rows,Avoids automatic adoption while documenting every BAII comparator and preventing unplanned method additions after results.,No secondary implementation is authorized in design v1; any future implementation requires a versioned amendment before its results are inspected.,RESOLVED_FOR_F3A_DESIGN
F3AR010,POSITIONING,Catalogue-scale TESS QPP analysis and TESS catalogue QPP classification already appear in the included literature.,"Freeze the bounded contribution: catalogue-scale robustness of independently defined observational QPP classifications under prospectively specified perturbations; prohibit priority, validation, correction and first-study wording.",phase3a_protocol.md,Positioning and interpretation boundaries,Distinguishes F3A from existing TESS/QPP catalogues by its robustness question rather than by priority.,Bibliographic novelty remains explicitly unassessed.,RESOLVED_POSITIONING_ONLY
