limitation_id,category,description,source_artifact,effect_on_claims,mitigation_already_applied,remaining_requirement
L001,COHORT_SCOPE,Cohorte de 10 eventos y 5 parejas.,fase2_tarea05_observational_robustness_audit.json,Limita generalización y precisión de cualquier afirmación observacional.,Claims restringidos a la cohorte congelada.,Validación externa o held-out para generalización.
L002,DEPENDENCE_STRUCTURE,"Ventanas, perfiles y seeds son medidas repetidas dentro de eventos.",fase2_tarea05_observational_robustness_audit.json,Impide tratar 780 variantes como observaciones independientes.,Resúmenes por evento y contrastes emparejados.,Diseños inferenciales jerárquicos solo en una fase futura prerregistrada.
L003,GROUND_TRUTH,Ausencia de ground truth observacional y físico independiente.,fase2_tarea05_observational_robustness_audit.json,"Bloquea sensibilidad, especificidad, FPR y verdad física.",Roles descritos como construcción de cohorte.,Benchmark independiente con etiquetas justificadas o ground truth sintético para una corrección.
L004,INPUT_ADMISSIBILITY,266 variantes primarias fueron inadmisibles.,fase2_tarea05_observational_robustness_audit.json,Reduce denominadores elegibles y condiciona comparabilidad.,Inadmisibilidad separada de no selección.,Mantener denominadores y razones explícitas en el manuscrito.
L005,PROCESSING_SCOPE,Perfiles limitados a los seis contrastes prerregistrados.,fase2_tarea01_processing_profiles.csv,No cubre todas las políticas de preprocesamiento plausibles.,No se añadieron perfiles post hoc.,Prerregistrar cualquier perfil adicional en una fase futura.
L006,BASELINE_FIELDS,"F2.1 no congeló BIC individuales M0, M1 y M2 del baseline.",fase2_tarea05_observational_robustness_audit.json,Impide una comparación independiente congelada de cada BIC baseline.,"Se verificaron clasificación, deltas, centro M1 y etiqueta.",Congelar BIC individuales antes de una futura replicación.
L007,TEMPORAL_CONTRACT,El control externo mediana/rfftfreq no coincide con AFINO 0.5 media/fftfreq positivo.,fase2_tarea03_observational_runner_validation_audit.json dentro del paquete F2.3,Obliga a separar el control prerregistrado de la convención implementada.,Validación temporal dual y limitación documentada.,Describir con precisión la convención AFINO 0.5 en métodos.
L008,CONVERGENCE,convergence_status permanece NOT_AUDITABLE.,fase2_tarea04_full_execution_audit.json,Bloquea afirmar convergencia demostrada.,Estado conservado en todas las filas.,Instrumentación de convergencia explícita en una futura versión.
L009,NUMERICAL_DIAGNOSTICS,Warnings y bounds frecuentes en M2.,fase2_tarea04_full_execution_audit.json,Exige cautela al interpretar BIC y parámetros M2.,"Resumen por modelo, perfil, rol y ventana.",Investigar causalidad solo en un estudio separado y prerregistrado.
L010,NUMERICAL_DIAGNOSTICS,Bounds frecuentes en M1.,fase2_tarea04_full_execution_audit.json,Puede limitar interpretación de parámetros y centros formales.,Bounds registrados sin exclusión post hoc.,Evaluar parametrización o bounds en una ruta de corrección independiente.
L011,OPTIMIZER_MULTIPLICITY,Multiplicidad de payloads de parámetros entre seeds.,fase2_tarea05_observational_robustness_report.md,Bloquea unicidad del óptimo numérico.,Separación entre estabilidad de decisión y multiplicidad numérica.,Control de multiplicidad y criterios de convergencia en Fase 3 si se propone corrección.
L012,PERIOD_CONDITIONING,El periodo se evaluó solo cuando baseline y variante permanecieron seleccionados.,fase2_tarea05_observational_robustness_audit.json,La robustez del periodo está condicionada a supervivencia de clasificación.,Centros no seleccionados separados.,"Mantener esta condición en abstract, resultados y discusión."
L013,DISCOVERY_SCOPE,Candidate discovery permaneció bloqueado.,fase1_tarea14_phase1_decision.json,No hay evidencia de rendimiento en descubrimiento.,Cohorte cerrada y sin eventos nuevos.,Nuevo prerregistro antes de cualquier búsqueda de candidatos.
L014,IMPLEMENTATION_SCOPE,Una única versión y commit de AFINO.,fase2_tarea04_full_execution_audit.json,Resultados no generalizables automáticamente a otras versiones.,Commit y paquete congelados.,Replicación cruzada si una futura versión modifica el método.
L015,PIPELINE_REPRODUCTION,Adaptador TESS privado y pipeline completo de autores no reconstruidos.,fase1_tarea14_phase1_synthesis_report.md,"La reproducción es efectiva, no documentalmente completa.",Lenguaje de baseline efectivo y alcance limitado.,Información adicional de autores o documentación pública equivalente.
L016,SYNTHETIC_TO_OBSERVATIONAL,Los resultados sintéticos no son métricas de rendimiento observacional.,fase1_tarea14_phase1_evidence_ledger.csv,Bloquea trasladar synthetic false selection o detectabilidad a FPR o sensibilidad TESS.,Planos de evidencia separados.,Held-out con ground truth apropiado para claims de rendimiento.
L017,CORRECTION_VALIDATION,No existe regla correctiva prerregistrada ni benchmark held-out.,fase2_tarea05_observational_robustness_audit.json,Bloquea afirmar una corrección validada.,Corrección separada de manuscrito de robustez.,Ruta B completa de Fase 3.
L018,DATA_REUSE,Los diez eventos F2 no pueden servir simultáneamente para diseñar y validar una regla nueva.,Decisión documental F2.6 basada en F2.5 y principios de separación confirmación–exploración.,Evita validación post hoc circular.,F2.5 reservado como evidencia descriptiva del baseline congelado.,Datos held-out independientes para la corrección.
