parameter_id,parameter_name,evidence_plane,distribution_or_grid,minimum,maximum,units,transform,primary_or_secondary,source_artifacts,scientific_rationale
F3BD001,true_period_s,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION;PERIOD_RECOVERY;SELECTION_FUNCTION,LOG_UNIFORM_CONTINUOUS_CONDITIONAL_ON_duration_s/period_s>=3,40,300,s,log,PRIMARY,F3B1_MENTOR_SPEC_PERIOD_SUPPORT_40_300_S;F1SRC001,Uses the reviewer-mandated frozen AFINO primary support of 40–300 s while retaining the F1 prospective minimum-cycle admission rule; not every duration-period pair is admissible.
F3BD002,qpp_fraction_of_flare_envelope,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION;SELECTION_FUNCTION,"DISCRETE_SET[0.01,0.02,0.04]",0.01,0.04,fraction,identity,PRIMARY,F1SRC001;F1SRC002,Exact F1 stationary-QPP signal-strength grid; peak periodic excess is qpp_fraction × flare_peak_excess.
F3BD003,qpp_coherence_regime,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION;SELECTION_FUNCTION,FIXED[FULL_WINDOW_STATIONARY_NO_EXTRA_DAMPING],,,category,categorical,PRIMARY,F1SRC001;F1SRC003,Primary family is a fixed-frequency sinusoid with envelope modulation only; a finite damping-Q/width parameter is not part of the primary truth model.
F3BD004,n_samples,INPUT_ADMISSIBILITY;SELECTION_FUNCTION,"DISCRETE_SET[15,30,60,120]",15,120,samples,categorical_ordered,PRIMARY,F1SRC001;F1SRC002,Exact validated F1 core sampling-length grid; avoids extending the generator to unvalidated lengths without a source.
F3BD005,duration_s,INPUT_ADMISSIBILITY;SELECTION_FUNCTION,"DERIVED_SET[280,580,1180,2380]_FROM_(n_samples-1)*20",280,2380,s,identity,PRIMARY,F1SRC001;F1SRC002,Exact F1 durations implied by the fixed 20-s cadence and the validated n_samples grid.
F3BD006,red_noise_alpha,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION;SELECTION_FUNCTION,"DISCRETE_SET[0,1,2]",0,2,dimensionless,identity,PRIMARY,F1SRC001;F1SRC003,"Exact F1 Fourier-synthesis spectral slopes, spanning white-spectrum through strong red-noise cases."
F3BD007,red_noise_sample_std,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION;SELECTION_FUNCTION,FIXED[0.005],0.005,0.005,relative_flux,identity,PRIMARY,F1SRC001;F1SRC003,Exact F1 per-realization post-standardization noise normalization; retained rather than inventing an unsupported amplitude interval.
F3BD008,independent_white_noise_std,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION;SELECTION_FUNCTION,FIXED[0],0,0,relative_flux,identity,PRIMARY,F1SRC001,"F1 explicitly excluded a separate photometric white-noise component; alpha=0 remains the white-spectrum background case. This is a stated realism limitation, not an inferred observational noise floor."
F3BD009,cadence_s,INPUT_ADMISSIBILITY;SELECTION_FUNCTION,FIXED[20],20,20,s,identity,PRIMARY,F1SRC001;F1SRC003,Exact F1/TESS 20-s cadence continuity and the cadence assumed by the frozen baseline support.
F3BD010,flare_peak_excess,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION;SELECTION_FUNCTION,FIXED[0.5],0.5,0.5,relative_flux,identity,PRIMARY,F1SRC001;F1SRC003,Exact validated F1 asymmetric-flare amplitude; held fixed to avoid unsupported realism tuning.
F3BD011,flare_peak_index_fraction,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION;SELECTION_FUNCTION,FIXED[0.20],0.20,0.20,fraction_of_N_minus_1,identity,PRIMARY,F1SRC001;F1SRC003,Exact F1 flare-peak placement rule before Python round.
F3BD012,flare_rise_tau_fraction_of_duration,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION;SELECTION_FUNCTION,FIXED[0.04],0.04,0.04,fraction,identity,PRIMARY,F1SRC001;F1SRC003,Exact F1 rise-timescale rule.
F3BD013,flare_decay_tau_fraction_of_duration,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION;SELECTION_FUNCTION,FIXED[0.30],0.30,0.30,fraction,identity,PRIMARY,F1SRC001;F1SRC003,Exact F1 decay-timescale rule.
F3BD014,minimum_cycles_in_window,INPUT_ADMISSIBILITY;PERIOD_RECOVERY,FIXED[3],3,3,cycles,identity,PRIMARY,F1SRC001,Exact F1 positive-period admission rule duration_s / period_s >= 3.
F3BD015,qpp_phase_rad,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION,"UNIFORM_CONTINUOUS[0,2*pi)",0,2*pi,rad,circular,PRIMARY,F1SRC001;F1SRC003,Exact F1 independent phase-generation rule.
F3BD016,gap_quality_regime,INPUT_ADMISSIBILITY,FIXED[CONTIGUOUS_ALL_GOOD],,,category,categorical,PRIMARY,F1SRC001;F3ASRC002;F3ASRC003;F3ASRC004,Primary classifier-performance plane preserves the validated contiguous F1 input; F3A establishes that admissibility must remain a separate outcome.
F3BD017,gap_quality_challenge_regime,INPUT_ADMISSIBILITY,"DISCRETE_SET[ONE_INTERNAL_NONPEAK_SAMPLE_MASKED,PEAK_SAMPLE_MASKED]",,,category,categorical,SECONDARY,F3ASRC002;F3ASRC003;F3ASRC004,"Prospectively bounded structural challenges representing gap/quality-induced inadmissibility. They are methodological stress regimes, not estimates of observational prevalence."
F3BD018,signal_family,SYNTHETIC_GROUND_TRUTH_CLASSIFICATION;PERIOD_RECOVERY;SELECTION_FUNCTION,FIXED[STATIONARY_ENVELOPE_MODULATED_SINUSOID],,,category,categorical,PRIMARY,F1SRC001;F1SRC003;F1SRC004;F1SRC012;F1SRC015,Direct continuity with the validated F1 stationary signal family and the spectral-peak target of the frozen AFINO baseline.
