claim_id,claim_text,status,evidence_basis,required_qualification,allowed_manuscript_wording,prohibited_manuscript_wording,phase3_dependency
M001,El baseline publicado fue reproducido.,SUPPORTED_WITH_EXPLICIT_LIMITATION,E002; E008; E009,Usar 'baseline observacional efectivo congelado' y limitarlo a cinco detecciones y cinco controles.,El baseline observacional congelado reprodujo las diez clasificaciones de la cohorte examinada.,Se reprodujo íntegramente el pipeline privado de los autores.,
M002,AFINO selecciona de forma robusta las cinco detecciones bajo todas las variantes.,NOT_SUPPORTED,E014,Reconocer las 136 pérdidas de selección y que no todas las variantes fueron admisibles.,Las clasificaciones publicadas reproducidas mostraron dependencia de ventana y procesamiento.,Las cinco detecciones fueron robustas a todas las variantes.,
M003,Las clasificaciones publicadas son sensibles a ventana y procesamiento.,SUPPORTED_WITH_EXPLICIT_LIMITATION,E014; E016; E017,"Hablar de la cohorte congelada y de transiciones internas, no de falsos negativos.",Parte de las clasificaciones publicadas reproducidas cambió bajo perturbaciones prerregistradas.,Las pérdidas demuestran que las detecciones publicadas son falsas.,
M004,Los controles emparejados elegibles permanecieron no seleccionados.,SUPPORTED_WITH_EXPLICIT_LIMITATION,E014; E029,Restringirlo al diseño congelado y no llamarlos verdaderos negativos.,No se observaron ganancias respecto a W00/P00 en los controles elegibles de esta cohorte.,Los controles prueban ausencia física de QPP.,
M005,La clasificación fue estable frente a seed externa en W00.,SUPPORTED_NOW,E018,Restringir a 46 variantes W00 elegibles y seeds 0–9.,Las 46 variantes W00 elegibles mantuvieron su clasificación entre diez seeds externas.,El optimizador siempre es estable.,
M006,El óptimo numérico fue único.,PROHIBITED,E019; E027,La evidencia separa clasificación estable y multiplicidad numérica.,stable classification ≠ unique numerical optimum.,La estabilidad entre seeds demuestra un óptimo único.,Requeriría diagnóstico de convergencia y multiplicidad independiente.
M007,El periodo fue estable cuando baseline y variante permanecieron seleccionados.,SUPPORTED_WITH_EXPLICIT_LIMITATION,E024; E025,Indicar que solo se evaluaron 140 filas condicionadas a selección retenida.,"Entre decisiones seleccionadas comparables, el cambio absoluto mediano fue 0,244031 s.",El periodo fue robusto en todas las variantes.,
M008,AFINO ha sido validado observacionalmente.,PROHIBITED,E028; E029; E030; E032,La Fase 2 solo caracteriza robustez interna.,Se caracterizó la robustez de una implementación congelada en una cohorte limitada.,AFINO está validado observacionalmente.,Requeriría validación independiente con población y ground truth adecuados.
M009,Se estimó sensibilidad o especificidad.,PROHIBITED,E030,No existe ground truth observacional independiente.,No se estimaron sensibilidad ni especificidad.,La cohorte permite calcular sensibilidad o especificidad.,Held-out con etiquetas válidas.
M010,Se estableció una tasa observacional de falsos positivos.,PROHIBITED,E020; E030,0/480 es synthetic false selection bajo un generador concreto.,El nulo sintético produjo 0/480 selecciones; no es FPR observacional.,La tasa observacional de falsos positivos es cero.,Ground truth observacional independiente.
M011,Se estableció verdad física de QPP.,PROHIBITED,E029,Rol observacional ≠ ground truth físico.,Se reprodujeron etiquetas publicadas sin establecer verdad física.,Las detecciones contienen QPP físicamente demostradas.,Evidencia física independiente.
M012,Se desarrolló una corrección validada del procedimiento de selección.,REQUIRES_PHASE3,E034,F2.5 no diseñó una regla nueva.,Los resultados motivan una futura ruta de corrección prerregistrada.,La Fase 2 corrigió y validó AFINO.,Ruta B completa con regla previa y held-out independiente.
M013,Un manuscrito metodológico de robustez es defendible.,SUPPORTED_NOW,E001–E034,"Separar reproducción, sintético, robustez, diagnósticos y límites.",La evidencia sustenta un manuscrito de reproducción y robustez con limitaciones explícitas.,El manuscrito demuestra corrección general del método.,
M014,Una variante inadmisible equivale a una no selección.,PROHIBITED,E006; E007,inadmissibility ≠ non-selection.,Las variantes inadmisibles se conservaron fuera del denominador elegible.,Las 266 inadmisibles fueron no detecciones.,
M015,SELECTION_GAINED=0 implica que no existieron transiciones locales 0→1.,PROHIBITED,E015; E016; E017,Las referencias global y locales son distintas.,"No hubo ganancias contra W00/P00, aunque sí transiciones 0→1 en contrastes locales.",Los contrastes locales contradicen el resultado baseline.,
M016,El contrato temporal mediana/rfftfreq coincidió con AFINO 0.5.,NOT_SUPPORTED,E011,Separar el control prerregistrado de la convención observada.,AFINO 0.5 fue coherente con media/fftfreq positivo; el control externo no coincidió.,El control mediana/rfftfreq fue confirmado.,
M017,Warnings y bounds causaron los cambios de clasificación.,PROHIBITED,E026; E027,"Son diagnósticos, no mecanismos causales establecidos.",Warnings y bounds fueron frecuentes y acompañan la interpretación.,Los warnings o bounds explican las pérdidas.,Estudio causal separado y prerregistrado.
