section_id,section_title,purpose,allowed_claim_ids,required_source_ids,evidence_planes,must_state_limitations,prohibited_content
1,Introduction,Frame the TESS-QPP methodological problem and bounded literature positioning.,M1C028,M1S026;M1S027;M1S028;M1S029,M1EP06,BAII scope/access limitations,Unqualified first/priority claims; manuscript results
2,Evidence and analysis architecture,Explain five primary evidence planes plus BAII auxiliary positioning plane.,M1C029,M1S002;M1S015;M1S025;M1S038;M1S048,M1EP01;M1EP02;M1EP03;M1EP04;M1EP05;M1EP06,Truth-condition separation,Collapsing reproduction/robustness/synthetic truth into generic validation
3.1,Frozen AFINO baseline and TESS reproduction,Define frozen implementation and observational reproduction role.,M1C001,M1S001;M1S002;M1S003,M1EP01,F0 scope and unresolved paper-code identity,Physical-truth or observational-accuracy claims
3.2,Synthetic benchmark,Describe frozen F1 synthetic benchmark and nested-support design.,M1C002;M1C003,M1S004;M1S005;M1S006;M1S007;M1S008;M1S009;M1S010;M1S011;M1S012;M1S015,M1EP02,Designed-domain and optimizer limitations,Observational transport
3.3,Observational robustness design,Describe F2 pilot perturbation architecture and reference-label semantics.,M1C004,M1S016;M1S017;M1S018;M1S021;M1S022;M1S025,M1EP03,Observational labels are not truth; repeated-measure denominators,Sensitivity/FPR language
3.4,Catalogue-scale robustness,"Describe F3A catalogue cohort, baseline gate and frozen perturbation design.",M1C005;M1C006;M1C008;M1C009;M1C011,M1S030;M1S031;M1S032;M1S033;M1S034;M1S035;M1S036;M1S038,M1EP04,51/61 mismatch and reference-label boundary,Physical-falsity or observational-performance claims
3.5,Injection–recovery and held-out validation,"Describe F3B DEVELOPMENT/HELDOUT separation, rule gate and single-use HELDOUT.",M1C012;M1C017;M1C018,M1S039;M1S040;M1S041;M1S042;M1S047,M1EP05,Synthetic-domain and single-use boundary,Observational validation/transport
4.1,Reproduction and synthetic behavior,Report frozen F0 reproduction and F1 domain dependence without merging truth conditions.,M1C001;M1C002,M1S001;M1S002;M1S004;M1S005;M1S008;M1S010,M1EP01;M1EP02,Observational vs synthetic distinction,Pooled performance metric
4.2,Pilot observational robustness,Report F2 pilot robustness outcomes.,M1C004,M1S016;M1S017;M1S018;M1S025,M1EP03,Pilot scale; no physical ground truth,Observational accuracy metrics
4.3,Catalogue-scale observational robustness,Report F3A baseline gate and classification robustness.,M1C005;M1C006;M1C008;M1C009,M1S030;M1S031;M1S032;M1S038,M1EP04,Baseline gate and reference-label semantics,False-positive/false-negative interpretation
4.4,Numerical stability,Report F1/F3A bounded numerical stability evidence.,M1C003;M1C011,M1S006;M1S007;M1S011;M1S012;M1S033;M1S038,M1EP02;M1EP04,Convergence/unique-optimum limitations,Unique global optimum claim
4.5,Synthetic-ground-truth classifier performance,Report F3B DEVELOPMENT and independent HELDOUT performance separately.,M1C012;M1C013;M1C014;M1C015;M1C017;M1C018,M1S039;M1S040;M1S041;M1S042;M1S047,M1EP05,No pooling/equivalence; synthetic scope; finite Wilson uncertainty,Observational sensitivity/specificity/FPR
4.6,Held-out selection function and period recovery,Report final HELDOUT selection surface and conditional period recovery.,M1C019;M1C021,M1S043;M1S044;M1S047,M1EP05,Domain conditionality; period metrics conditioned on selection,Universal or observational correction
5.1,What is robust,Synthesize supported robustness statements across planes without denominator pooling.,M1C004;M1C005;M1C008;M1C011;M1C013,M1S025;M1S038;M1S042,M1EP03;M1EP04;M1EP05,Qualitative synthesis only,Pooled F2/F3A/F3B statistic
5.2,What is selection-limited,"Discuss low F3B sensitivity, finite uncertainty and conditional period recovery.",M1C015;M1C016;M1C021;M1C022,M1S042;M1S044;M1S045,M1EP05,Synthetic domain; finite uncertainty,Perfect specificity or high completeness
5.3,Observational versus synthetic evidence,Enforce truth-condition separation and explain F3A mismatch semantics.,M1C007;M1C010;M1C024;M1C029,M1S023;M1S035;M1S037;M1S045;M1S047,M1EP03;M1EP04;M1EP05,Observational reference labels are not truth,Unqualified observational validation
5.4,Why no correction is claimed,State correction NOT_ESTABLISHED and synthetic selection-function boundary.,M1C020;M1C023,M1S043;M1S045;M1S047;M1S048,M1EP05,No observational transport,Validated correction language
5.5,Implications for future population inference,Defer transport/correction to F4+ with explicit assumptions.,M1C025,M1S047;M1S048,M1EP05,"Future work, not present result",Apply F3B selection function directly to TESS population
6,Conclusions,Conclude only with supported cross-plane claims and explicit correction boundary.,M1C001;M1C004;M1C005;M1C012;M1C017;M1C018;M1C023;M1C024,M1S002;M1S025;M1S038;M1S047,M1EP01;M1EP03;M1EP04;M1EP05,No observational validation or correction,Priority claims; observational performance claims
