evidence_id,evidence_plane,claim,source_artifact,source_sha256,source_rows_or_locator,scope,allowed_interpretation,prohibited_interpretation
E3A001,F2_TO_F3A_COMPARISON,The F2 pilot contained 10 events and 5 pairs.,F2SRC001,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,cohort_events; cohort_pairs,F2 pilot scope,Phase 2 was a small observational robustness pilot.,Do not generalize it as a catalogue-scale estimate.
E3A002,INPUT_ADMISSIBILITY,F2 contained 780 planned variants: 514 eligible and 266 inadmissible.,F2SRC001,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,primary_planned_variants; primary_eligible_variants; primary_inadmissible_variants,F2 primary matrix,Inadmissibility is a separate methodological outcome.,Do not recode 266 as non-selection.
E3A003,OBSERVATIONAL_REFERENCE_REPRODUCTION,All 10 F2 W00/P00 baseline classifications matched the frozen baseline.,F2SRC001,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,baseline_rows; baseline_classification_mismatches,F2 baseline,The F2 robustness analysis began from an internally reproduced baseline.,Do not infer physical truth.
E3A004,CLASSIFICATION_ROBUSTNESS,"F2 baseline-relative outcomes were 140 selected-retained, 136 selection-lost, 238 not-selected-retained and 0 selection-gained, plus 266 inadmissible.",F2SRC001,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,baseline_comparison_status_counts,F2 repeated perturbations,F2 shows procedural classification sensitivity among reproduced published-QPP references.,Do not call losses false negatives or 0 gains FPR=0.
E3A005,NUMERICAL_STABILITY,"F2 had 46 W00 stability variants, 460 seed decisions and 0 classification-discordant variants.",F2SRC001,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,stability_variants; stability_decisions_seed_0_to_9; stability_decision_discordant_variants,F2 seed scope,Binary classification was stable across seeds 0–9 in the frozen pilot scope.,Do not infer unique optimizer convergence.
E3A006,PERIOD_ROBUSTNESS,F2 period robustness used 140 selected→selected rows; median absolute change 0.244031 s and maximum 2.714694 s.,F2SRC001,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,period_robustness_rows; period_absolute_change_summary,F2 selected→selected period plane,Period robustness is conditional on retained selection.,Do not extend to losses or inadmissible inputs.
E3A007,INTERPRETATION_LIMITS,"F2 did not establish observational ground truth, AFINO validation, sensitivity, specificity, observational FPR or a validated correction.",F2SRC006,6ac1962077833b08d979b715a52a75a99b1d3a169430ca7abc46d17926eb3ab2,formal Phase-2 decision fields,F2 closure,Phase 2 supported a robustness manuscript while reserving correction for a held-out future route.,Do not upgrade prohibited F2 claims retrospectively.
E3A008,OBSERVATIONAL_REFERENCE_REPRODUCTION,F3A contains 122 events: 61 PUBLISHED_QPP_REFERENCE and 61 PUBLISHED_NOT_SELECTED_REFERENCE.,F3A5SRC001,86958544bd2f8246c79a7b0a75abd1aaf55d6ca2b044c65fa5c34725c2eed2bc,122 baseline rows; observational_reference_role,F3A catalogue cohort,F3A is catalogue-scale relative to F2.,"Roles remain observational, not physical truth."
E3A009,INPUT_ADMISSIBILITY,"F3A retained all 9,516 planned primary variants: 6,422 eligible and 3,094 inadmissible.",F3A5SRC002,950547b4c97b871d8a6015ffaef6a8931252b4fd34d75b3ad00a7c69d85e0526,"materialization_status over 9,516 rows",F3A primary matrix,Inadmissibility remains visible in the planned denominator.,Do not recode inadmissible rows as negative classifications.
E3A010,OBSERVATIONAL_REFERENCE_REPRODUCTION,"F3A baseline gate is 65 concordant, 51 reference-baseline mismatch, 6 input-inadmissible and 0 incomplete-numerical.",F3A5SRC001,86958544bd2f8246c79a7b0a75abd1aaf55d6ca2b044c65fa5c34725c2eed2bc,baseline_gate_state over 122 rows,F3A baseline gate,Catalogue-scale transition claims must be conditioned on baseline reproduction.,Do not hide the 51 mismatches.
E3A011,OBSERVATIONAL_REFERENCE_REPRODUCTION,"Within PUBLISHED_QPP_REFERENCE: 8 concordant, 51 mismatch and 2 inadmissible.",F3A5SRC001,86958544bd2f8246c79a7b0a75abd1aaf55d6ca2b044c65fa5c34725c2eed2bc,role=PUBLISHED_QPP_REFERENCE,F3A QPP-reference baseline,All 51 baseline mismatches are in the published-QPP reference role.,"Mismatch is against the frozen observational state, not physical falsity."
E3A012,OBSERVATIONAL_REFERENCE_REPRODUCTION,"Within PUBLISHED_NOT_SELECTED_REFERENCE: 57 concordant, 0 mismatch and 4 inadmissible.",F3A5SRC001,86958544bd2f8246c79a7b0a75abd1aaf55d6ca2b044c65fa5c34725c2eed2bc,role=PUBLISHED_NOT_SELECTED_REFERENCE,F3A not-selected baseline,Most not-selected references reproduce their observational state at baseline.,They are not physical true negatives.
E3A013,CLASSIFICATION_ROBUSTNESS,"F3A transition counts are 295 SELECTED_RETAINED, 171 SELECTION_LOST, 3,178 NOT_SELECTED_RETAINED and 0 SELECTION_GAINED.",F3A5SRC002,950547b4c97b871d8a6015ffaef6a8931252b4fd34d75b3ad00a7c69d85e0526,classification_transition,F3A baseline-concordant transition scope,Selection losses and retentions are present at catalogue scale.,Do not interpret as sensitivity/specificity/FPR.
E3A014,CLASSIFICATION_ROBUSTNESS,Every F3A transition row has REFERENCE_CONCORDANT baseline.,F3A5SRC002,950547b4c97b871d8a6015ffaef6a8931252b4fd34d75b3ad00a7c69d85e0526,baseline_gate_state on transition rows,F3A transition denominator,Transition interpretation is explicitly conditional on reproduced baseline.,Do not mix mismatch/inadmissible events into transition rates.
E3A015,NUMERICAL_STABILITY,"F3A optimizer scope contains 116 W00/P00 events and 1,160 seed decisions with 0 classification-discordant events.",F3A5SRC004,2f1286e6697b87a7de6ec63c4237f40a4943e3dcb6ad256be1e06cd1a3ee3767,116 rows; seed_count; discordant_vs_seed0_count,F3A seed scope,Binary classification is stable across seeds 0–9 in the frozen stability plane.,Do not infer universal optimizer stability.
E3A016,NUMERICAL_STABILITY,"Each F3A stability event has 10 distinct parameter payloads for M0, M1 and M2 across seeds.",F3A5SRC004,2f1286e6697b87a7de6ec63c4237f40a4943e3dcb6ad256be1e06cd1a3ee3767,unique_parameter_payloads_m0/m1/m2,F3A seed scope,Classification stability coexists with numerical multiplicity.,Do not claim a unique numerical optimum.
E3A017,NUMERICAL_STABILITY,F3A convergence remains NOT_AUDITABLE; M2 retains substantial warnings and bounds.,F3A5SRC006,fd5be4f38e656ed9bcac7c1974e15a40baac2666404880d792e1b89120b847f2,numerical_diagnostics,F3A numerical diagnostics,Warnings/bounds remain interpretation limits.,Do not claim warnings or bounds cause classification transitions.
E3A018,PERIOD_ROBUSTNESS,F3A period plane contains 295 selected→selected comparisons; median absolute change is about 0.216363 s and maximum about 2.714694 s.,F3A5SRC005;F3A5SRC006,b231bab71060bbc4b444a62beafaeb29798e766ba4a09baca14f5a42712dd5f3;fd5be4f38e656ed9bcac7c1974e15a40baac2666404880d792e1b89120b847f2,295 rows; frozen period summary in F3A.5,F3A selected→selected period plane,Conditional period robustness persists at catalogue scale.,No true period is established.
E3A019,F2_TO_F3A_COMPARISON,"The same 13×6 perturbation design underlies 780 F2 variants and 9,516 F3A variants.",F2SRC001;F3A5SRC002,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1;950547b4c97b871d8a6015ffaef6a8931252b4fd34d75b3ad00a7c69d85e0526,frozen planned matrices,Design continuity,F3A is a scale-up of the procedural stress test.,Do not pool denominators across phases.
E3A020,F2_TO_F3A_COMPARISON,QPP-reference selection losses occur in both F2 and F3A frozen transition scopes.,F2SRC001;F3A5SRC002,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1;950547b4c97b871d8a6015ffaef6a8931252b4fd34d75b3ad00a7c69d85e0526,F2 and F3A transition tables,Qualitative continuity,Procedural sensitivity appears at catalogue scale.,F3A does not prove F2 or validate AFINO.
E3A021,F2_TO_F3A_COMPARISON,Neither F2 nor F3A observed a baseline-relative SELECTION_GAINED transition in its frozen not-selected scope.,F2SRC001;F3A5SRC002,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1;950547b4c97b871d8a6015ffaef6a8931252b4fd34d75b3ad00a7c69d85e0526,global W00/P00 transition tables,Phase-specific observational reference scopes,No gains were observed within each defined scope.,Do not state observational FPR=0.
E3A022,INTERPRETATION_LIMITS,The cause of the 51 F3A QPP-reference baseline mismatches is unresolved within F3A.,F3A5SRC001;F3A5SRC007,86958544bd2f8246c79a7b0a75abd1aaf55d6ca2b044c65fa5c34725c2eed2bc;7cb76a82b739546a3a61a71ef0ff7299d77d16b0d7292312e095fe8327394a3f,baseline mismatch records and F3A.5 limitations,F3A closure,The mismatch is a material methodological limitation requiring explicit reporting.,Do not invent a causal explanation or recode as false detections.
E3A023,INTERPRETATION_LIMITS,F2 and F3A denominators are not poolable.,F2SRC007;F3A5SRC007,b2c693c40fd8d29227e4d03837e1901e488624b1dc60d87ca8b5b5461a93303e;7cb76a82b739546a3a61a71ef0ff7299d77d16b0d7292312e095fe8327394a3f,phase scopes and repeated-measures denominators,Cross-phase synthesis,Only qualitative/documentary comparison is permitted.,"Do not calculate pooled rates, p-values or confidence intervals."
E3A024,INTERPRETATION_LIMITS,"F3A does not establish observational ground truth, AFINO validation, sensitivity, specificity, observational FPR, correction or selection function.",F3A5SRC006,fd5be4f38e656ed9bcac7c1974e15a40baac2666404880d792e1b89120b847f2,scientific_boundaries,Phase-3A claim boundary,Robustness characterization is supported while performance validation remains open.,Do not imply validation from catalogue scale alone.
E3A025,INTERPRETATION_LIMITS,The robustness component of Manuscript 1 is supported; its validation/correction component is incomplete.,F2SRC006;F3A5SRC006,6ac1962077833b08d979b715a52a75a99b1d3a169430ca7abc46d17926eb3ab2;fd5be4f38e656ed9bcac7c1974e15a40baac2666404880d792e1b89120b847f2,Phase-2 route decision + F3A scientific boundaries,Manuscript planning,A robustness manuscript component is defensible with explicit limitations.,Do not present the manuscript as complete validation.
