limitation_id,evidence_plane,description,affected_claims,mitigation,remaining_risk,manuscript1_implication,f3b_implication
L3A001,INTERPRETATION_LIMITS,Observational labels are not physical or observational ground truth.,F3A004;F3A005;F3A008;F3A015;F3A016;F3A017,Use reference-state terminology and keep performance metrics prohibited.,Performance interpretation remains blocked.,Robustness manuscript must avoid ground-truth language.,Known-ground-truth validation required.
L3A002,OBSERVATIONAL_REFERENCE_REPRODUCTION,51/61 published-QPP references are baseline mismatches.,F3A003;F3A004;F3A006;F3A013,Condition F3A transitions on REFERENCE_CONCORDANT baseline and report role split.,Major baseline-reproduction limitation remains.,Central limitation in abstract/results/discussion.,Represent baseline mismatch explicitly in F3B design.
L3A003,OBSERVATIONAL_REFERENCE_REPRODUCTION,6/122 events are baseline-input inadmissible.,F3A003;F3A005,Keep inadmissibility separate from mismatch and non-selection.,Baseline scope is incomplete for six events.,Report denominator explicitly.,Represent relevant inadmissibility regimes in F3B.
L3A004,CLASSIFICATION_ROBUSTNESS,Transition denominators are conditional on baseline reproduction.,F3A006;F3A007;F3A013,Only REFERENCE_CONCORDANT rows enter transition claims.,Transition counts are not population performance rates.,Describe conditional denominator.,Define prospective ground-truth metrics separately.
L3A005,OBSERVATIONAL_REFERENCE_REPRODUCTION,Only 8/61 QPP-reference events are baseline concordant.,F3A004;F3A006;F3A013,State the QPP baseline subset before discussing losses/retention.,Catalogue-scale QPP transition evidence is narrower than the published-QPP set.,Avoid generalization to all published QPP references.,Ground-truth validation must not rely on published labels.
L3A006,OBSERVATIONAL_REFERENCE_REPRODUCTION,57 not-selected references are baseline concordant but are not physical negatives.,F3A005;F3A007;F3A008,Use observational-reference language only.,Performance specificity/FPR remain unavailable.,No true-negative terminology.,Use known negatives/synthetic truth in F3B.
L3A007,INPUT_ADMISSIBILITY,"3,094/9,516 planned variants are input-inadmissible.",F3A002;F3A013,Keep all planned variants visible and separate inadmissibility from classification.,Eligible denominators depend on structural input conditions.,Publish counts/reasons.,Represent gap/quality regimes where relevant.
L3A008,CLASSIFICATION_ROBUSTNESS,The 78 cells are repeated measures within events.,F3A006;F3A007;F3A013;F3A014,Do not treat variant rows as independent events.,Simple pooled inferential rates are invalid.,Keep event as repeated-measure unit.,Use appropriate prospective validation unit.
L3A009,INTERPRETATION_LIMITS,No formal hypothesis tests were preregistered or performed in F3A.,F3A013,Keep conclusions descriptive.,No inferential significance claim.,No p-values in Manuscript 1 robustness result.,Define F3B metrics prospectively.
L3A010,INTERPRETATION_LIMITS,No robustness threshold was preregistered.,F3A002;F3A013,Do not label events robust/not-robust post hoc.,No binary robustness classifier exists.,Use descriptive distributions.,Any future rule must be frozen before held-out access.
L3A011,NUMERICAL_STABILITY,Seed analysis is restricted to W00/P00 input-eligible events.,F3A009;F3A010;F3A011,State seed-scope restriction.,Seed result does not cover all 78 cells.,Restrict optimizer claims.,Retain numerical stability as a separate F3B plane.
L3A012,NUMERICAL_STABILITY,Classification stability does not establish a unique optimum.,F3A010;F3A011,Report parameter multiplicity and convergence limit.,Numerical uniqueness remains unresolved.,No unique-optimum language.,Add explicit convergence/multiplicity diagnostics if needed.
L3A013,NUMERICAL_STABILITY,Numerical convergence remains NOT_AUDITABLE.,F3A010;F3A011,Do not equate stable classification with demonstrated convergence.,Optimizer convergence claim unavailable.,Keep limitation explicit.,Instrument convergence prospectively if required.
L3A014,NUMERICAL_STABILITY,M2 warnings and bounds remain substantial at catalogue scale.,F3A011,Treat as diagnostics only.,Potential numerical fragility is not causally attributed.,Report without causal claim.,Investigate only in separate preregistered analysis if needed.
L3A015,PERIOD_ROBUSTNESS,Period analysis is selected→selected only.,F3A012,Condition every period claim on retained selection.,No period inference for lost/inadmissible cases.,State 295-row conditional scope.,Separate period recovery from classification in F3B.
L3A016,INTERPRETATION_LIMITS,F3A uses a single primary catalogue/source.,F3A001;F3A013,Restrict external generalization.,Source-specific limitations remain.,Avoid universal catalogue claims.,Use independent validation sources where appropriate.
L3A017,INTERPRETATION_LIMITS,Results are implementation-specific to frozen AFINO 0.5.,F3A009;F3A015;F3A018,Bind claims to the frozen implementation.,Other versions/configurations are untested.,State implementation identity.,Retain AFINO 0.5 baseline for F3B comparison.
L3A018,F2_TO_F3A_COMPARISON,No BAII external comparator was executed in F3A.,F3A013;F3A018,Keep F3A primary method only.,Comparator-based validation remains absent.,Do not imply comparative superiority.,Resolve deferred comparator decisions before F3B execution.
L3A019,F2_TO_F3A_COMPARISON,F2 and F3A denominators are not poolable.,F3A013;F3A014,Use documentary comparison only.,No pooled rate or inferential combined estimate.,Keep phases separated.,F3B uses its own prospective denominators.
L3A020,INTERPRETATION_LIMITS,Physical inference remains outside F3A.,F3A004;F3A017,Separate observational-reference robustness from physical interpretation.,Physical QPP truth unresolved.,No physical falsity/confirmation claim.,Physical validation would require separate evidence.
L3A021,OBSERVATIONAL_REFERENCE_REPRODUCTION,The cause of the 51 QPP-reference baseline mismatches is UNRESOLVED_WITHIN_F3A.,F3A004;F3A013,Do not invent a post-hoc explanation.,Mechanistic source of mismatch remains unknown.,State unresolved cause.,F3B should avoid using published label as truth and may stratify relevant regimes.
L3A022,INTERPRETATION_LIMITS,Candidate discovery remained outside F3A.,F3A001;F3A018,Keep robustness/validation separate from search.,No discovery performance evidence.,Do not imply candidate-finding capability.,Candidate discovery remains outside initial F3B validation scope.
