claim_id,evidence_plane,claim_text,source_phase,source_artifact,source_locator,source_sha256,evidence_class,scope,allowed_interpretation,prohibited_interpretation
E001,INTERPRETATION_LIMITS,La Fase 1 autorizó robustez observacional limitada sobre diez observaciones congeladas y mantuvo bloqueado el descubrimiento.,F1.14,fase1_tarea14_phase1_decision.json,decision; permitted_next_phase; candidate_discovery_allowed,356504bce1df734bfd5cf01cf1e84211fc5a458f6bf81ddb5458ef0a9166ef1a,PHASE_GATE,Paso de benchmark sintético y baseline efectivo a robustez de la cohorte existente.,La Fase 2 podía estudiar perturbaciones simétricas sobre la cohorte congelada.,La decisión no validaba AFINO ni autorizaba ampliar la cohorte.
E002,OBSERVATIONAL_BASELINE_REPRODUCTION,El baseline observacional efectivo había reproducido cinco detecciones publicadas y conservado cinco controles emparejados no seleccionados.,F1.14,fase1_tarea14_phase1_evidence_ledger.csv,claim_id=C001 y claim_id=C002,ab471a68016c19abb6672be7ab29f1f890d9b9c67dfdf750edfb224afbae975a,OBSERVATIONAL_REPRODUCTION,Cinco detecciones y cinco controles examinados; no el catálogo completo.,Existe una cohorte conocida y reproducible para estudiar robustez.,No equivale a reproducir el pipeline privado completo ni a estimar rendimiento poblacional.
E003,INPUT_ADMISSIBILITY,"F2.1 congeló antes de materializar variantes una cohorte de 10 eventos, 5 parejas, 13 ventanas y 6 perfiles.",F2.1,fase2_tarea01_preregistration_audit.json,cohort_rows; pair_count; window_perturbation_rows; processing_profile_rows,1111b5e060abc4f619f6c7ac01306d423bbc73ae520d8c15e7c31317afdfcf55,PREREGISTERED_DESIGN,Diseño observacional cerrado y simétrico.,Las dimensiones analizadas estaban definidas antes de observar los resultados F2.4.,No se pueden presentar perfiles o ventanas posteriores como confirmatorios.
E004,INTERPRETATION_LIMITS,F2.1 congeló 780 decisiones primarias y separó explícitamente las decisiones de estabilidad.,F2.1,fase2_tarea01_preregistration_audit.json,primary_decision_rows; stability_decision_rows; total_planned_decision_rows,1111b5e060abc4f619f6c7ac01306d423bbc73ae520d8c15e7c31317afdfcf55,PREREGISTERED_DENOMINATORS,Outcomes primarios y estabilidad del optimizador con poblaciones separadas.,Los denominadores principales y de seed son trazables.,Las 414 decisiones de estabilidad no deben mezclarse con las 780 variantes primarias.
E005,INPUT_ADMISSIBILITY,F2.2 materializó las 780 variantes primarias y congeló el plan exacto antes de ejecutar AFINO.,F2.2,fase2_tarea02_variant_materialization_audit.json,materialization_status; primary_variant_rows; exact_executable_decisions,2264522b38cb6ea336518369200b3bce1370876bbe3b63273825cbaba3f7991b,STRUCTURAL_MATERIALIZATION,Materialización reproducible de la cohorte y del plan.,Los resultados posteriores proceden de inputs y trabajos congelados.,No autoriza regenerar variantes tras observar clasificaciones.
E006,INPUT_ADMISSIBILITY,"De 780 variantes primarias, 514 fueron elegibles y 266 inadmisibles.",F2.2/F2.5,fase2_tarea02_variant_materialization_audit.json; fase2_tarea05_observational_robustness_audit.json,eligible_primary_variants; inadmissible_primary_variants; primary_eligible_variants; primary_inadmissible_variants,2264522b38cb6ea336518369200b3bce1370876bbe3b63273825cbaba3f7991b;be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,INPUT_ADMISSIBILITY_RESULT,Cohorte primaria completa con estado explícito por variante.,La elegibilidad debe preceder a cualquier denominador de selección.,Inadmisibilidad no puede recodificarse como no selección.
E007,INPUT_ADMISSIBILITY,"Las 266 inadmisibles se distribuyeron en 142 IRREGULAR_SAMPLING, 98 TOO_FEW_CADENCES y 26 PEAK_REMOVED_BY_QUALITY.",F2.5,fase2_tarea05_observational_robustness_audit.json,inadmissibility_status_counts,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,DESCRIPTIVE_COUNTS,Razones estructurales conservadas para las variantes no ejecutables.,La admisibilidad forma parte del resultado metodológico.,No debe tratarse ninguna razón como evidencia de ausencia física de QPP.
E008,OBSERVATIONAL_BASELINE_REPRODUCTION,Las diez filas W00/P00 seed 0 coincidieron con la clasificación baseline congelada.,F2.5,fase2_tarea05_observational_robustness_audit.json,baseline_rows; baseline_classification_mismatches,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,BASELINE_VERIFICATION,Diez observaciones de la cohorte F2.1.,El análisis de robustez parte de un baseline internamente consistente.,No demuestra equivalencia documental completa con el pipeline de los autores.
E009,INTERPRETATION_LIMITS,"F2.1 no congeló BIC individuales de M0, M1 y M2 para el baseline.",F2.5,fase2_tarea05_observational_robustness_audit.json,baseline_bic_reference_fields_available; baseline_bic_comparison_status,be80d4bcb56199624787bc49ad15a59648cc541d44907c975229967ef74ca3d1,DOCUMENTARY_LIMITATION,"Comparación baseline de clasificación, deltas BIC, centro formal M1 y etiqueta.",Los BIC actuales pueden registrarse como resultados F2.4.,No deben presentarse como valores individuales independientemente congelados en F2.1.
E010,OPERATIONAL_DIAGNOSTICS,"El runner observacional 1.2.0 superó el canary con 84 resultados, reanudación 31+53+0 y seis replays exactos.",F2.3,fase2_tarea03_observational_runner_validation_audit.json dentro de fase2_tarea03_entregables_mentor.zip,canary_result_rows; resume_test.completed_sequence; exact_replay.passed_count,56fc2eb4eec927b6032a991c2c96dc1867da394ef08129f7a774d58f5c417d7c,RUNNER_VALIDATION,Contrato observacional congelado y subconjunto canary.,"El runner es reanudable, idempotente y reproduce exactamente las llamadas auditadas.",El canary no es análisis científico ni autoriza tuning.
