component,effective_value,evidence_class,supporting_tasks,supporting_artifacts,confidence,author_method_confirmed,limitations
AFINO repository and frozen commit,aringlis/afino_release_version @ 6aceac9518fc8056052807e666da9d0c8bebb010; package 0.5; code unmodified,DIRECT_PUBLIC_CODE,F0.2; F0.4; F0.5; F0.10; F0.14,fase0_tarea02_auditoria_afino.md [26558f31ad38f475a0fe4b8078f96cfd1bc6796103e6d5d6073cf4b464efac9d]; fase0_tarea14_environment.txt [011f8ed9d7bd0f339792b2914142e94c4d30dcd4ed76d0cf96ace83fb34c079f],VERY_HIGH,true,"Confirms the public artifact, not that the private TESS wrapper used the identical commit."
M0 formula,exp(a0)*(f/f_min)^(-a1)+exp(a2),DIRECT_PUBLIC_CODE,F0.2,fase0_tarea02_auditoria_afino.md [26558f31ad38f475a0fe4b8078f96cfd1bc6796103e6d5d6073cf4b464efac9d],VERY_HIGH,true,The TESS article did not republish the exact executed parametrization.
M1 formula,M0 plus a normalized Gaussian bump in log-frequency; period = 1/exp(a4),DIRECT_PUBLIC_CODE,F0.2,fase0_tarea02_auditoria_afino.md [26558f31ad38f475a0fe4b8078f96cfd1bc6796103e6d5d6073cf4b464efac9d],VERY_HIGH,true,Exact private TESS wrapper and its full bounds were not published.
M2 formula,"Continuous broken power law plus a positive constant, public bpow_const parametrization",DIRECT_PUBLIC_CODE,F0.2,fase0_tarea02_auditoria_afino.md [26558f31ad38f475a0fe4b8078f96cfd1bc6796103e6d5d6073cf4b464efac9d],VERY_HIGH,true,Functional identity with the model executed for every TESS row is not documented.
Likelihood,-sum(log(model))-sum(power/model),DIRECT_PUBLIC_CODE,F0.2,fase0_tarea02_auditoria_afino.md [26558f31ad38f475a0fe4b8078f96cfd1bc6796103e6d5d6073cf4b464efac9d],VERY_HIGH,true,The public paper describes maximum likelihood but does not publish its TESS wrapper.
Internal temporal normalization,(flux-mean(flux))/mean(flux),DIRECT_PUBLIC_CODE,F0.2,fase0_tarea02_auditoria_afino.md [26558f31ad38f475a0fe4b8078f96cfd1bc6796103e6d5d6073cf4b464efac9d],VERY_HIGH,true,Sensitive to the exact cadence set included in the window.
Hann window,"numpy.hanning(N), applied after internal normalization",DIRECT_PUBLIC_CODE,F0.2,fase0_tarea02_auditoria_afino.md [26558f31ad38f475a0fe4b8078f96cfd1bc6796103e6d5d6073cf4b464efac9d],VERY_HIGH,true,Window changes whenever N or the retained sample sequence changes.
Public FFT and PSD processing,"abs(FFT)^2 on positive frequencies, followed by public mean/std power rescaling",DIRECT_PUBLIC_CODE,F0.2,fase0_tarea02_auditoria_afino.md [26558f31ad38f475a0fe4b8078f96cfd1bc6796103e6d5d6073cf4b464efac9d],VERY_HIGH,true,Absolute spectral normalization is not fully specified in the TESS paper.
Public optimizer machinery,L-BFGS-B and SLSQP; retain the larger log-likelihood; 20 random initializations per call,DIRECT_PUBLIC_CODE,F0.2; F0.5,fase0_tarea02_auditoria_afino.md [26558f31ad38f475a0fe4b8078f96cfd1bc6796103e6d5d6073cf4b464efac9d]; fase0_tarea05_synthetic_model_selection.md [0bee6b63e1ee514527df16f8b36145966c3c0ee3b801dc19f97f3430bcf681ff],VERY_HIGH,true,The exact optimizer/version configuration of the private TESS execution is unknown.
Public BIC implementation,"-2 ln L + k ln n with public k values 2, 5 and 4 for M0, M1 and M2",DIRECT_PUBLIC_CODE,F0.2,fase0_tarea02_auditoria_afino.md [26558f31ad38f475a0fe4b8078f96cfd1bc6796103e6d5d6073cf4b464efac9d],VERY_HIGH,true,The k values are one below parameter-vector lengths; pairwise deltas retain a common-offset cancellation.
