work_id,preferred_version_id,relevance_labels,direct_f3a_overlap,direct_f3b_overlap,catalog_overlap_summary,method_overlap_summary,robustness_overlap_summary,validation_overlap_summary,f3a_design_impact,f3b_design_impact,manuscript1_positioning_impact,comparator_candidate,comparator_candidate_reason,design_issue_description,design_issue_evidence_ids,assessment_status,notes
BAIIW0001,BAIIV0002,DIRECT_F3A_OVERLAP;CATALOG_RELEVANT;DETECTION_METHOD_RELEVANT,DIRECT,CONTEXT_ONLY,"TESS 20-second-cadence stellar-flare survey, Sectors 27–80; reported scale 1285 flaring stars; TESS=YES.",AFINO Fourier model comparison; additional methods: ARIMA flare detection.,Window robustness=NOT_REPORTED; processing robustness=NOT_REPORTED; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_REPORTED.,Synthetic data=NO; injection–recovery=NO; ground truth=NO; selection function=NO; completeness=NO; held-out=NO.,F3A_REDRAFT_REQUIRED,NO_DESIGN_IMPACT,POSITIONING_ONLY,false,NOT_APPLICABLE,"Material catalogue-scale TESS/QPP overlap should be explicitly reconsidered before freezing the F3A contribution, cohort and positioning. The work should be reflected in Manuscript 1 background/positioning without treating this assessment as a novelty verdict.",BAII4E0001;BAII4E0002;BAII4E0003;BAII4E0004,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0002,BAIIV0004,CATALOG_RELEVANT;ROBUSTNESS_RELEVANT,PARTIAL,CONTEXT_ONLY,High-cadence CHEOPS and TESS sample of late-K and M stars; reported scale 130 stars; TESS=YES.,Dedicated flare-morphology analysis; additional methods: Cadence comparison; QPP search not fully specified in abstract.,Window robustness=NOT_REPORTED; processing robustness=YES; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_REPORTED.,Synthetic data=NO; injection–recovery=NO; ground truth=NO; selection function=NO; completeness=NO; held-out=NO.,F3A_DESIGN_ADJUSTMENT_POSSIBLE,NO_DESIGN_IMPACT,POSITIONING_ONLY,false,NOT_APPLICABLE,"A concrete catalogue, processing, robustness or comparator choice from this work should be considered prospectively before F3A freeze. The work should be reflected in Manuscript 1 background/positioning without treating this assessment as a novelty verdict.",BAII4E0005;BAII4E0006;BAII4E0007;BAII4E0008,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0003,BAIIV0006,DIRECT_F3A_OVERLAP;CATALOG_RELEVANT;DETECTION_METHOD_RELEVANT,DIRECT,CONTEXT_ONLY,"Large TESS flare catalogue with QPP-candidate classification; reported scale ~29,280 flaring stars; TESS=YES.",Fully convolutional neural-network QPP classifier; additional methods: Machine-learning flare catalogue construction.,Window robustness=NOT_REPORTED; processing robustness=NOT_REPORTED; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_REPORTED.,Synthetic data=NOT_REPORTED; injection–recovery=NOT_REPORTED; ground truth=NOT_REPORTED; selection function=NOT_REPORTED; completeness=NOT_REPORTED; held-out=NOT_REPORTED.,F3A_REDRAFT_REQUIRED,NO_DESIGN_IMPACT,POSITIONING_ONLY,false,NOT_APPLICABLE,"Material catalogue-scale TESS/QPP overlap should be explicitly reconsidered before freezing the F3A contribution, cohort and positioning. The work should be reflected in Manuscript 1 background/positioning without treating this assessment as a novelty verdict.",BAII4E0009;BAII4E0010;BAII4E0011;BAII4E0012,COMPLETE_WITH_ACCESS_LIMITATION,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0004,BAIIV0008,DETECTION_METHOD_RELEVANT;PHYSICAL_CONTEXT,PARTIAL,CONTEXT_ONLY,Single-star multi-sector TESS time series (GJ 3512); reported scale 1 star; TESS=YES.,Morlet continuous wavelet transform; additional methods: 15-point moving-mean preprocessing; control-star instrumental check; inverse wavelet-band reconstruction.,Window robustness=YES; processing robustness=YES; quality robustness=YES; gap robustness=YES; optimizer stability=NOT_APPLICABLE.,Synthetic data=NO; injection–recovery=NO; ground truth=NO; selection function=NO; completeness=NO; held-out=NO.,F3A_DESIGN_ADJUSTMENT_POSSIBLE,NO_DESIGN_IMPACT,POSITIONING_ONLY,true,The source describes a sufficiently concrete procedure (Morlet continuous wavelet transform) to support a prospective method comparison; incorporation is not decided in BAII.4.,"A concrete catalogue, processing, robustness or comparator choice from this work should be considered prospectively before F3A freeze. The work should be reflected in Manuscript 1 background/positioning without treating this assessment as a novelty verdict.",BAII4E0013;BAII4E0014;BAII4E0015;BAII4E0016,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0006,BAIIV0011,DETECTION_METHOD_RELEVANT;PHYSICAL_CONTEXT,CONTEXT_ONLY,CONTEXT_ONLY,High-speed U-band dM-flare observations; reported scale 157 observed flares; 44 analyzed flares; TESS=NO.,Fourier transform + empirical mode decomposition; additional methods: QPP envelope/amplitude classification.,Window robustness=NOT_REPORTED; processing robustness=NOT_REPORTED; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_APPLICABLE.,Synthetic data=NO; injection–recovery=NO; ground truth=NO; selection function=NO; completeness=NO; held-out=NO.,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,POSITIONING_ONLY,false,NOT_APPLICABLE,The work should be reflected in Manuscript 1 background/positioning without treating this assessment as a novelty verdict.,BAII4E0017;BAII4E0018;BAII4E0019;BAII4E0020,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0008,BAIIV0014,DETECTION_METHOD_RELEVANT;PHYSICAL_CONTEXT,PARTIAL,CONTEXT_ONLY,Review article; reported scale NOT_APPLICABLE; TESS=NOT_APPLICABLE.,"Review of Fourier, wavelet, AFINO and related QPP techniques; additional methods: Comparative solar/stellar QPP synthesis.",Window robustness=NOT_APPLICABLE; processing robustness=NOT_APPLICABLE; quality robustness=NOT_APPLICABLE; gap robustness=NOT_APPLICABLE; optimizer stability=NOT_APPLICABLE.,Synthetic data=NOT_APPLICABLE; injection–recovery=NOT_APPLICABLE; ground truth=NOT_APPLICABLE; selection function=NOT_APPLICABLE; completeness=NOT_APPLICABLE; held-out=NOT_APPLICABLE.,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,POSITIONING_ONLY,false,NOT_APPLICABLE,The work should be reflected in Manuscript 1 background/positioning without treating this assessment as a novelty verdict.,BAII4E0021;BAII4E0022;BAII4E0023;BAII4E0024,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0023,BAIIV0036,CATALOG_RELEVANT;DETECTION_METHOD_RELEVANT,PARTIAL,CONTEXT_ONLY,"TESS 2-min all-sky machine-learning flare catalogue, Sectors 1–72; reported scale 1.3 million light curves; ~18,000 flare stars; TESS=YES.",DNN / Random Forest / XGBoost flare identification; additional methods: Cross-validation against previously reported TESS M-dwarf flares.,Window robustness=NOT_APPLICABLE; processing robustness=NOT_REPORTED; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_REPORTED.,Synthetic data=NOT_REPORTED; injection–recovery=NOT_REPORTED; ground truth=NOT_REPORTED; selection function=YES; completeness=YES; held-out=NOT_REPORTED.,F3A_DESIGN_ADJUSTMENT_POSSIBLE,NO_DESIGN_IMPACT,POSITIONING_ONLY,true,The source describes a sufficiently concrete procedure (DNN / Random Forest / XGBoost flare identification) to support a prospective method comparison; incorporation is not decided in BAII.4.,"A concrete catalogue, processing, robustness or comparator choice from this work should be considered prospectively before F3A freeze. The work should be reflected in Manuscript 1 background/positioning without treating this assessment as a novelty verdict.",BAII4E0025;BAII4E0026;BAII4E0027;BAII4E0028,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0024,BAIIV0038,DIRECT_F3B_OVERLAP;DETECTION_METHOD_RELEVANT;ROBUSTNESS_RELEVANT;SELECTION_FUNCTION_RELEVANT,PARTIAL,DIRECT,Method-development study with simulation/injection-recovery and one TESS example; reported scale 1 TESS example star plus synthetic experiments; TESS=YES.,Three-state hidden Markov model with celerite baseline; additional methods: Simultaneous detrending and flare detection; sigma-clipping comparison.,Window robustness=NOT_APPLICABLE; processing robustness=YES; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_REPORTED.,Synthetic data=YES; injection–recovery=YES; ground truth=YES; selection function=YES; completeness=YES; held-out=NOT_REPORTED.,F3A_DESIGN_ADJUSTMENT_POSSIBLE,F3B_DESIGN_ADJUSTMENT_POSSIBLE,POSITIONING_ONLY,true,The source describes a sufficiently concrete procedure (Three-state hidden Markov model with celerite baseline) to support a prospective method comparison; incorporation is not decided in BAII.4.,"A concrete catalogue, processing, robustness or comparator choice from this work should be considered prospectively before F3A freeze. The reported simulation/injection/selection framework provides a concrete consideration for Phase 3B validation design. The work should be reflected in Manuscript 1 background/positioning without treating this assessment as a novelty verdict.",BAII4E0029;BAII4E0030;BAII4E0031;BAII4E0032,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0025,BAIIV0040,CATALOG_RELEVANT,PARTIAL,CONTEXT_ONLY,Known active M dwarfs plus a volume-limited 15 pc M-dwarf sample; reported scale 538 M dwarfs within 15 pc (276 flaring) plus an active comparison population; TESS=YES.,TESS flare detection and flare-frequency distributions; additional methods: FFD power-law comparison by activity level.,Window robustness=NOT_APPLICABLE; processing robustness=NOT_REPORTED; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_APPLICABLE.,Synthetic data=NO; injection–recovery=NOT_REPORTED; ground truth=NO; selection function=NOT_REPORTED; completeness=NOT_REPORTED; held-out=NO.,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,false,NOT_APPLICABLE,No concrete prospective design change is indicated by the available evidence; the work remains contextual for the frozen comparison dimensions.,NOT_APPLICABLE,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
BAIIW0027,BAIIV0043,CATALOG_RELEVANT,PARTIAL,CONTEXT_ONLY,TESS flaring-star sample with inclination information; reported scale 1510 flaring stars; TESS=YES.,Population flare statistics versus stellar inclination and rotation; additional methods: Spectroscopic crossmatch.,Window robustness=NOT_APPLICABLE; processing robustness=NOT_REPORTED; quality robustness=NOT_REPORTED; gap robustness=NOT_REPORTED; optimizer stability=NOT_APPLICABLE.,Synthetic data=NO; injection–recovery=NO; ground truth=NO; selection function=NOT_REPORTED; completeness=NOT_REPORTED; held-out=NO.,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,NO_DESIGN_IMPACT,false,NOT_APPLICABLE,No concrete prospective design change is indicated by the available evidence; the work remains contextual for the frozen comparison dimensions.,NOT_APPLICABLE,COMPLETE,Prospective overlap/impact assessment only; F3A/F3B are not modified and no novelty claim or final BAII.5 gate decision is made.
