claim_id,claim,status,evidence_ids,required_qualification,allowed_wording,prohibited_wording,phase3b_dependency
F3A001,122 observational reference events were evaluated under the frozen catalogue-scale design.,SUPPORTED_NOW,E3A008,Catalogue-scale observational cohort only.,F3A evaluated 122 observational reference events under the frozen design.,F3A evaluated 122 ground-truth events.,
F3A002,"The primary analysis retained all 9516 planned variants, including 3094 inadmissible inputs.",SUPPORTED_NOW,E3A009,Inadmissibility is not non-selection.,"All 9,516 planned variants remain represented, including 3,094 inadmissible inputs.","The 3,094 inadmissible inputs were negative classifications.",
F3A003,65/122 events reproduced their frozen observational reference state at W00/P00/seed0.,SUPPORTED_WITH_EXPLICIT_LIMITATION,E3A010,Also disclose 51 mismatches and 6 inadmissible baselines.,65 of 122 events were baseline-concordant; the remaining baseline states are reported separately.,Most published QPPs reproduced at baseline.,
F3A004,51/61 PUBLISHED_QPP_REFERENCE events were REFERENCE_BASELINE_MISMATCH.,SUPPORTED_WITH_EXPLICIT_LIMITATION,E3A011;E3A022,"Mismatch is against the frozen reference state, not physical falsity.",51 of 61 published-QPP references did not reproduce their frozen observational state at F3A baseline.,51 published QPP detections were false.,
F3A005,"Among PUBLISHED_NOT_SELECTED_REFERENCE events: 57 were baseline concordant, 0 mismatched and 4 inadmissible.",SUPPORTED_WITH_EXPLICIT_LIMITATION,E3A012,Not-selected references are not physical negatives.,"The not-selected role had 57 concordant, 0 mismatch and 4 inadmissible baselines.",57 true negatives were reproduced.,
F3A006,Catalogue-scale QPP-reference transitions include both selection retention and selection loss.,SUPPORTED_WITH_EXPLICIT_LIMITATION,E3A013;E3A014,Restricted to baseline-concordant transition-eligible QPP references.,Catalogue-scale QPP-reference transitions include retained selections and losses.,Published QPPs have a measured false-negative rate.,
F3A007,"No SELECTION_GAINED transitions occurred within the baseline-concordant, transition-eligible not-selected scope.",SUPPORTED_WITH_EXPLICIT_LIMITATION,E3A013;E3A014,Repeated perturbations of observational references; not ground-truth negatives.,No baseline-relative gains occurred in the defined not-selected transition scope.,The observational false-positive rate is zero.,
F3A008,F3A007 does not establish an observational false-positive rate.,SUPPORTED_NOW,E3A021;E3A024,No independent observational ground truth exists.,Zero gains in the frozen scope are not an observational FPR estimate.,FPR=0.,
F3A009,116/116 W00/P00 eligible events were classification-stable across seeds 0–9.,SUPPORTED_NOW,E3A015,Restricted to the frozen W00/P00 seed grid.,All 116 eligible W00/P00 events retained binary classification across seeds 0–9.,The optimizer is universally stable.,
F3A010,Classification stability does not imply a unique numerical optimum.,SUPPORTED_NOW,E3A016;E3A017,Convergence is not auditable and parameter payloads differ.,Stable classification is distinct from numerical uniqueness.,Classification stability proves a unique optimum.,
F3A011,Numerical multiplicity remains present despite binary classification stability.,SUPPORTED_WITH_EXPLICIT_LIMITATION,E3A016;E3A017,"Different parameter payloads are numerical diagnostics, not proved distinct physical optima.",Ten parameter payloads per model coexist with stable binary classification.,Ten physical optima were found.,
F3A012,Period robustness is conditional on retained selection and comprises 295 comparable rows.,SUPPORTED_WITH_EXPLICIT_LIMITATION,E3A018,Selected→selected only; lost/inadmissible cases excluded by design.,The period plane contains 295 selected→selected comparable rows.,Period was robust for all planned variants.,
F3A013,"The qualitative procedural-sensitivity pattern observed in F2 is also present at catalogue scale, subject to different denominators and baseline reproduction.",SUPPORTED_WITH_EXPLICIT_LIMITATION,E3A020;E3A023,Do not pool F2/F3A and disclose the 51/61 QPP baseline mismatch limitation.,Procedural sensitivity appears both in the pilot and at catalogue scale.,F3A proves F2.,
F3A014,F2 and F3A denominators must not be pooled.,SUPPORTED_NOW,E3A023,Documentary comparison only.,F2 and F3A are compared qualitatively without pooled rates.,Pooled F2+F3A robustness rate.,
F3A015,AFINO has not been observationally validated.,SUPPORTED_NOW,E3A007;E3A024,Robustness characterization is not performance validation.,Phase 3A does not establish observational validation of AFINO.,AFINO is observationally validated.,F3B validation program
F3A016,"Sensitivity, specificity and observational FPR are not established.",SUPPORTED_NOW,E3A007;E3A024,No independent observational ground truth.,"No sensitivity, specificity or observational FPR claim is established.",Sensitivity/specificity/FPR are now known.,F3B known-ground-truth validation
F3A017,Physical QPP truth is not established.,SUPPORTED_NOW,E3A007;E3A024,Observational roles are reference states only.,F3A does not establish physical QPP truth.,51 mismatches disprove physical QPPs.,Independent physical evidence outside F3A
F3A018,A validated correction / selection function requires F3B.,REQUIRES_F3B,E3A026,Freeze development/held-out architecture before execution.,Correction/selection-function validation is deferred to F3B.,F3A already validated a correction.,F3B injection–recovery + held-out
F3A019,"Manuscript 1 retains a supported robustness component, while its validation/correction component remains pending F3B.",SUPPORTED_WITH_EXPLICIT_LIMITATION,E3A025;E3A026,Keep robustness and validation components distinct.,Manuscript 1 can retain the robustness component while validation remains pending.,Manuscript 1 is fully validated.,F3B
F3A020,F3A proves F2.,PROHIBITED,E3A023,Different denominators and a new baseline limitation prevent that synthesis.,F3A extends the procedural stress test and shows a related qualitative pattern.,F3A proves F2.,
F3A021,The observational false-positive rate is zero.,PROHIBITED,E3A021;E3A024,SELECTION_GAINED=0 is not a ground-truth performance metric.,No gains were observed in the defined observational-reference scope.,Observational FPR=0.,
F3A022,The 51 QPP-reference baseline mismatches are false QPP detections.,PROHIBITED,E3A011;E3A022,Mismatch is against frozen reference state; cause and physical truth unresolved.,The 51 mismatches are a baseline-reproduction limitation.,51 false QPP detections.,
F3A023,Catalogue scale validates AFINO.,PROHIBITED,E3A024;E3A026,Scale-up without ground truth is not validation.,Catalogue scale characterizes observational robustness and limitations.,Catalogue scale validates AFINO.,F3B
