limitation_id,category,description,effect_on_gate,mitigation,remaining_risk,manuscript_implication
LIM001,SEARCH_WINDOW,The systematic recent-literature search was bounded to 2024-01-01 through the 2026-08-07 search freeze.,The gate is evidence-based for the frozen window but cannot represent literature outside it exhaustively.,Use bounded wording and preserve the frozen search date.,Relevant earlier or post-freeze work may exist outside the systematic retrieval.,Do not generalize corpus non-retrieval to universal absence.
LIM002,PROVIDERS,"Systematic retrieval used two principal providers, SciX/ADS and arXiv.",Coverage is strong for astrophysics but not logically exhaustive of all indexing systems.,Preserve provider provenance and use only bounded corpus claims.,Relevant records absent from both providers may not have entered the corpus.,Avoid exhaustive priority claims.
LIM003,FROZEN_QUERIES,The corpus depends on the preregistered query families and the v1.1.0 technical SciX date-serialization amendment.,The gate inherits the sensitivity and blind spots of those frozen queries.,Do not retrospectively broaden terms; document missed candidates separately.,Relevant terminology outside the frozen queries may have been missed.,"Describe the audit as systematic under the frozen protocol, not exhaustive of all possible phrasing."
LIM004,BACKGROUND_ONLY,Thirty-three BACKGROUND_ONLY works were outside the 40-work primary structured-extraction denominator.,They provide context but were not subjected to the same full BAII.4 extraction matrix.,Do not mix them into the primary 40-work denominator; cite as context only when needed.,A contextual methodological nuance may not be represented in primary extraction fields.,Keep denominators explicit.
LIM005,SOURCE_ACCESS,Five BAII.4 works retain documented access limitations.,Unresolved details cannot be used as affirmative evidence; BAIIW0003 is therefore interpreted only at the supported catalogue/classifier level.,Use NOT_REPORTED and rely on independently sufficient gate evidence such as BAIIW0001.,"Full-text details could refine, but not currently reverse, some bounded assessments.",Flag access-limited claims and avoid over-specific descriptions.
LIM006,FULL_TEXT_COVERAGE,Only three works were extracted primarily from full text.,Methodological detail is uneven across the corpus.,Restrict strong design claims to evidence explicitly available at the extracted source level.,Some implementation details may remain unresolved.,Do not imply uniform full-text review of all 40 works.
LIM007,ABSTRACT_COVERAGE,Thirty-five works were extracted primarily from abstracts.,Abstracts support high-level scope/method conclusions but may not resolve all validation or numerical details.,Encode unresolved fields as NOT_REPORTED and separate high-level overlap from detailed implementation claims.,Fine-grained comparator feasibility may require later full-text review during design.,Use cautious method-detail wording.
LIM008,SUPPLEMENTAL_CITATION,"One recent citation candidate, arXiv:2602.20402, was discovered outside the frozen systematic route.",It may inform context but cannot alter the 190/40 denominators or become a retrospective systematic hit.,Record it in supplemental_context_registry.csv with denominator effect NONE.,Other citation-chased papers may exist but were not converted into systematic evidence.,Clearly separate systematic and supplemental citations.
LIM009,ABSENCE_INFERENCE,Failure to retrieve an exact precedent cannot be converted into proof that no such literature exists.,Negative priority claims are not authorized.,Phrase negatives as “No included work in Bibliographic Audit II was found to...” when justified.,Unretrieved literature can invalidate universal absence claims.,"Avoid “first”, “no previous study” and equivalent priority language unless independently established later."
LIM010,F3_REFERENCE,"Prospective impact was assessed against the pre-extraction F3 comparison micro-freeze, not a final F3A design.",BAII.5 determines what must be reconsidered before design freeze; it does not adjudicate a final protocol.,Express outputs as open F3A design requirements.,The eventual redesigned F3A may resolve some concerns without implementing every literature method.,Do not present BAII.5 requirements as already adopted methods.
LIM011,NOVELTY,Bibliographic Audit II did not conduct a formal global novelty assessment.,The gate can constrain positioning and design but cannot authorize priority claims.,Set novelty_assessed=false and priority_claim_authorized=false.,A separate broader precedence analysis could alter wording later.,Use bounded contribution statements only.
LIM012,COMPARATOR_ADOPTION,BAII.5 evaluates consideration priority for 11 comparator candidates but does not adopt any comparator.,Method implementation remains a future F3A/F3B design decision.,Set adoption_decision=NOT_DECIDED_IN_BAII for all candidates.,Feasibility/cost may change after implementation review.,Do not describe any comparator as part of the final method until a later design freeze.
LIM013,POST_FREEZE_LITERATURE,Literature appearing after the 2026-08-07 search freeze is not covered systematically.,The decision is frozen to the audit’s temporal scope.,Future literature updates must be handled as a new version/amendment rather than silently editing BAII.,Rapidly evolving methods may produce new relevant work.,State the audit freeze date when making literature-scope statements.
