claim_id,claim_text,status,evidence_ids,allowed_wording,mandatory_qualification,prohibited_wording
C001,F3B establishes synthetic-ground-truth performance for the frozen AFINO 0.5 baseline within the prospectively specified simulation domain.,SUPPORTED_NOW,E001;E006,Phase 3B characterizes synthetic-ground-truth performance of the frozen AFINO 0.5 baseline within the preregistered simulation domain.,Always retain synthetic-domain scope.,AFINO is validated for real TESS populations.
C002,Independent HELDOUT sensitivity is 152/1800 = 0.08444444444444445.,SUPPORTED_NOW,E007,HELDOUT synthetic sensitivity was 152/1800 (0.08444).,State denominator and synthetic HELDOUT scope.,Observational sensitivity is 8.44%.
C003,Independent HELDOUT specificity is 1800/1800 = 1.0 with finite-sample Wilson uncertainty.,SUPPORTED_WITH_EXPLICIT_LIMITATION,E008,No false selections were observed among 1800 HELDOUT synthetic nulls; specificity point estimate was 1.0 with finite-sample Wilson uncertainty.,Give denominator and Wilson interval; do not call it perfect.,Perfect specificity.
C004,No false selections were observed among 1800 HELDOUT synthetic nulls.,SUPPORTED_NOW,E009,Zero false selections were observed in 1800 synthetic null HELDOUT cases.,Observed count only; not a population-rate theorem.,AFINO has an observational FPR of zero.
C005,Observed zero false selections does not imply population FPR = 0.,SUPPORTED_NOW,E009,The finite-sample result remains compatible with a nonzero underlying synthetic-domain FPR.,Retain Wilson uncertainty and synthetic scope.,Population FPR is exactly zero.
C006,The DEVELOPMENT candidate rule was not promoted.,SUPPORTED_NOW,E004,The DEVELOPMENT candidate failed the preregistered specificity-preservation gate and was not promoted.,Do not rescue a runner-up post hoc.,Choose another candidate after seeing HELDOUT.
C007,The final heldout rule remained the preregistered AFINO 0.5 baseline 10/10 rule.,SUPPORTED_NOW,E005,The final frozen rule was delta_BIC01 > 10 AND delta_BIC21 > 10 with strict greater-than comparisons.,State candidate_rule_promoted=false.,The HELDOUT rule was optimized on HELDOUT.
C008,A validated correction was not established.,SUPPORTED_NOW,E018,Phase 3B did not establish a validated observational correction.,Keep NOT_ESTABLISHED explicit.,Phase 3B provides a validated population correction.
C009,The synthetic selection function was characterized on an independent single-use HELDOUT.,SUPPORTED_NOW,E011;E016,The final synthetic selection function is the 156-row independent HELDOUT stratified empirical surface.,No DEVELOPMENT pooling or smoothing.,The final selection function pools DEVELOPMENT and HELDOUT.
C010,The selection function is domain-conditional and is not an observational population correction without transport assumptions.,SUPPORTED_WITH_EXPLICIT_LIMITATION,E011;E018,The HELDOUT surface is conditional on the frozen synthetic design and requires additional transport assumptions before observational use.,Do not transport directly to real TESS populations.,This is the observational TESS selection function.
C011,Period estimates among selected true positives were accurate relative to the much lower selection coverage.,SUPPORTED_WITH_EXPLICIT_LIMITATION,E014;E015,Conditional period-recovery accuracy can be summarized for selected true positives while overall selection coverage remains low.,Period-error summaries are conditional on selection.,Good period recovery implies high QPP sensitivity.
C012,Period accuracy conditional on selection does not imply high QPP recovery sensitivity.,SUPPORTED_NOW,E007;E014;E015,Accurate periods among selected true positives coexist with low overall synthetic QPP selection sensitivity.,Keep conditioning explicit.,Period accuracy demonstrates high detection completeness.
C013,Numerical classification stability on the frozen DEVELOPMENT seed subset does not establish a unique numerical optimum.,SUPPORTED_WITH_EXPLICIT_LIMITATION,E004,The DEVELOPMENT stability exercise is a bounded numerical diagnostic and does not establish optimizer uniqueness.,Do not overstate seed-stability evidence.,The optimizer has a unique global optimum.
C014,Input inadmissibility remains a separate pipeline plane.,SUPPORTED_NOW,E019,Input admissibility and classifier performance remain separate analysis planes.,Do not recode challenge series as FN/TN.,Input-inadmissible challenges are classifier false negatives.
C015,F3B does not establish real-TESS QPP prevalence.,REQUIRES_F4_PLUS,E018,Real-TESS QPP prevalence remains outside Phase 3B.,Requires observational population modeling and transport assumptions.,Phase 3B measures real-TESS QPP prevalence.
C016,"F3B does not establish observational PPV, sensitivity, specificity or FPR.",REQUIRES_F4_PLUS,E002;E003;E007;E008;E009,Reported operating characteristics are synthetic-domain quantities.,Observational performance requires later validation/transport.,"These are observational sensitivity, specificity, PPV or FPR."
C017,F3B does not establish physical QPP truth for observational events.,REQUIRES_F4_PLUS,E018,Synthetic labels provide controlled truth only for the simulation experiment.,Physical truth in observed stars is separate.,F3B proves an observational event physically contains a QPP.
C018,AFINO has not been observationally validated by F3B.,PROHIBITED,E018,Use scoped synthetic-ground-truth characterization language.,Any validation language must specify evidence plane.,AFINO is observationally validated.
C019,The HELDOUT is consumed and cannot be reused for further threshold/rule development.,PROHIBITED,E016,The single-use HELDOUT is closed to further rule development.,Future tuning requires new independent data/design.,Reuse HELDOUT to tune another threshold.
C020,Manuscript 1's synthetic-validation component is now complete.,SUPPORTED_NOW,E017;E020,The synthetic-ground-truth validation component required for Manuscript 1 is complete.,Do not collapse other evidence planes into this statement.,All observational validation is complete.
C021,Manuscript 1 must not claim a validated correction.,SUPPORTED_NOW,E018,Manuscript 1 may report the synthetic selection function but must state that a validated observational correction was not established.,Keep correction claim NOT_ESTABLISHED.,A validated correction has been established.
C022,Population-level correction/transport remains a later F4+ problem.,REQUIRES_F4_PLUS,E018,Population transport and observational correction remain future work beyond Phase 3B.,Requires explicit transport assumptions and later evidence.,Apply the synthetic HELDOUT surface directly as a population correction.
