claim_id,claim_text,status,primary_evidence_plane,supporting_phases,source_ids,allowed_wording,mandatory_qualification,prohibited_wording,target_section
M1C001,The frozen public AFINO baseline can reproduce the five published TESS detections used in F0.,SUPPORTED_WITH_EXPLICIT_LIMITATION,M1EP01,F0,M1S001;M1S002;M1S003,The frozen public AFINO baseline reproduced the five published TESS detections in the F0 reproduction cohort.,Scope to the frozen F0 cohort; paper-code identity remains unresolved.,AFINO is observationally validated or the five detections are physically proven.,4.1
M1C002,"F1 synthetic performance is strongly dependent on the simulated domain, including duration/sampling and signal properties.",SUPPORTED_NOW,M1EP02,F1,M1S004;M1S005;M1S008;M1S010,Synthetic benchmark behavior varies materially across the frozen duration/sampling and signal-property domain.,Keep the designed synthetic domain explicit.,This performance directly describes the real TESS population.,4.1
M1C003,F1 numerical diagnostics show multiple numerical solutions/warnings/bounds without corresponding binary-decision instability in the examined scope.,SUPPORTED_WITH_EXPLICIT_LIMITATION,M1EP02,F1,M1S006;M1S007;M1S011;M1S012;M1S015,Numerical multiplicity and diagnostics coexist with binary-decision stability in the examined frozen F1 scopes.,Do not infer a unique global optimum or auditable convergence.,The optimizer has a unique global solution.,4.4
M1C004,The F2 pilot shows classification sensitivity to prospectively defined methodological perturbations.,SUPPORTED_NOW,M1EP03,F2,M1S016;M1S017;M1S018;M1S025,The F2 observational pilot shows that frozen methodological perturbations can change reference classifications.,Observational reference labels are not physical ground truth.,F2 estimates observational sensitivity or false-negative rate.,4.2
M1C005,F3A extends that robustness experiment to a 122-event observational catalogue-scale cohort.,SUPPORTED_NOW,M1EP04,F3A,M1S031;M1S032;M1S038,F3A extends the prospectively frozen robustness stress test to 122 observational reference events.,Do not pool F2 and F3A denominators.,F3A is a validation dataset with physical labels.,4.3
M1C006,F3A reveals a material baseline-reproduction limitation: 51/61 published QPP references mismatch the frozen W00/P00 baseline.,SUPPORTED_NOW,M1EP04,F3A,M1S030;M1S037;M1S038,"Under the frozen F3A W00/P00/seed0 baseline, 51 of 61 published-QPP references are baseline mismatches.",Cause remains UNRESOLVED_WITHIN_F3A.,51 published QPPs are false detections.,4.3
M1C007,Those 51 mismatches are not evidence that 51 published QPPs are physically false.,SUPPORTED_NOW,M1EP04,F3A,M1S030;M1S035;M1S036;M1S038,"The 51 F3A baseline mismatches are reproduction mismatches, not physical falsifications.","Observational labels are reference states, not physical truth.",51 published QPPs are physically false.,5.3
M1C008,"Among baseline-concordant F3A references, methodological perturbations produce retained and lost QPP selections.",SUPPORTED_NOW,M1EP04,F3A,M1S031;M1S032;M1S038,"Among baseline-concordant QPP references, F3A contains both retained selections and selection losses under frozen perturbations.",Condition on the baseline-concordant transition-eligible scope.,These are observational true positives and false negatives.,4.3
M1C009,No selection gains occurred in the relevant baseline-concordant not-selected F3A scope.,SUPPORTED_NOW,M1EP04,F3A,M1S031;M1S032;M1S038,No baseline-relative selection gains were observed in the relevant baseline-concordant not-selected reference scope.,Repeated perturbations of observational references are not independent known negatives.,Observational FPR is zero.,4.3
M1C010,M1C009 is not an observational FPR estimate.,SUPPORTED_NOW,M1EP04,F3A,M1S035;M1S037;M1S038,"The absence of F3A selection gains is a robustness result, not an observational FPR estimate.",Keep evidence-plane semantics explicit.,F3A establishes observational specificity or FPR.,5.3
M1C011,Binary classification is seed-stable in the frozen F3A stability scope despite numerical multiplicity.,SUPPORTED_WITH_EXPLICIT_LIMITATION,M1EP04,F3A,M1S033;M1S036;M1S038,All 116 input-eligible F3A W00/P00 events preserve binary classification across the frozen seed grid.,Stable classification does not imply unique optimizer convergence.,The optimizer converges uniquely.,4.4
M1C012,F3B provides known synthetic-ground-truth characterization in the preregistered domain.,SUPPORTED_NOW,M1EP05,F3B,M1S039;M1S042;M1S047,F3B provides DEVELOPMENT and independent single-use HELDOUT synthetic-ground-truth characterization within the frozen domain.,Synthetic truth is not observational truth.,F3B observationally validates AFINO.,4.5
M1C013,"DEVELOPMENT and independent HELDOUT show a low-sensitivity, extremely-high-specificity operating profile for the frozen 10/10 baseline.",SUPPORTED_WITH_EXPLICIT_LIMITATION,M1EP05,F3B,M1S039;M1S041;M1S042,"DEVELOPMENT and HELDOUT separately show a low-sensitivity, extremely-high-specificity synthetic-domain operating profile for the frozen 10/10 baseline.",Descriptive split comparison only; no pooling or equivalence test.,DEVELOPMENT and HELDOUT are statistically equivalent.,4.5
M1C014,HELDOUT sensitivity is 152/1800 in the frozen synthetic domain.,SUPPORTED_NOW,M1EP05,F3B,M1S042,HELDOUT synthetic sensitivity is 152/1800 in the frozen Phase 3B domain.,Always state synthetic HELDOUT scope and denominator.,Observational sensitivity is 8.44%.,4.5
M1C015,"Zero false selections were observed among 1800 HELDOUT synthetic nulls, with finite Wilson uncertainty.",SUPPORTED_WITH_EXPLICIT_LIMITATION,M1EP05,F3B,M1S042,No false selections were observed among 1800 HELDOUT synthetic nulls; finite-sample Wilson uncertainty remains.,Do not call specificity perfect or population FPR zero.,AFINO has zero false-positive rate in the population.,4.5
M1C016,Observed FP=0 does not imply a population FPR of zero.,SUPPORTED_NOW,M1EP05,F3B,M1S042;M1S045,The observed 0/1800 HELDOUT false-selection count does not establish an underlying population FPR of zero.,Retain Wilson uncertainty and synthetic-domain scope.,Population FPR is exactly zero.,5.2
M1C017,The DEVELOPMENT two-threshold candidate was not promoted because it failed the preregistered specificity-preservation gate.,SUPPORTED_NOW,M1EP05,F3B,M1S040;M1S041,The DEVELOPMENT candidate failed the preregistered specificity-preservation criterion and was not promoted.,No runner-up rescue or post-hoc alternate search.,The candidate was rejected because of HELDOUT results.,4.5
M1C018,The final held-out rule therefore remained the untuned AFINO 0.5 10/10 baseline.,SUPPORTED_NOW,M1EP05,F3B,M1S041;M1S047,The HELDOUT target remained the frozen AFINO 0.5 rule delta_BIC01>10 and delta_BIC21>10.,Strict greater-than; frozen before HELDOUT truth.,HELDOUT was used to tune thresholds.,4.5
M1C019,The HELDOUT stratified empirical selection function is characterized within the frozen synthetic domain.,SUPPORTED_WITH_EXPLICIT_LIMITATION,M1EP05,F3B,M1S043;M1S047,The final 156-row HELDOUT stratified empirical selection surface characterizes the frozen synthetic domain.,"No DEVELOPMENT pooling, smoothing, or observational transport.",This is a universal TESS selection function.,4.6
M1C020,That synthetic selection function is not an observational population correction.,SUPPORTED_NOW,M1EP05,F3B,M1S043;M1S045;M1S047,The F3B selection surface is synthetic-domain evidence and is not an observational population correction.,Population transport remains a separate future problem.,Apply it directly as the TESS population correction.,5.4
M1C021,"Period accuracy is comparatively good conditional on selected true positives, while selection coverage is low.",SUPPORTED_WITH_EXPLICIT_LIMITATION,M1EP05,F3B,M1S042;M1S044,"Period-recovery accuracy is summarized conditional on selected true positives, while overall positive selection coverage is low.",Keep conditioning on selection explicit.,Good period accuracy means high completeness.,4.6
M1C022,Conditional period accuracy does not imply high detection completeness.,SUPPORTED_NOW,M1EP05,F3B,M1S042;M1S044;M1S045,Accurate periods among selected true positives can coexist with low selection sensitivity.,Separate period recovery from classifier sensitivity.,Period accuracy proves detection completeness.,5.2
M1C023,A validated correction was not established.,SUPPORTED_NOW,M1EP05,F3B,M1S047;M1S048,Phase 3B closed with correction claim NOT_ESTABLISHED.,Do not weaken or silently omit this boundary.,A validated observational correction was established.,5.4
M1C024,AFINO has not been observationally validated by the present programme.,SUPPORTED_NOW,M1EP05,F0;F2;F3A;F3B,M1S002;M1S023;M1S037;M1S047,"The programme provides distinct reproduction, robustness and synthetic-ground-truth evidence, but not observational validation of AFINO.",Keep the evidence planes separate.,AFINO is observationally validated.,5.3
M1C025,Population transport/correction remains an F4+ problem.,DEFER_TO_F4_PLUS,M1EP05,F3B,M1S047;M1S048,Population transport and observational correction remain future work beyond the present manuscript evidence freeze.,Requires explicit transport assumptions and independent later evidence.,The synthetic selection function is already a validated population correction.,5.5
M1C026,AFINO is observationally validated by F0–F3B.,PROHIBITED,M1EP05,F0;F2;F3A;F3B,M1S002;M1S023;M1S037;M1S047,Do not make this claim.,The programme contains no observational physical-ground-truth validation plane.,AFINO is observationally validated.,NONE
M1C027,The F3B synthetic selection function is a validated observational population correction.,PROHIBITED,M1EP05,F3B,M1S043;M1S047,Do not make this claim.,Synthetic-domain selection cannot be transported without additional assumptions/evidence.,The F3B selection function is the validated TESS correction.,NONE
M1C028,"Priority and novelty language must remain bounded by BAII; catalogue scale, TESS use, QPP classification and injection-recovery each have relevant precedence.",POSITIONING_ONLY,M1EP06,BAII,M1S026;M1S027;M1S028;M1S029,Position the contribution in terms of the combined prospective robustness and heldout architecture rather than unqualified first-ever claims.,BAII is bounded to its frozen search/extraction scope and is not a global novelty proof.,first catalogue-scale TESS QPP study; first TESS QPP catalogue; first QPP injection-recovery study,1
M1C029,The five evidence classes must not be collapsed under an unqualified generic use of the word validation.,SUPPORTED_NOW,M1EP05,F0;F1;F2;F3A;F3B,M1S002;M1S015;M1S025;M1S038;M1S048,"Name the evidence plane when describing reproduction, robustness, numerical benchmarking, or heldout synthetic performance.",Different planes have different truth conditions and denominators.,All phases independently validate AFINO in the same sense.,2
