occurrence_id,manuscript_version,term,section_or_artifact,paragraph_id,claim_ids,evidence_planes,occurrence_count,scope_explicit,qualification_present,context_class,status,excerpt
M14V2L001,V2,VALIDATION,ABSTRACT,M1P0001,M1C001;M1C004;M1C005;M1C006;M1C012;M1C014;M1C015;M1C018;M1C019;M1C023;M1C024,M1EP01;M1EP03;M1EP04;M1EP05,1,true,true,OBSERVATIONAL_SCOPE_EXPLICIT_OR_NEGATED,PASS,"Quasi-periodic pulsation (QPP) searches in stellar flares depend on methodological choices that can affect both classification and the interpretation of recovered periods. A defensible assessment therefore requires explicit separation of reproducibility, robustness, and known-truth performance. We characterize the reproducibility, methodological robustness, numerical behavior, and synthetic-ground-truth selection properties of a frozen public AFINO implementation in the TESS context while keepin"
M14V2L002,V2,GROUND_TRUTH,ABSTRACT,M1P0001,M1C001;M1C004;M1C005;M1C006;M1C012;M1C014;M1C015;M1C018;M1C019;M1C023;M1C024,M1EP01;M1EP03;M1EP04;M1EP05,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"Quasi-periodic pulsation (QPP) searches in stellar flares depend on methodological choices that can affect both classification and the interpretation of recovered periods. A defensible assessment therefore requires explicit separation of reproducibility, robustness, and known-truth performance. We characterize the reproducibility, methodological robustness, numerical behavior, and synthetic-ground-truth selection properties of a frozen public AFINO implementation in the TESS context while keepin"
M14V2L003,V2,ACCURACY,ABSTRACT,M1P0001,M1C001;M1C004;M1C005;M1C006;M1C012;M1C014;M1C015;M1C018;M1C019;M1C023;M1C024,M1EP01;M1EP03;M1EP04;M1EP05,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"Quasi-periodic pulsation (QPP) searches in stellar flares depend on methodological choices that can affect both classification and the interpretation of recovered periods. A defensible assessment therefore requires explicit separation of reproducibility, robustness, and known-truth performance. We characterize the reproducibility, methodological robustness, numerical behavior, and synthetic-ground-truth selection properties of a frozen public AFINO implementation in the TESS context while keepin"
M14V2L004,V2,ROBUSTNESS,ABSTRACT,M1P0001,M1C001;M1C004;M1C005;M1C006;M1C012;M1C014;M1C015;M1C018;M1C019;M1C023;M1C024,M1EP01;M1EP03;M1EP04;M1EP05,5,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"Quasi-periodic pulsation (QPP) searches in stellar flares depend on methodological choices that can affect both classification and the interpretation of recovered periods. A defensible assessment therefore requires explicit separation of reproducibility, robustness, and known-truth performance. We characterize the reproducibility, methodological robustness, numerical behavior, and synthetic-ground-truth selection properties of a frozen public AFINO implementation in the TESS context while keepin"
M14V2L005,V2,SELECTION_FUNCTION,ABSTRACT,M1P0001,M1C001;M1C004;M1C005;M1C006;M1C012;M1C014;M1C015;M1C018;M1C019;M1C023;M1C024,M1EP01;M1EP03;M1EP04;M1EP05,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"Quasi-periodic pulsation (QPP) searches in stellar flares depend on methodological choices that can affect both classification and the interpretation of recovered periods. A defensible assessment therefore requires explicit separation of reproducibility, robustness, and known-truth performance. We characterize the reproducibility, methodological robustness, numerical behavior, and synthetic-ground-truth selection properties of a frozen public AFINO implementation in the TESS context while keepin"
M14V2L006,V2,CORRECTION,ABSTRACT,M1P0001,M1C001;M1C004;M1C005;M1C006;M1C012;M1C014;M1C015;M1C018;M1C019;M1C023;M1C024,M1EP01;M1EP03;M1EP04;M1EP05,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"Quasi-periodic pulsation (QPP) searches in stellar flares depend on methodological choices that can affect both classification and the interpretation of recovered periods. A defensible assessment therefore requires explicit separation of reproducibility, robustness, and known-truth performance. We characterize the reproducibility, methodological robustness, numerical behavior, and synthetic-ground-truth selection properties of a frozen public AFINO implementation in the TESS context while keepin"
M14V2L007,V2,ROBUSTNESS,1,M1P0002,M1C028,M1EP06,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"QPPs are recurring intensity modulations reported in solar and stellar flares, but the inference problem is methodologically difficult because flare evolution, colored noise, finite observing windows, detrending, gaps, and model choice can all produce or suppress apparent periodic structure. The literature represented in the frozen Bibliographic Audit II (BAII) includes Fourier- and wavelet-based significance testing, automated model comparison, blind methodological benchmarks, and machine-learn"
M14V2L008,V2,ROBUSTNESS,1,M1P0003,M1C028,M1EP06,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"AFINO is an automated model-comparison framework that evaluates competing power-spectral models and uses Bayesian information criterion differences to identify a localized excess consistent with a QPP component. Large-scale AFINO applications predate the present programme, and the frozen BAII corpus also contains catalogue-scale TESS QPP work and neural-network classification. Accordingly, the contribution evaluated here is not framed as a first-ever catalogue, catalogue-scale AFINO study, or in"
M14V2L009,V2,PRIORITY,1,M1P0003,M1C028,M1EP06,1,true,true,PRIORITY_FIREWALL_OR_ORDINAL_CONTEXT,PASS,"AFINO is an automated model-comparison framework that evaluates competing power-spectral models and uses Bayesian information criterion differences to identify a localized excess consistent with a QPP component. Large-scale AFINO applications predate the present programme, and the frozen BAII corpus also contains catalogue-scale TESS QPP work and neural-network classification. Accordingly, the contribution evaluated here is not framed as a first-ever catalogue, catalogue-scale AFINO study, or in"
M14V2L010,V2,GROUND_TRUTH,1,M1P0004,M1C028,M1EP06,1,true,true,SCOPE_PRESENT_IN_TRACE_CONTEXT,PASS,"The observational starting point is the published 20-second-cadence TESS flare analysis that motivated the reproduction cohort. Related TESS studies demonstrate that QPP catalogue construction and classification are already active methodological areas, while adjacent flare and QPP work contains injection-recovery and known-truth evaluation analogues. These precedents make two boundaries important. First, observational reference labels cannot be promoted to physical ground truth merely because th"
