positioning_claim_id,candidate_claim,audit_assessment,supporting_work_ids,supporting_evidence_ids,safe_wording,unsafe_wording,manuscript_relevance,f3a_design_relevance,notes
P001,Catalogue-scale TESS QPP studies already exist.,SUPPORTED_AS_BOUNDED_STATEMENT,BAIIW0001;BAIIW0003,BAII4E0001;BAII4E0002;BAII4E0003;BAII4E0004;BAII4E0009;BAII4E0010;BAII4E0011;BAII4E0012,"Within the included BAII corpus, catalogue-scale TESS QPP analyses are represented by at least BAIIW0001 and BAIIW0003.",No catalogue-scale TESS QPP study existed before this project.,HIGH,CENTRAL,"This is a bounded corpus statement, not an exhaustive priority claim."
P002,TESS QPP catalog/classification work predates F3A.,SUPPORTED_AS_BOUNDED_STATEMENT,BAIIW0001;BAIIW0003,BAII4E0001;BAII4E0002;BAII4E0003;BAII4E0004;BAII4E0009;BAII4E0010;BAII4E0011;BAII4E0012,The included literature contains TESS QPP catalogue and classification work published before the prospective F3A freeze.,F3A is the first TESS QPP catalogue/classification study.,HIGH,CENTRAL,Supported by included works only.
P003,AFINO has already been applied at catalogue scale to TESS QPP analysis.,SUPPORTED_AS_BOUNDED_STATEMENT,BAIIW0001,BAII4E0001;BAII4E0002;BAII4E0003;BAII4E0004,BAIIW0001 applies AFINO to a catalogue-scale sample of 20-second TESS flares.,This project introduces the first catalogue-scale AFINO analysis of TESS QPPs.,HIGH,CENTRAL,The exact future F3A robustness contribution must be distinguished from catalogue-scale AFINO use itself.
P004,Machine-learning QPP classification has been applied to TESS catalogue data.,SUPPORTED_AS_BOUNDED_STATEMENT,BAIIW0003,BAII4E0009;BAII4E0010;BAII4E0011;BAII4E0012,BAIIW0003 reports applying a previously published fully convolutional QPP classifier to a large TESS flare catalogue.,Machine-learning QPP classification has not previously been used on TESS catalogue data.,HIGH,CENTRAL,Detailed classifier validation remains access-limited in BAII; only the supported high-level claim is used.
P005,Injection–recovery/selection-function approaches already exist in adjacent flare/QPP methodology.,SUPPORTED_AS_BOUNDED_STATEMENT,BAIIW0024;BAIIW0071;BAIIW0098;BAIIW0147;BAIIW0149;BAIIW0150;BAIIW0154;BAIIW0156;BAIIW0168,BAII4E0029;BAII4E0030;BAII4E0031;BAII4E0032;BAII4E0093;BAII4E0094;BAII4E0095;BAII4E0096;BAII4E0097;BAII4E0098;BAII4E0099;BAII4E0100;BAII4E0117;BAII4E0118;BAII4E0119;BAII4E0120;BAII4E0121;BAII4E0122;BAII4E0123;BAII4E0124;BAII4E0125;BAII4E0126;BAII4E0127;BAII4E0128;BAII4E0129;BAII4E0130;BAII4E0131;BAII4E0132;BAII4E0133;BAII4E0134;BAII4E0135;BAII4E0136;BAII4E0141;BAII4E0142;BAII4E0143;BAII4E0144,"The included BAII literature contains multiple injection–recovery, known-ground-truth and selection-function analogues relevant to future F3B design.",F3B would introduce injection–recovery or selection-function validation to flare/QPP methodology for the first time.,MEDIUM,INDIRECT,These works are heterogeneous and do not all study QPPs or TESS.
P006,The audit found no included study with the complete prospective F3B development/held-out architecture.,SUPPORTED_AS_BOUNDED_STATEMENT,BAIIW0024;BAIIW0071;BAIIW0098;BAIIW0147;BAIIW0149;BAIIW0150;BAIIW0154;BAIIW0156;BAIIW0168,BAII4E0029;BAII4E0030;BAII4E0031;BAII4E0032;BAII4E0093;BAII4E0094;BAII4E0095;BAII4E0096;BAII4E0097;BAII4E0098;BAII4E0099;BAII4E0100;BAII4E0117;BAII4E0118;BAII4E0119;BAII4E0120;BAII4E0121;BAII4E0122;BAII4E0123;BAII4E0124;BAII4E0125;BAII4E0126;BAII4E0127;BAII4E0128;BAII4E0129;BAII4E0130;BAII4E0131;BAII4E0132;BAII4E0133;BAII4E0134;BAII4E0135;BAII4E0136;BAII4E0141;BAII4E0142;BAII4E0143;BAII4E0144,No included BAII.4 work was assessed as matching the full project-specific combination of prospective development/validation separation and an independent held-out benchmark.,No previous study has ever used development/held-out validation for QPP detection.,MEDIUM,NONE,Absence is restricted to the 40 included works and the project-specific architecture.
P007,F3A would be the first catalogue-scale TESS QPP study.,CONTRADICTED_BY_INCLUDED_LITERATURE,BAIIW0001;BAIIW0003,BAII4E0001;BAII4E0002;BAII4E0003;BAII4E0004;BAII4E0009;BAII4E0010;BAII4E0011;BAII4E0012,Do not claim first catalogue-scale TESS QPP study; instead state the narrower robustness question actually addressed by the redesigned F3A.,F3A is the first catalogue-scale TESS QPP study.,HIGH,CENTRAL,Directly contradicted by included literature.
P008,F3B would be the first QPP injection–recovery study.,CONTRADICTED_BY_INCLUDED_LITERATURE,BAIIW0098,BAII4E0097;BAII4E0098;BAII4E0099;BAII4E0100,Describe the project-specific validation architecture without claiming first QPP injection–recovery.,F3B is the first QPP injection–recovery study.,HIGH,NONE,BAIIW0098 uses synthetic known-truth QPP/non-QPP data and explicit validation; priority language is not authorized.
P009,No previous work studies robustness to methodological choices.,CONTRADICTED_BY_INCLUDED_LITERATURE,BAIIW0004;BAIIW0024;BAIIW0037;BAIIW0145;BAIIW0156;BAIIW0168,BAII4E0013;BAII4E0014;BAII4E0015;BAII4E0016;BAII4E0029;BAII4E0030;BAII4E0031;BAII4E0032;BAII4E0057;BAII4E0058;BAII4E0059;BAII4E0060;BAII4E0113;BAII4E0114;BAII4E0115;BAII4E0116;BAII4E0133;BAII4E0134;BAII4E0135;BAII4E0136;BAII4E0141;BAII4E0142;BAII4E0143;BAII4E0144,"The literature contains multiple method-, processing-, window-, quality- and gap-related robustness considerations; F3A must state its specific robustness scope.",No prior work examined methodological robustness.,HIGH,HIGH,The included works do not necessarily implement the same robustness grid as the project.
P010,This project is the first to study TESS QPP selection effects.,PROHIBITED_PRIORITY_CLAIM,BAIIW0001;BAIIW0003;BAIIW0098,BAII4E0001;BAII4E0002;BAII4E0003;BAII4E0004;BAII4E0009;BAII4E0010;BAII4E0011;BAII4E0012;BAII4E0097;BAII4E0098;BAII4E0099;BAII4E0100,BAII does not establish a global priority claim about TESS QPP selection effects; any manuscript statement must be scoped to the project-specific design and audited corpus.,This is the first study of TESS QPP selection effects.,HIGH,HIGH,The audit cannot convert non-retrieval of an exact precedent into absence from the literature.
