requirement_id,requirement_category,f3a_requirement,design_resolution,resolution_artifact,resolution_locator,scientific_rationale,remaining_limitation,resolution_status
F3BR001,GROUND_TRUTH,Use known synthetic ground truth for classification validation.,Synthetic truth is defined prospectively by construction with separate QPP-present and QPP-absent states; observational labels are excluded from truth.,f3b1_truth_label_contract.json,truth_states;ground_truth_policy,"Resolution follows the authoritative F3A entry requirement while preserving synthetic-truth, independence and prospective-freeze boundaries.",None for this requirement at the design-contract level; downstream implementation must conform to the frozen contract.,RESOLVED_FOR_F3B_DESIGN
F3BR002,SIMULATION_REALISM,Freeze realistic flare/background/noise generation assumptions.,"Freeze the F1-continuous asymmetric-flare + power-law-noise generator semantics prospectively, with explicit F3B period-support extension and immutable development/held-out generator identity.",f3b1_generator_contract.json;f3b1_simulation_domain.csv,generator components;normative_continuity;known_limitations;F3BD004-F3BD013,The generator assumptions are fully explicit and source-bound before any synthetic series exists; unsupported realism dimensions are fixed and disclosed rather than tuned.,Primary realism remains bounded by the validated F1 flare/noise family and fixed independent-white-noise level.,RESOLVED_FOR_F3B_DESIGN
F3BR003,INJECTION_DOMAIN,Predefine injection–recovery parameter domain and sampling.,Freeze the fully bounded source-supported domain plus exact paired-background sampling counts and deterministic stratified realization registry before generation.,f3b1_simulation_domain.csv;f3b1_sampling_plan.json;f3b1_split_registry.csv,F3BD001-F3BD018;sampling counts;stratification;split registry,"The exact domain, sample size, truth-class counts, realization identities and split strategy are prospectively fixed before any random draw or curve exists.","Primary precision target applies overall per truth class per split, not to each 36-cell interaction stratum.",RESOLVED_FOR_F3B_DESIGN
F3BR004,DATA_SPLIT,Freeze a development dataset before rule development.,"Freeze 1,800 DEVELOPMENT background realizations, stratified exactly 50 per designated 36-cell nuisance/signal-strength stratum, with paired null and positive series.",f3b1_sampling_plan.json;f3b1_split_registry.csv,DEVELOPMENT rows;stratification;paired_background_design,"Development membership is deterministic, source-independent and frozen before rule development.",Development data are not materialized yet.,RESOLVED_FOR_F3B_DESIGN
F3BR005,DATA_SPLIT,Freeze an independent held-out dataset separately.,"Freeze 1,800 independent HELDOUT background realization identities and their planned series without drawing noise, periods, phases or flux.",f3b1_sampling_plan.json;f3b1_split_registry.csv;f3b1_heldout_access_policy.json,HELDOUT rows;heldout non-generation policy,Held-out identity/sampling are frozen while the dataset itself remains nonexistent until FINAL_RULE_FREEZE.,Held-out outcomes and random draws remain unavailable by design.,RESOLVED_FOR_F3B_DESIGN
F3BR006,DATA_SPLIT,Enforce development/held-out separation operationally.,"Enforce split at background_realization_id: every null/positive and challenge variant from one background stays in exactly one split, with deterministic stratified assignment independent of AFINO.",f3b1_split_registry.csv;f3b1_heldout_access_policy.json,background_realization_id;split;split_rank_sha256,This prevents paired nuisance realizations leaking across development and held-out.,Operational enforcement will also be rechecked by the final F3B.1 validator.,RESOLVED_FOR_F3B_DESIGN
F3BR007,RULE_FREEZE,Freeze the final classification/correction rule before held-out access.,"Freeze an explicit two-branch FINAL_RULE_FREEZE process: either an exact promoted candidate rule or the unchanged AFINO baseline, always before held-out generation/access.",f3b1_candidate_rule_policy.json;f3b1_heldout_access_policy.json;f3b1_success_failure_gate.json,final_rule_freeze;heldout generation guard,The policy—not a future candidate outcome—is frozen now; heldout cannot exist before an exact final rule is frozen.,candidate_rule_frozen remains false until DEVELOPMENT is completed.,RESOLVED_FOR_F3B_DESIGN
F3BR008,METRICS,Define classification metrics prospectively under known ground truth.,"Freeze conditional-on-eligible TP/FN/TN/FP, sensitivity, specificity and FPR with Wilson intervals, and separate end-to-end pipeline metrics.",f3b1_metrics_contract.json,confusion_matrix;primary_classification_metrics;end_to_end_metrics,Known synthetic truth makes these classifier metrics valid while preserving explicit denominators and input-admissibility separation.,"These are synthetic-domain metrics, not observational performance estimates.",RESOLVED_FOR_F3B_DESIGN
F3BR009,SELECTION_FUNCTION,Define prospective selection-function characterization.,"Use STRATIFIED_EMPIRICAL as the primary selection-function representation, keeping eligibility, conditional selection and end-to-end selection distinct.",f3b1_selection_function_contract.json,primary_representation;three_functions_kept_separate;strata,The controlled prospective strata support direct empirical estimation without adding an unnecessary fitted-model layer.,Sparse/structural no-exposure period cells will be reported rather than modeled away.,RESOLVED_FOR_F3B_DESIGN
F3BR010,PERIOD,Separate period-recovery metrics from classification metrics.,"Freeze period recovery as a separate evidence plane using absolute error, relative error and log-period ratio only when a selected true positive has a finite recovered period; report coverage over all eligible positives.",f3b1_metrics_contract.json,period_recovery,"Nonselection is not converted into a pseudo-period estimate, and no arbitrary recovered-within-X% threshold is introduced.",Error distributions are conditional on selected true positives; coverage retains the all-eligible-positive denominator.,RESOLVED_FOR_F3B_DESIGN
F3BR011,BASELINE,Retain frozen AFINO 0.5 as the baseline comparator.,"Retain AFINO 0.5 commit 6aceac... with the frozen ΔBIC>10 conjunction as mandatory baseline; any correction is optional, development-only and restricted to a two-threshold BIC conjunction.",f3b1_candidate_rule_policy.json,baseline;allowed_features;allowed_rule_families,"This validates the historical baseline while allowing only a low-complexity, prospectively defined and independently testable correction family.",No correction claim exists unless the development and heldout gates are both passed.,RESOLVED_FOR_F3B_DESIGN
