comparison_id,dimension,f2_scope,f2_result,f2_source_artifacts,f3a_scope,f3a_result,f3a_source_artifacts,comparability_status,allowed_synthesis,required_qualification,prohibited_synthesis
CMP01,cohort scale,10 events / 5 pairs,Pilot observational robustness cohort.,F2SRC001;F2SRC007,122 events / 61+61 reference roles,Catalogue-scale observational cohort.,F3A5SRC001,SAME_CONCEPT_DIFFERENT_DENOMINATOR,F3A extends the same robustness question from a small pilot to catalogue scale.,Do not pool event or variant denominators across phases.,Do not claim F3A is a direct replication of the 10-event pilot.
CMP02,observational reference roles,5 PUBLISHED_QPP_REPRODUCED + 5 MATCHED_NOT_SELECTED,"Roles are observational construction, not physical truth.",F2SRC001;F2SRC003,61 PUBLISHED_QPP_REFERENCE + 61 PUBLISHED_NOT_SELECTED_REFERENCE,Role symmetry is retained at catalogue scale.,F3A5SRC001,DIRECT_DESIGN_CONTINUITY,Both phases preserve QPP-reference and not-selected-reference observational roles.,Role names and denominators differ; neither role is ground truth.,Do not call either not-selected role a true-negative class.
CMP03,W00/P00 baseline reproduction,10/10 baseline classifications reproduced; 0 classification mismatches.,The pilot entered robustness with a fully reproduced frozen baseline.,F2SRC001;F2SRC002,65 concordant / 51 mismatch / 6 inadmissible; QPP role 8/51/2; not-selected role 57/0/4.,Catalogue scale reveals a material baseline-reproduction limitation concentrated in published QPP references.,F3A5SRC001;F3A5SRC006,F3A_NEW_LIMITATION,F3A baseline conditioning must be explicit in every transition claim.,The cause of the 51 QPP-reference mismatches is unresolved within F3A.,Do not recode 51 mismatches as false QPP detections.
CMP04,inherited 13×6 perturbation matrix,780 planned variants = 10×78.,Same 13 windows and 6 profiles were prospectively frozen.,F2SRC001;F2SRC007,"9,516 planned variants = 122×78.",The catalogue-scale analysis retains the same 78-cell perturbation structure.,F3A5SRC002;F3A5SRC006,DIRECT_DESIGN_CONTINUITY,The perturbation design is directly continuous from pilot to scale-up.,Repeated measures remain nested within events.,"Do not treat 780 or 9,516 variant rows as independent flares."
CMP05,input inadmissibility,266/780 inadmissible; 514 eligible.,Inadmissibility remained separate from non-selection.,F2SRC001;F2SRC003,"3,094/9,516 inadmissible; 6,422 eligible.",The same methodological outcome remains explicit at catalogue scale.,F3A5SRC002;F3A5SRC006,SAME_CONCEPT_DIFFERENT_DENOMINATOR,Both phases show that admissibility is part of the robustness result.,Counts have different denominators and reason distributions.,Do not pool rates or recode inadmissibility as non-selection.
CMP06,QPP-reference selection losses,140 selected-retained and 136 selection-lost against each event's global W00/P00 baseline.,Losses occurred among the reproduced-QPP side of the pilot baseline.,F2SRC001;F2SRC002,"295 selected-retained and 171 selection-lost, restricted to baseline-concordant QPP references.",Selection loss persists at catalogue scale among the much smaller reproduced-baseline QPP subset.,F3A5SRC002;F3A5SRC006,SAME_CONCEPT_DIFFERENT_DENOMINATOR,Methodological perturbations can alter retained QPP-reference classifications in both phases.,F3A transitions are conditional on only 8 baseline-concordant published-QPP references.,Do not infer a false-negative rate or claim all published QPPs are fragile.
CMP07,not-selected-reference selection gains,0 gains against the global W00/P00 baseline; 238 not-selected-retained.,Pilot controls were not physical negatives.,F2SRC001;F2SRC004,"0 gains and 3,178 not-selected-retained within baseline-concordant transition-eligible not-selected references.",No gains were observed in the frozen F3A transition denominator.,F3A5SRC002;F3A5SRC006,SAME_CONCEPT_DIFFERENT_DENOMINATOR,No baseline-relative gains were observed in either frozen scope.,"These are repeated perturbations of observational references, not independent ground-truth negatives.",Do not state observational FPR = 0.
CMP08,optimizer classification stability,46 W00 eligible variants; 460 seed decisions; 0 discordant variants.,Binary classification stable across seeds 0–9 in pilot stability scope.,F2SRC001;F2SRC002,"116 W00/P00 eligible events; 1,160 seed decisions; 0 discordant events.",Binary classification stable across seeds 0–9 at catalogue scale.,F3A5SRC004;F3A5SRC006,SAME_CONCEPT_DIFFERENT_DENOMINATOR,Seed robustness of binary classification reappears at scale.,The stability scopes are not identical and cannot be pooled.,Do not claim optimizer convergence or universal stability.
CMP09,numerical multiplicity / warnings / bounds,Each F2 stability variant showed multiple parameter payloads; convergence NOT_AUDITABLE; M1/M2 bounds and M2 warnings were substantial.,Stable classification was explicitly separated from numerical uniqueness.,F2SRC002;F2SRC003,All 116 stability events show 10 unique parameter payloads for M0/M1/M2; convergence remains NOT_AUDITABLE; M2 warnings/bounds remain substantial.,The same classification-versus-numerical distinction persists at scale.,F3A5SRC004;F3A5SRC006,DIRECT_DESIGN_CONTINUITY,stable classification ≠ unique numerical solution in both phases.,"Warnings/bounds are diagnostics, not established causes of transitions.",Do not claim a unique optimum or causal warning/bound mechanism.
CMP10,conditional period robustness,140 selected→selected comparable rows; median absolute change 0.244031 s; maximum 2.714694 s.,Period robustness was conditional on retained selection.,F2SRC001;F2SRC002,295 selected→selected comparable rows; median absolute change ≈0.216363 s; maximum ≈2.714694 s.,F3A retains the same conditioning rule with a larger comparable set.,F3A5SRC005;F3A5SRC006,SAME_CONCEPT_DIFFERENT_DENOMINATOR,Conditional period changes remain small in the selected→selected plane.,Lost selections and inadmissible variants are outside the period denominator.,Do not claim a true period or global period robustness.
CMP11,overall F2→F3A interpretation,Phase 2 concluded robustness manuscript viable; correction required a separate held-out Phase-3 route.,Pilot evidence supported internal robustness characterization but not validation.,F2SRC006;F2SRC007,F3A provides catalogue-scale observational robustness characterization with a new material baseline-reproduction limitation; validation/correction remain unresolved.,"F3A expands robustness evidence but makes F3B more, not less, necessary.",F3A5SRC006;F3A5SRC007,NOT_POOLABLE,"The qualitative procedural-sensitivity pattern appears at catalogue scale, subject to different denominators and baseline reproduction.",F3A cannot be reduced to a pooled replication of F2.,Do not write 'F3A proves F2' or 'F3A validates AFINO'.
