claim_id,manuscript_section_role,evidence_plane,source_phase,source_artifacts,allowed_wording,mandatory_qualification,prohibited_wording,figure_or_table_candidate
M001,Evidence architecture boundary,F0_OBSERVATIONAL_REPRODUCTION,F0,REFER_TO_FROZEN_F0_SOURCES;NOT_REBOUND_IN_F3B8,F0 observational reproduction remains a distinct evidence plane.,F3B.8 does not re-evaluate F0.,F0 plus F3B proves observational validation.,evidence-architecture schematic
M002,Evidence architecture boundary,F1_SYNTHETIC_NUMERICAL_BENCHMARK,F1,REFER_TO_FROZEN_F1_SOURCES;NOT_REBOUND_IN_F3B8,F1 synthetic/numerical benchmarking remains distinct.,F3B.8 does not re-evaluate F1.,F1 numerical benchmarking is observational ground truth.,evidence-architecture schematic
M003,Evidence architecture boundary,F2_OBSERVATIONAL_PILOT_ROBUSTNESS,F2,REFER_TO_FROZEN_F2_SOURCES;NOT_REBOUND_IN_F3B8,F2 observational pilot robustness remains distinct.,F3B.8 does not re-evaluate F2.,F2 supplies physical QPP truth.,evidence-architecture schematic
M004,Evidence architecture boundary,F3A_CATALOGUE_SCALE_OBSERVATIONAL_ROBUSTNESS,F3A,REFER_TO_FROZEN_F3A_SOURCES;NOT_REBOUND_IN_F3B8,F3A catalogue-scale observational robustness remains distinct.,F3B.8 does not re-evaluate F3A.,F3A supplies synthetic-ground-truth sensitivity.,evidence-architecture schematic
M005,Methods / validation design,F3B_SYNTHETIC_GROUND_TRUTH_VALIDATION,F3B,workflows/phase3b/development/analysis/f3b4_baseline_metrics.json;workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json;workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_single_use_evaluation_audit.json,F3B provides controlled synthetic-ground-truth characterization of the frozen AFINO 0.5 baseline.,Scope to preregistered synthetic domain and single-use HELDOUT.,AFINO is validated without qualification.,validation-flow figure
M006,Results / classifier performance,F3B_SYNTHETIC_GROUND_TRUTH_VALIDATION,F3B.7,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_baseline_metrics.json,HELDOUT sensitivity was 152/1800 and no false selections were observed among 1800 synthetic nulls.,State Wilson uncertainty and synthetic scope.,Observational sensitivity/specificity/FPR.,classification table
M007,Results / rule selection,F3B_DEVELOPMENT_GATE,F3B.4,workflows/phase3b/development/analysis/f3b4_candidate_rule_gate.json;workflows/phase3b/development/analysis/f3b4_final_rule_freeze.json,The DEVELOPMENT candidate failed the specificity-preservation gate and was not promoted; final rule remained 10/10.,No runner-up rescue or post-HELDOUT retuning.,Baseline selected because it performed best on HELDOUT.,rule-gate table
M008,Results / selection function,F3B_SELECTION_FUNCTION,F3B.7/F3B.8,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_selection_function.csv;workflows/phase3b/closure/f3b8_final_selection_function.csv,The final selection function is the 156-row HELDOUT stratified empirical surface.,Domain-conditional; not observational population correction.,Universal TESS correction curve.,selection-function figure/table
M009,Results / period recovery,F3B_PERIOD_RECOVERY,F3B.7,workflows/phase3b/heldout/evaluation/evidence/tables/f3b7_heldout_period_recovery.csv;workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_period_recovery_summary.json,Period accuracy is summarized conditional on selected true positives.,Do not infer high selection sensitivity from conditional accuracy.,Accurate periods prove high completeness.,period-recovery figure
M010,Discussion / claim boundary,F3B_CLAIM_GOVERNANCE,F3B.7/F3B.8,workflows/phase3b/heldout/evaluation/evidence/reports/f3b7_heldout_validation_gate.json,A validated observational correction was not established.,Population transport remains F4+.,Phase 3B establishes a validated correction.,limitations/claim table
