work_id,preferred_version_id,title_abstract_decision,final_screening_decision,screening_basis,inclusion_criteria_met,primary_exclusion_criterion,secondary_exclusion_criteria,decision_evidence_text,decision_evidence_locator,full_text_required,full_text_accessed,full_text_source,full_text_sha256_if_local,decision_status,notes
BAIIW0001,BAIIV0002,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I1;I2;I6,,,Directly analyses QPPs in stellar flares observed by TESS. Uses a TESS stellar-flare sample or catalogue that is material to catalogue-scale comparison. Uses AFINO directly or is the AFINO software/method record.,preferred_version=BAIIV0002; title+abstract+provider metadata; raw_hit_ids=BAII2H000001;BAII2H000024;BAII2H000029;BAII2H000084;BAII2H000092;BAII2H000149;BAII2H000152;BAII2H000219;BAII2H000250;BAII2H000304;BAII2H000320;BAII2H000322,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0002,BAIIV0004,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I1;I2;I4,,,"Directly analyses QPPs in stellar flares observed by TESS. Uses a TESS stellar-flare sample or catalogue that is material to catalogue-scale comparison. Examines cadence, detrending, preprocessing, noise, or related robustness relevant to flare/QPP analysis.",preferred_version=BAIIV0004; title+abstract+provider metadata; raw_hit_ids=BAII2H000002;BAII2H000011;BAII2H000027;BAII2H000030;BAII2H000055;BAII2H000087;BAII2H000162;BAII2H000182;BAII2H000239,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0003,BAIIV0006,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I1;I2;I3,,,Directly analyses QPPs in stellar flares observed by TESS. Uses a TESS stellar-flare sample or catalogue that is material to catalogue-scale comparison. Develops or applies a QPP-detection approach applicable to stellar-flare time series.,preferred_version=BAIIV0006; title+abstract+provider metadata; raw_hit_ids=BAII2H000003;BAII2H000034;BAII2H000094;BAII2H000164,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0004,BAIIV0008,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I7,,,Provides a recent close methodological or observational comparator for Manuscript 1.,preferred_version=BAIIV0008; title+abstract+provider metadata; raw_hit_ids=BAII2H000004;BAII2H000025;BAII2H000040;BAII2H000105;BAII2H000158;BAII2H000222,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0005,BAIIV0010,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0010; title+abstract+provider metadata; raw_hit_ids=BAII2H000005,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0006,BAIIV0011,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I3,,,Develops or applies a QPP-detection approach applicable to stellar-flare time series.,preferred_version=BAIIV0011; title+abstract+provider metadata; raw_hit_ids=BAII2H000006;BAII2H000048;BAII2H000160,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0007,BAIIV0013,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0013; title+abstract+provider metadata; raw_hit_ids=BAII2H000007;BAII2H000195,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0008,BAIIV0014,PASS_TO_SCREENING,INCLUDE_FOR_BAII4,TITLE_ABSTRACT_METADATA,I3;I7,,,Develops or applies a QPP-detection approach applicable to stellar-flare time series. Provides a recent close methodological or observational comparator for Manuscript 1.,preferred_version=BAIIV0014; title+abstract+provider metadata; raw_hit_ids=BAII2H000008;BAII2H000026;BAII2H000044;BAII2H000082;BAII2H000124;BAII2H000151;BAII2H000174;BAII2H000224,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0009,BAIIV0015,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0015; title+abstract+provider metadata; raw_hit_ids=BAII2H000009,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0010,BAIIV0017,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E3,,The work uses TESS/related time-series data but does not present a pertinent stellar-flare/QPP analysis for this audit.,preferred_version=BAIIV0017; title+abstract+provider metadata; raw_hit_ids=BAII2H000010;BAII2H000184,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
BAIIW0011,BAIIV0019,EXCLUDE_TITLE_ABSTRACT,EXCLUDE,TITLE_ABSTRACT_METADATA,,E6,,"The work is outside the catalogue, selection-function, robustness, or detection-method scope needed for F3A/F3B.",preferred_version=BAIIV0019; title+abstract+provider metadata; raw_hit_ids=BAII2H000012;BAII2H000028;BAII2H000185;BAII2H000247,false,false,,,RESOLVED,"No F3A/F3B impact, relevance-label, or novelty assessment performed."
