issue_id,artifact_or_page,artifact_id,panel_or_table,issue_type,severity,description,author_comment,proposed_editorial_fix,scientific_content_change_required,status
M16V001,p3,M1F01,connector,CONNECTOR_OVERLAP,MINOR,F2-to-BAII connector visually intersects dashed box border.,F2-to-BAII connector visually intersects dashed box border.,Connector terminates cleanly before/at border with arrowhead.,false,RESOLVED_IN_AUTHOR_REVIEW_CANDIDATE
M16V002,p4,M1T01,table,COLUMN_COMPRESSION,MAJOR,Original Table 1 contains dense long-text columns and visible collisions.,Original Table 1 contains dense long-text columns and visible collisions.,Redesign to four reader-facing columns; preserve full frozen CSV.,false,RESOLVED_IN_AUTHOR_REVIEW_CANDIDATE
M16V003,p4,M1T01,page,PAGE_PLACEMENT,MINOR,Table-only page fragments narrative flow.,Table-only page fragments narrative flow.,Allow redesigned table to float with surrounding text.,false,RESOLVED_IN_AUTHOR_REVIEW_CANDIDATE
M16V004,p9,M1F02,connector,TEXT_OVERLAP,MAJOR,same prospective design label lies on connector.,same prospective design label lies on connector.,Move label above arrow with background clearance.,false,RESOLVED_IN_AUTHOR_REVIEW_CANDIDATE
M16V005,p11,M1F03,page,PAGE_PLACEMENT,MINOR,Figure 3 isolated on low-density float page.,Figure 3 isolated on low-density float page.,Permit normal float placement adjacent to Results text.,false,RESOLVED_IN_AUTHOR_REVIEW_CANDIDATE
M16V006,p12,M1T02,table,COLUMN_COMPRESSION,MAJOR,scope/count/interpretation columns are compressed.,scope/count/interpretation columns are compressed.,Use three-column longtable with category+scope stacked.,false,RESOLVED_IN_AUTHOR_REVIEW_CANDIDATE
M16V007,p15,M1T03,table,COLUMN_COMPRESSION,MINOR,Repeated interpretive_scope consumes width.,Repeated interpretive_scope consumes width.,Move repeated interpretation to table note.,false,RESOLVED_IN_AUTHOR_REVIEW_CANDIDATE
M16V008,p17,M1F04,A/B panels,LABEL_COLLISION,MAJOR,A-panel labels intrude into B1 heading and dense labels compete.,A-panel labels intrude into B1 heading and dense labels compete.,Regenerate on roomy landscape canvas with larger spacing and labels.,false,RESOLVED_IN_AUTHOR_REVIEW_CANDIDATE
M16V009,p20,M1T04,table,TEXT_OVERLAP,BLOCKING,Claim-boundary matrix has multiple text collisions.,Claim-boundary matrix has multiple text collisions.,Render reader-facing 3-column longtable; retain complete source matrix.,false,RESOLVED_IN_AUTHOR_REVIEW_CANDIDATE
M16V010,p1,header,author/date,OTHER_EDITORIAL,MAJOR,Author(s) TBD and internal Manuscript 1.4 label are not public-facing.,Author(s) TBD and internal Manuscript 1.4 label are not public-facing.,Use confirmed author metadata and author-review label.,false,RESOLVED_IN_AUTHOR_REVIEW_CANDIDATE
M16V011,p19-21,prose,governance wording,OTHER_EDITORIAL,MINOR,Internal workflow vocabulary is too prominent.,Internal workflow vocabulary is too prominent.,Rewrite as scientific limitations while preserving claim boundaries.,false,RESOLVED_IN_AUTHOR_REVIEW_CANDIDATE
M16V012,p22,provenance,resources,OTHER_EDITORIAL,MAJOR,Data/code provenance lacks external route and frozen identities.,Data/code provenance lacks external route and frozen identities.,"Add repository/OSF paths, commits/tags, config bindings and hashes.",false,RESOLVED_IN_AUTHOR_REVIEW_CANDIDATE
