requirement_id,route_id,route_name,requirement_text,rationale,status_at_phase2_close,blocking_for_route,prohibited_shortcut
A001,ROUTE_A,MANUSCRITO_DE_ROBUSTEZ,Arquitectura final de claims basada en la matriz F2.6.,Evita mezclar robustez interna con validación o corrección.,READY_TO_START,true,Redactar primero y ajustar el alcance después.
A002,ROUTE_A,MANUSCRITO_DE_ROBUSTEZ,Selección final de tablas y figuras con denominadores y estados de inadmisibilidad visibles.,"El manuscrito debe distinguir inadmisibilidad, no selección y pérdida.",PENDING_EDITORIAL_SELECTION,true,Usar solo figuras favorables o ocultar variantes inadmisibles.
A003,ROUTE_A,MANUSCRITO_DE_ROBUSTEZ,Métodos reproducibles desde F1.14 y F2.1–F2.5.,La trazabilidad por hashes es una fortaleza central.,SOURCE_MATERIAL_AVAILABLE,true,Omitir la convención temporal real de AFINO 0.5.
A004,ROUTE_A,MANUSCRITO_DE_ROBUSTEZ,Discusión explícita de las 18 limitaciones registradas.,El alcance defendible depende de mantenerlas visibles.,REGISTER_AVAILABLE,true,Reducir las limitaciones a una nota genérica.
A005,ROUTE_A,MANUSCRITO_DE_ROBUSTEZ,Disponibilidad de código y datos derivados autorizados.,Permite reproducir tablas sin redistribuir material no autorizado.,PACKAGE_PREPARATION_REQUIRED,true,"Publicar rutas locales, credenciales o FITS sin revisar licencias."
A006,ROUTE_A,MANUSCRITO_DE_ROBUSTEZ,"Redacción del manuscrito con separación entre evidencia observacional, sintética y numérica.",Cada plano responde una pregunta distinta.,NOT_STARTED,true,Usar el nulo sintético como FPR observacional.
A007,ROUTE_A,MANUSCRITO_DE_ROBUSTEZ,Revisión final de wording prohibido antes de someter.,"Evita afirmar validación, ground truth o corrección.",MATRIX_AVAILABLE,true,Convertir conclusiones limitadas en claims generales.
B001,ROUTE_B,DESARROLLO_DE_CORRECCION,Definir la regla nueva antes de acceder a los datos de validación.,Previene ajuste post hoc.,NOT_DEFINED,true,Diseñar la regla sobre F2.5 y declarar F2.5 como validación.
B002,ROUTE_B,DESARROLLO_DE_CORRECCION,Benchmark held-out independiente.,La corrección necesita evaluación fuera de los datos que la motivaron.,NOT_AVAILABLE,true,Reutilizar los diez eventos F2 como entrenamiento y validación simultáneos.
B003,ROUTE_B,DESARROLLO_DE_CORRECCION,Ground truth sintético explícito para clasificación y periodo.,"Permite conocer presencia, ausencia y periodo por construcción.",NEW_DESIGN_REQUIRED,true,Usar roles observacionales como verdad física.
B004,ROUTE_B,DESARROLLO_DE_CORRECCION,Criterios de éxito prerregistrados.,Define de antemano qué constituye mejora y qué trade-offs son aceptables.,NOT_DEFINED,true,Elegir métricas después de observar held-out.
B005,ROUTE_B,DESARROLLO_DE_CORRECCION,Comparación con el baseline congelado sin modificar sus resultados.,Mantiene una referencia histórica auditada.,BASELINE_AVAILABLE,true,Retocar el baseline para favorecer la regla nueva.
B006,ROUTE_B,DESARROLLO_DE_CORRECCION,"Control de complejidad, multiplicidad y convergencia.",La estabilidad de clasificación no demostró unicidad numérica.,NOT_IMPLEMENTED,true,"Ignorar seeds, warnings, bounds o múltiples soluciones."
B007,ROUTE_B,DESARROLLO_DE_CORRECCION,Análisis de clasificación y periodo como outcomes separados.,El periodo solo es interpretable cuando la selección sobrevive.,PRINCIPLE_ESTABLISHED,true,Usar centros M1 no seleccionados como periodos recuperados.
B008,ROUTE_B,DESARROLLO_DE_CORRECCION,Prohibición explícita de usar F2.5 como validación post hoc.,F2.5 ya fue observado y solo puede motivar hipótesis.,MANDATORY,true,Presentar mejora sobre F2.5 como evidencia confirmatoria.
B009,ROUTE_B,DESARROLLO_DE_CORRECCION,Separación formal entre conjunto de desarrollo y conjunto de validación.,Evita circularidad y optimismo de selección.,NOT_AVAILABLE,true,Particionar post hoc los diez eventos tras diseñar la regla.
