requirement_id,phase1_finding,risk_for_observational_analysis,required_phase2_control,must_be_preregistered,blocking_for_candidate_discovery,rationale
R001,Una sola cadencia cambió la clasificación de calibración y F1.13 mostró reversiones al extender prefijos.,Dependencia de límites temporales y de la ventana exacta.,Perturbación de límites temporales alrededor de cada evento con reglas simétricas y congeladas.,True,True,La robustez debe medirse en las observaciones conocidas antes de usar el método para descubrir eventos.
R002,PDCSAP reprodujo más positivos que SAP en la validación observacional de Fase 0.,La clasificación puede depender del producto fotométrico.,"Comparación PDCSAP frente a SAP manteniendo iguales ventana, QUALITY, semillas y protocolo.",True,True,El flujo primario no puede elegirse después de observar la clasificación.
R003,La política QUALITY puede eliminar el pico y crear muestreo irregular.,Cambios de decisión inducidos por filtrado y pérdida de cadencias.,"Tratamiento explícito de QUALITY, incluyendo finite_all y una política q0 predefinida con registro de cadencias eliminadas.",True,True,Evita seleccionar retrospectivamente la política que conserva la detección.
R004,F1.1 excluyó gaps y muestreo irregular; las variantes q0 reales sí pueden contenerlos.,FFT y likelihood pueden recibir tiempos no uniformes sin que el protocolo actual modele esa irregularidad.,"Auditoría de gaps, regularidad temporal y criterio de admisibilidad o representación alternativa.",True,True,La entrada observacional debe cumplir un contrato temporal explícito.
R005,La Fase 1 no estudió alternativas de detrending ni de representación espectral.,La selección puede depender del preprocesamiento y de la competencia entre modelos de fondo.,Comparar el baseline sin detrending externo con alternativas observacionales definidas antes de ver resultados.,True,True,"Las alternativas deben ser pruebas de robustez, no ajustes para obtener selección."
R006,"Las decisiones fueron estables en los subconjuntos probados, pero M2 mostró soluciones múltiples.",Una seed única puede ocultar dispersión numérica y soluciones competidoras.,Seed externa del optimizador congelada y conjunto de seeds de estabilidad separado del análisis primario.,True,True,stable classification ≠ unique numerical optimum
R007,Warnings y bounds fueron frecuentes y variaron por modelo y N.,Resultados formalmente OK pueden estar cerca de límites o mostrar inestabilidad numérica.,"Registrar warnings y bounds por modelo, seed y variante sin usarlos como exclusión retrospectiva.",True,True,Los diagnósticos deben acompañar la clasificación sin convertirse en reglas post hoc.
R008,La recuperación condicionada a selección y el centro formal de M1 tienen poblaciones y precisión distintas.,Confundir clasificación estable con periodo físicamente robusto.,"Separar robustez de clasificación, estabilidad de BIC y robustez del periodo recuperado.",True,True,La presencia de una selección no garantiza caracterización estable del periodo.
R009,La evidencia observacional procede de cinco detecciones y cinco controles ya congelados.,Sesgo de selección y expansión retrospectiva de la cohorte.,Limitar la fase siguiente a las diez observaciones congeladas y mantener bloqueada la búsqueda de candidatos.,True,True,Primero debe evaluarse robustez sobre selecciones conocidas.
R010,No existe ground truth físico observacional ni rendimiento poblacional estimado.,"Reetiquetar concordancia con el catálogo como verdad física, sensibilidad o especificidad.","Definir outcomes como conservación o cambio de la clasificación publicada bajo perturbaciones, no como verdad física.",True,True,"La fase de robustez estudia estabilidad de resultados conocidos, no validez física ni rendimiento de descubrimiento."
