adjudication_id,left_raw_hit_id,right_raw_hit_id,candidate_basis,title_similarity,abstract_similarity,adjudication_status,reason
BAII3A001,BAII2H000002,BAII2H000011,MANUAL_BIBLIOGRAPHIC_REVIEW,0.457627,0.166255,MANUAL_CONFIRMED_SAME_WORK,Same CHEOPS/TESS 130-star flare-morphology study; conference presentation summarizes the journal analysis and methods.
BAII3A002,BAII2H000023,BAII2H000206,SAME_FIRST_AUTHOR,0.344086,0.309370,MANUAL_CONFIRMED_SAME_WORK,Same G29-38 asteroseismology project with near-identical project description presented at successive meetings.
BAII3A003,BAII2H000101,BAII2H000126,FUZZY_TITLE_HIGH_SIMILARITY;SAME_FIRST_AUTHOR;ABSTRACT_SIMILARITY,1.000000,0.758893,MANUAL_CONFIRMED_SAME_WORK,"Near-identical title, authors, Taurus brown-dwarf sample and results; conference precursor to journal article."
BAII3A004,BAII2H000153,BAII2H000181,FUZZY_TITLE_HIGH_SIMILARITY,0.845714,0.272236,MANUAL_CONFIRMED_SAME_WORK,Same ionospheric TEC response to solar-flare EUV QPP study; title/abstract and authors match across conference and journal versions.
BAII3A005,BAII2H000155,BAII2H000183,FUZZY_TITLE_HIGH_SIMILARITY;SAME_FIRST_AUTHOR,0.960526,0.063291,MANUAL_CONFIRMED_SAME_WORK,Same white-light solar-flare QPP research programme; EGU abstract is a substantially equivalent precursor to the refereed article.
BAII3A006,BAII2H000166,BAII2H000188,FUZZY_TITLE_HIGH_SIMILARITY,0.939394,0.338357,MANUAL_CONFIRMED_SAME_WORK,"Same STIX quick-look statistical QPP study; EGU precursor and A&A article share authors, sample description and analysis objective."
BAII3A007,BAII2H000209,BAII2H000240,FUZZY_TITLE_HIGH_SIMILARITY;ABSTRACT_SIMILARITY,1.000000,0.807063,MANUAL_CONFIRMED_SAME_WORK,Identical title and essentially identical abstract; conference and arXiv/journal-linked versions of one study.
BAII3A008,BAII2H000213,BAII2H000216,FUZZY_TITLE_HIGH_SIMILARITY;SAME_FIRST_AUTHOR;ABSTRACT_SIMILARITY,0.970954,0.923077,MANUAL_CONFIRMED_SAME_WORK,Same Hercules X-1 wind-density project with near-identical abstract at two conference venues.
BAII3A009,BAII2H000259,BAII2H000274,SAME_FIRST_AUTHOR,0.468401,0.032213,MANUAL_CONFIRMED_SAME_WORK,Same solar-FUV/CME calibration project for stellar CME mass-loss constraints; AAS precursor to journal article.
BAII3A010,BAII2H000255,BAII2H000266,SAME_FIRST_AUTHOR,0.381679,0.008856,MANUAL_CONFIRMED_SAME_WORK,"Same Whitsett/Daylan magnetic star-planet interaction flare search, pipeline and TESS sample; conference precursor to ApJ paper."
BAII3A011,BAII2H000172,BAII2H000289,SAME_FIRST_AUTHOR;PROVIDER_ASSOCIATED_DATASET,0.307692,0.082944,MANUAL_CONFIRMED_SAME_WORK,VizieR record is the associated AD Leo light-curve dataset for A&A 708 A225 and shares the Schmercz authorship/work identity.
BAII3A012,BAII2H000006,BAII2H000163,MANUAL_BIBLIOGRAPHIC_REVIEW,0.621849,0.212511,MANUAL_CONFIRMED_DISTINCT_WORKS,"Same first author and stellar-QPP theme, but different target scope, cadence/data and scientific analysis."
BAII3A013,BAII2H000037,BAII2H000056,SAME_FIRST_AUTHOR,0.705882,0.012889,MANUAL_CONFIRMED_DISTINCT_WORKS,Different stellar samples and research questions: RS CVn flare survey versus eROSITA-selected X-ray stars.
BAII3A014,BAII2H000052,BAII2H000069,SAME_FIRST_AUTHOR,0.661017,0.050022,MANUAL_CONFIRMED_DISTINCT_WORKS,Different samples and questions: activity cycles of superflare stars versus spottedness/flaring of exoplanet hosts.
BAII3A015,BAII2H000107,BAII2H000112,MANUAL_BIBLIOGRAPHIC_REVIEW,0.641860,0.009213,MANUAL_CONFIRMED_DISTINCT_WORKS,Different blazar targets and independent TESS variability studies.
BAII3A016,BAII2H000118,BAII2H000126,SAME_FIRST_AUTHOR,0.528302,0.017873,MANUAL_CONFIRMED_DISTINCT_WORKS,"Related Taurus/low-mass-star programme but distinct sample, scope and publication from the three-brown-dwarf work."
BAII3A017,BAII2H000147,BAII2H000148,FUZZY_TITLE_HIGH_SIMILARITY;ABSTRACT_SIMILARITY,1.000000,1.000000,MANUAL_CONFIRMED_DISTINCT_WORKS,Identical award title/text but distinct NSF award bibcodes and principal investigators; separate grant records.
BAII3A018,BAII2H000154,BAII2H000171,SAME_FIRST_AUTHOR,0.732558,0.036391,MANUAL_CONFIRMED_DISTINCT_WORKS,Different solar flare events (X9.0 versus X6.4) and distinct analyses despite shared author/topic vocabulary.
BAII3A019,BAII2H000157,BAII2H000159,SAME_FIRST_AUTHOR,0.318408,0.054513,MANUAL_CONFIRMED_DISTINCT_WORKS,Related EUV-brightening QPP studies but distinct observational studies and objectives.
BAII3A020,BAII2H000161,BAII2H000187,SAME_FIRST_AUTHOR,0.507177,0.033936,MANUAL_CONFIRMED_DISTINCT_WORKS,Different solar flare events and wavelength combinations; separate publications.
BAII3A021,BAII2H000171,BAII2H000183,SAME_FIRST_AUTHOR,0.544379,0.019582,MANUAL_CONFIRMED_DISTINCT_WORKS,Different solar flare events and scientific analyses; similar QPP terminology does not indicate version identity.
BAII3A022,BAII2H000156,BAII2H000175,MANUAL_BIBLIOGRAPHIC_REVIEW,0.767296,0.032369,MANUAL_CONFIRMED_DISTINCT_WORKS,"Same lead author and QPP theme, but neural-network method-development paper is distinct from the SKA observational perspective."
