work_id,method_name_or_family,target_problem,relevant_to_f3a,relevant_to_f3b,implementation_available,procedure_sufficiently_defined,comparison_value,comparison_cost_or_risk,consideration_priority,evidence_ids,adoption_decision,notes
BAIIW0004,Morlet continuous wavelet transform,QPP classification/detection,YES,NO,NOT_REPORTED,YES,Direct QPP-detection comparator with explicit wavelet and window choices; useful to distinguish Fourier-model-comparison robustness from time-frequency detection.,Requires a distinct time-frequency implementation and fair threshold/significance harmonization.,MUST_ADDRESS_BEFORE_F3A_FREEZE,BAII4E0013;BAII4E0014;BAII4E0015;BAII4E0016,NOT_DECIDED_IN_BAII,Consideration priority does not imply implementation or adoption.
BAIIW0023,DNN / Random Forest / XGBoost flare identification,stellar flare detection / upstream event construction,YES,NO,NOT_REPORTED,YES,Large-scale TESS flare-identification alternatives can affect the upstream event universe entering any QPP analysis.,Large ML pipelines may be costly to reproduce and may not be necessary if F3A freezes an external catalogue rather than rebuilding flare detection.,MUST_ADDRESS_BEFORE_F3A_FREEZE,BAII4E0025;BAII4E0026;BAII4E0027;BAII4E0028,NOT_DECIDED_IN_BAII,Consideration priority does not imply implementation or adoption.
BAIIW0024,Three-state hidden Markov model with celerite baseline,stellar flare detection / upstream event construction,YES,YES,NOT_REPORTED,YES,Provides a probabilistic flare-detection baseline plus injection–recovery/known-truth evaluation relevant to both processing and validation design.,Model complexity and tuning may exceed what is needed for F3A; validation transfer to QPP selection is not automatic.,MUST_ADDRESS_BEFORE_F3B_FREEZE,BAII4E0029;BAII4E0030;BAII4E0031;BAII4E0032,NOT_DECIDED_IN_BAII,Consideration priority does not imply implementation or adoption.
BAIIW0037,Time-varying harmonic trend + ARMA/GARCH flare detection,stellar flare detection / upstream event construction,YES,NO,NOT_REPORTED,YES,Explicit trend and stochastic-volatility treatment is a concrete processing comparator for flare-event construction.,Different statistical assumptions and implementation complexity may make only a limited comparator practical.,MUST_ADDRESS_BEFORE_F3A_FREEZE,BAII4E0057;BAII4E0058;BAII4E0059;BAII4E0060,NOT_DECIDED_IN_BAII,Consideration priority does not imply implementation or adoption.
BAIIW0098,Fully convolutional neural network (FCN) QPP classifier,stellar flare detection / upstream event construction,YES,YES,NOT_REPORTED,YES,Direct QPP classifier with synthetic known truth; central comparator for reference-label strategy and later F3B validation.,Signal-family mismatch and classifier retraining/transfer to TESS must be handled explicitly.,MUST_ADDRESS_BEFORE_F3A_FREEZE,BAII4E0097;BAII4E0098;BAII4E0099;BAII4E0100,NOT_DECIDED_IN_BAII,Consideration priority does not imply implementation or adoption.
BAIIW0145,flatwrm2 LSTM flare detection,stellar flare detection / upstream event construction,YES,NO,NOT_REPORTED,YES,Large TESS LSTM flare catalogue provides an alternative upstream catalogue/event-selection pipeline.,Reproducing catalogue construction may be unnecessary if used only for positioning or sensitivity checks.,MUST_ADDRESS_BEFORE_F3A_FREEZE,BAII4E0113;BAII4E0114;BAII4E0115;BAII4E0116,NOT_DECIDED_IN_BAII,Consideration priority does not imply implementation or adoption.
BAIIW0147,Wavelet-based denoising + flare detection,QPP classification/detection,NO,YES,NOT_REPORTED,YES,Wavelet denoising plus injection–recovery gives a concrete low-energy detection/selection-function analogue for F3B.,CHEOPS/low-energy context does not transfer directly to TESS QPP selection.,MUST_ADDRESS_BEFORE_F3B_FREEZE,BAII4E0117;BAII4E0118;BAII4E0119;BAII4E0120,NOT_DECIDED_IN_BAII,Consideration priority does not imply implementation or adoption.
BAIIW0149,ardor multitier flare-detection pipeline,stellar flare detection / upstream event construction,YES,YES,NOT_REPORTED,YES,Multitier TESS flare pipeline with injection tests informs event selection and completeness/false-selection handling.,Planet-host target selection differs from the prospective F3A universe; only pipeline/validation features are transferable.,MUST_ADDRESS_BEFORE_F3A_FREEZE,BAII4E0121;BAII4E0122;BAII4E0123;BAII4E0124,NOT_DECIDED_IN_BAII,Consideration priority does not imply implementation or adoption.
BAIIW0154,Logistic regression + FRED template flare detection,stellar flare detection / upstream event construction,NO,YES,NOT_REPORTED,YES,Template/logistic detection with injection–recovery is a useful methodological validation analogue outside TESS.,Ground-based cadence/noise differs from TESS; comparator value is methodological rather than observationally direct.,MUST_ADDRESS_BEFORE_F3B_FREEZE,BAII4E0129;BAII4E0130;BAII4E0131;BAII4E0132,NOT_DECIDED_IN_BAII,Consideration priority does not imply implementation or adoption.
BAIIW0156,flarenet 1D convolutional neural network,stellar flare detection / upstream event construction,YES,YES,NOT_REPORTED,YES,"TESS 20-s CNN flare detector with synthetic injections, quality/gap handling and threshold dependence informs both upstream selection and F3B.","Primarily flare, not QPP, detection; incorporation could conflate upstream event selection with QPP classification.",MUST_ADDRESS_BEFORE_F3B_FREEZE,BAII4E0133;BAII4E0134;BAII4E0135;BAII4E0136,NOT_DECIDED_IN_BAII,Consideration priority does not imply implementation or adoption.
BAIIW0168,VAE surrogate + Celerite + HMM additive Bayesian flare model,stellar flare detection / upstream event construction,YES,YES,NOT_REPORTED,YES,Bayesian additive GP/HMM model offers a principled processing comparator and simulation framework.,Computational and modeling complexity may be disproportionate unless used as a focused processing comparator.,MUST_ADDRESS_BEFORE_F3A_FREEZE,BAII4E0141;BAII4E0142;BAII4E0143;BAII4E0144,NOT_DECIDED_IN_BAII,Consideration priority does not imply implementation or adoption.
