issue_id,severity,section,paragraph_id,claim_ids,issue_class,description,required_action,scientific_effect,status,resolution
M14I001,MAJOR,5.4,M1P0046,M1C020;M1C023,VALIDATION_LANGUAGE,The phrase 'no new classifier rule was validated' uses validation generically even though M1C029 requires the validation domain to be explicit.,Replace with a process statement such as 'no new classifier rule was promoted to synthetic-ground-truth held-out evaluation'; preserve the failed specificity gate and untouched 10/10 baseline.,NONE,RESOLVED_GATE3,M1P0046 wording now states promotion to synthetic-ground-truth held-out evaluation.
M14I002,MINOR,5.4,M1P0047,M1C023,VALIDATION_LANGUAGE,The phrase 'validated correction' is unnecessarily generic and can be read as implying a correction-validation event.,Use 'established population correction' or 'promoted correction' language while retaining correction=NOT_ESTABLISHED.,NONE,RESOLVED_GATE3,M1P0047 now uses established population correction wording.
M14I003,MINOR,1,M1P0004,M1C028,VALIDATION_LANGUAGE,"The phrase 'known-truth validation analogues' is generic in a paragraph whose purpose is literature positioning, not a validation result.",Replace with 'known-truth evaluation analogues' or an equivalently scoped phrase using only the frozen BAII corpus.,NONE,RESOLVED_GATE3,M1P0004 now uses known-truth evaluation analogues.
M14I004,MINOR,5.1,M1P0040,M1C004;M1C005;M1C008,CLAIM_SCOPE,The sentence 'Scaling therefore did not remove sensitivity to analysis choices' can be read as a causal statement about scaling and uses 'sensitivity' near classifier-performance terminology.,"Recast descriptively: at catalogue scale, dependence of reference classifications on analysis choices remained evident; do not imply a causal scaling intervention or classifier sensitivity.",NONE,RESOLVED_GATE3,M1P0040 recast descriptively as catalogue-scale dependence on frozen analysis choices.
M14I005,MAJOR,2,M1T01,M1C029,VISUAL_READABILITY,Table 1 is scientifically correct but too dense at normal PDF zoom; long cells and narrow columns materially reduce referee readability.,"Keep frozen M1T01 content byte-unchanged and improve only manuscript layout/placement, e.g. landscape/sideways placement and less aggressive typography.",NONE,RESOLVED_GATE4,M1T01 frozen TeX retained byte-exact; manuscript wrapper enlarged typography/margins and passed render inspection.
M14I006,BLOCKING,5.4,M1T04,M1C007;M1C010;M1C020;M1C023;M1C024;M1C028,VISUAL_READABILITY,Table 4 is not acceptably readable at normal PDF zoom in v1; the current landscape scaling produces very small dense text.,Keep frozen M1T04 content byte-unchanged and redesign only its wrapper/placement so every claim boundary is readable at normal zoom.,NONE,RESOLVED_GATE4,M1T04 frozen TeX retained byte-exact; landscape wrapper increased usable width/font and passed render inspection.
M14I007,MINOR,ABSTRACT,M1P0001,M1C001;M1C004;M1C005;M1C006;M1C012;M1C014;M1C015;M1C018;M1C019;M1C023;M1C024,REDUNDANCY,The last two abstract sentences repeat the same observational-validation/population-correction boundary.,Compress the repeated boundary into one precise closing sentence without deleting any frozen claim or denominator.,NONE,RESOLVED_GATE3,Abstract closing boundary compressed into one sentence with no claim/denominator loss.
M14I008,EDITORIAL,1,M1P0003,M1C028,STYLE,"The contribution-positioning sentence is long and clause-heavy, making the novelty firewall harder to parse quickly.",Split or streamline the sentence while retaining the explicit non-priority framing and the same frozen citations.,NONE,RESOLVED_GATE3,M1P0003 contribution-positioning sentence streamlined without changing priority firewall/citations.
M14I009,MINOR,4.3,M1P0030,M1C008;M1C009,CLAIM_SCOPE,The phrase 'catalogue-scale methodological sensitivity' is scientifically intended as sensitivity of reference classifications to perturbations but could be confused with classifier sensitivity used later in F3B.,Use explicit robustness wording such as 'dependence of reference classifications on methodological perturbations'.,NONE,RESOLVED_GATE3,M1P0030 now uses explicit dependence-on-methodological-perturbations wording.
M14I010,EDITORIAL,5,MULTIPLE,M1C004;M1C005;M1C007;M1C010;M1C011;M1C013;M1C015;M1C016;M1C021;M1C022;M1C023;M1C024,REDUNDANCY,"Discussion intentionally repeats several firewalls, but some adjacent paragraphs restate the same observational-versus-synthetic and correction boundaries with little added information.",Reduce local repetition only where claim coverage and mandatory qualifications remain mechanically traceable; document any removed paragraph in the revision log.,NONE,RESOLVED_GATE3,Local Discussion redundancy reduced in M1P0069 and M1P0070 while preserving all frozen claim IDs.
