work_id,preferred_version_id,title,baii4_f3a_overlap,baii4_f3a_impact,gate_review_status,evidence_sufficient_for_gate,access_limitation_present,central_overlap_dimension,secondary_overlap_dimensions,what_the_work_actually_establishes,what_it_does_not_establish,implication_for_f3a,implication_type,evidence_ids,source_limitations,baii4_assessment_status,review_notes
BAIIW0001,BAIIV0002,Stationary quasi-periodic pulsations in 20-second cadence TESS flares,DIRECT,F3A_REDRAFT_REQUIRED,CONFIRMED_FOR_GATE_REVIEW,YES,NO,F3A_CATALOG_SCALE,F3A_QPP_CLASSIFICATION_REFERENCE,"Uses 20-second TESS data from Sectors 27–80 at catalogue scale, reporting 3,878 flares on 1,285 flaring stars and 61 QPPs across 57 stars. QPPs are selected with AFINO Fourier model comparison after automated flare detection.","Does not establish the complete prospective F3A robustness design: the abstract-level evidence does not resolve the planned window/processing/quality/gap perturbation matrix, and it does not provide injection–recovery, known physical truth or an independent held-out validation benchmark.",The future F3A design must explicitly reconsider its central catalogue-scale contribution and framing before freeze.,CENTRAL_CONTRIBUTION_RECONSIDERATION,BAII4E0001;BAII4E0002;BAII4E0003;BAII4E0004,The abstract frames the physical QPP mechanism as debated; detailed selection-function performance is not reported.,BAII4_ASSESSMENT_CONFIRMED,BAII.4 assessment confirmed from the frozen extraction/evidence layer.
BAIIW0002,BAIIV0004,Detailed cool star flare morphology with CHEOPS and TESS***,PARTIAL,F3A_DESIGN_ADJUSTMENT_POSSIBLE,CONFIRMED_FOR_GATE_REVIEW,YES,NO,F3A_COHORT_UNIVERSE,NONE,"Reports High-cadence CHEOPS and TESS sample of late-K and M stars; scale: 130 stars and NOT_REPORTED flares; primary method: Dedicated flare-morphology analysis. BAII.4 assessed PARTIAL F3A overlap, principally on F3A_COHORT_UNIVERSE.","Does not reproduce the complete prospective F3A programme. In particular, it does not by itself fix the project's prospectively defined cohort, independent QPP reference-label contract, and the full window/processing/quality/numerical robustness matrix.",This concrete literature feature must be considered when the relevant F3A design choice is prospectively frozen; it does not mandate adoption of the paper's method.,COHORT_UNIVERSE_CONSIDERATION,BAII4E0005;BAII4E0006;BAII4E0007;BAII4E0008,QPP confirmation is described as tentative; the abstract does not provide the detailed QPP decision rule.,BAII4_ASSESSMENT_CONFIRMED,BAII.4 assessment confirmed from the frozen extraction/evidence layer.
BAIIW0003,BAIIV0006,Properties of Flare Quasiperiodic Pulsations Based on a New TESS Flare Catalog,DIRECT,F3A_REDRAFT_REQUIRED,CONFIRMED_FOR_GATE_REVIEW,YES,YES,F3A_CATALOG_SCALE,F3A_QPP_CLASSIFICATION_REFERENCE,"Reports a very large TESS 2-minute flare catalogue (208,280 flares from about 29,280 flaring stars) and applies a previously published fully convolutional neural-network QPP classifier, selecting 10,465 M-star flares with QPP features.","The allowed-source recheck does not resolve the full classifier training/validation protocol, robustness to window/processing choices, or a selection-function/held-out architecture. Those details therefore remain NOT_REPORTED and are not inferred.",The future F3A design must explicitly reconsider its central catalogue-scale contribution and framing before freeze.,CENTRAL_CONTRIBUTION_RECONSIDERATION,BAII4E0009;BAII4E0010;BAII4E0011;BAII4E0012,BAII.4 source-access limitation remains present. The accessible provider-level evidence does not resolve the complete classifier-training/validation protocol.,BAII4_ASSESSMENT_CONFIRMED,"BAII.4 assessment confirmed from the frozen extraction/evidence layer. BAII.5 performed the required final allowed-source check; the refereed record and high-level catalogue/QPP-classification facts remain supported, but the unresolved method-validation detail was not filled by inference."
BAIIW0004,BAIIV0008,A recurrent 70─100 min quasi-periodic pulsation in the intermediate-aged mid-M dwarf GJ 3512,PARTIAL,F3A_DESIGN_ADJUSTMENT_POSSIBLE,CONFIRMED_FOR_GATE_REVIEW,YES,NO,F3A_QPP_CLASSIFICATION_REFERENCE,F3A_WINDOW_ROBUSTNESS,"Reports Single-star multi-sector TESS time series (GJ 3512); scale: 1 star and ~1 flare/day; ~5 flares in Sector 60 flares; primary method: Morlet continuous wavelet transform. BAII.4 assessed PARTIAL F3A overlap, principally on F3A_QPP_CLASSIFICATION_REFERENCE.","Does not reproduce the complete prospective F3A programme. In particular, it does not by itself fix the project's prospectively defined cohort, independent QPP reference-label contract, and the full window/processing/quality/numerical robustness matrix.",This concrete literature feature must be considered when the relevant F3A design choice is prospectively frozen; it does not mandate adoption of the paper's method.,QPP_METHOD_AND_WINDOW_COMPARATOR,BAII4E0013;BAII4E0014;BAII4E0015;BAII4E0016,Sector 60 detection is marginal and lower activity may reduce detectability; a physical coronal interpretation remains to be confirmed.,BAII4_ASSESSMENT_CONFIRMED,BAII.4 assessment confirmed from the frozen extraction/evidence layer.
BAIIW0023,BAIIV0036,"Scalable, Advanced Machine Learning Based Approaches for Stellar Flare Identification: Application to TESS Short-cadence Data and Analysis of a New Flare Catalog",PARTIAL,F3A_DESIGN_ADJUSTMENT_POSSIBLE,CONFIRMED_FOR_GATE_REVIEW,YES,NO,F3A_COHORT_UNIVERSE,NONE,"Reports TESS 2-min all-sky machine-learning flare catalogue, Sectors 1–72; scale: 1.3 million light curves; ~18,000 flare stars and ~250,000 flares; primary method: DNN / Random Forest / XGBoost flare identification. BAII.4 assessed PARTIAL F3A overlap, principally on F3A_COHORT_UNIVERSE.","Does not reproduce the complete prospective F3A programme. In particular, it does not by itself fix the project's prospectively defined cohort, independent QPP reference-label contract, and the full window/processing/quality/numerical robustness matrix.",This concrete literature feature must be considered when the relevant F3A design choice is prospectively frozen; it does not mandate adoption of the paper's method.,CATALOG_SOURCE_AND_EVENT_SELECTION,BAII4E0025;BAII4E0026;BAII4E0027;BAII4E0028,The abstract explicitly notes low-amplitude incompleteness affecting flare-frequency uncertainties.,BAII4_ASSESSMENT_CONFIRMED,BAII.4 assessment confirmed from the frozen extraction/evidence layer.
BAIIW0024,BAIIV0038,Detecting Stellar Flares in Photometric Data Using Hidden Markov Models,PARTIAL,F3A_DESIGN_ADJUSTMENT_POSSIBLE,CONFIRMED_FOR_GATE_REVIEW,YES,NO,F3A_PROCESSING_ROBUSTNESS,NONE,"Reports Method-development study with simulation/injection-recovery and one TESS example; scale: 1 TESS example star plus synthetic experiments and NOT_REPORTED flares; primary method: Three-state hidden Markov model with celerite baseline. BAII.4 assessed PARTIAL F3A overlap, principally on F3A_PROCESSING_ROBUSTNESS.","Does not reproduce the complete prospective F3A programme. In particular, it does not by itself fix the project's prospectively defined cohort, independent QPP reference-label contract, and the full window/processing/quality/numerical robustness matrix.",This concrete literature feature must be considered when the relevant F3A design choice is prospectively frozen; it does not mandate adoption of the paper's method.,PROCESSING_ROBUSTNESS_AND_VALIDATION,BAII4E0029;BAII4E0030;BAII4E0031;BAII4E0032,Independent held-out validation and a formal development/held-out split are not reported in the abstract.,BAII4_ASSESSMENT_CONFIRMED,BAII.4 assessment confirmed from the frozen extraction/evidence layer.
BAIIW0037,BAIIV0060,Detecting stellar flares in the presence of a deterministic trend and stochastic volatility,PARTIAL,F3A_DESIGN_ADJUSTMENT_POSSIBLE,CONFIRMED_FOR_GATE_REVIEW,YES,NO,F3A_PROCESSING_ROBUSTNESS,NONE,"Reports Method study demonstrated on three TESS stars; scale: 3 exemplar stars and up to 145, 460 and 403 detections depending target/threshold flares; primary method: Time-varying harmonic trend + ARMA/GARCH flare detection. BAII.4 assessed PARTIAL F3A overlap, principally on F3A_PROCESSING_ROBUSTNESS.","Does not reproduce the complete prospective F3A programme. In particular, it does not by itself fix the project's prospectively defined cohort, independent QPP reference-label contract, and the full window/processing/quality/numerical robustness matrix.",This concrete literature feature must be considered when the relevant F3A design choice is prospectively frozen; it does not mandate adoption of the paper's method.,PROCESSING_ROBUSTNESS_COMPARATOR,BAII4E0057;BAII4E0058;BAII4E0059;BAII4E0060,Detection counts depend on chosen thresholds; broader validation is not reported in the abstract.,BAII4_ASSESSMENT_CONFIRMED,BAII.4 assessment confirmed from the frozen extraction/evidence layer.
BAIIW0071,BAIIV0113,Searching for Stellar Activity Cycles using Flares II: The TESS CVZ,PARTIAL,F3A_DESIGN_ADJUSTMENT_POSSIBLE,CONFIRMED_FOR_GATE_REVIEW,YES,NO,F3A_COHORT_UNIVERSE,NONE,"Reports TESS Continuous Viewing Zone long-baseline short-cadence survey; scale: >14,000 stars and NOT_REPORTED flares; primary method: Long-term flare-rate monitoring with per-star injection–recovery. BAII.4 assessed PARTIAL F3A overlap, principally on F3A_COHORT_UNIVERSE.","Does not reproduce the complete prospective F3A programme. In particular, it does not by itself fix the project's prospectively defined cohort, independent QPP reference-label contract, and the full window/processing/quality/numerical robustness matrix.",This concrete literature feature must be considered when the relevant F3A design choice is prospectively frozen; it does not mandate adoption of the paper's method.,COHORT_AND_SELECTION_FUNCTION_CONTEXT,BAII4E0093;BAII4E0094;BAII4E0095;BAII4E0096,The abstract does not describe a development/held-out split; long-term candidates require interpretation against sampling/systematics.,BAII4_ASSESSMENT_CONFIRMED,BAII.4 assessment confirmed from the frozen extraction/evidence layer.
BAIIW0098,BAIIV0156,Detecting Quasiperiodic Pulsations in Solar and Stellar Flares with a Neural Network,PARTIAL,F3A_DESIGN_ADJUSTMENT_POSSIBLE,CONFIRMED_FOR_GATE_REVIEW,YES,NO,F3A_QPP_CLASSIFICATION_REFERENCE,NONE,"Reports Synthetic QPP/non-QPP training set + Kepler flare validation/application; scale: 90,000 synthetic flare light curves; 2274-event Kepler catalogue application and 2274 real catalogue events in large application flares; primary method: Fully convolutional neural network (FCN) QPP classifier. BAII.4 assessed PARTIAL F3A overlap, principally on F3A_QPP_CLASSIFICATION_REFERENCE.","Does not reproduce the complete prospective F3A programme. In particular, it does not by itself fix the project's prospectively defined cohort, independent QPP reference-label contract, and the full window/processing/quality/numerical robustness matrix.",This concrete literature feature must be considered when the relevant F3A design choice is prospectively frozen; it does not mandate adoption of the paper's method.,QPP_REFERENCE_CLASSIFIER_AND_VALIDATION,BAII4E0097;BAII4E0098;BAII4E0099;BAII4E0100,The learned signal family is specifically exponentially decaying harmonic QPP; transfer to other QPP morphologies or TESS is not established by the abstract.,BAII4_ASSESSMENT_CONFIRMED,BAII.4 assessment confirmed from the frozen extraction/evidence layer.
BAIIW0145,BAIIV0222,Stellar flare morphology with TESS across the main sequence,PARTIAL,F3A_DESIGN_ADJUSTMENT_POSSIBLE,CONFIRMED_FOR_GATE_REVIEW,YES,NO,F3A_COHORT_UNIVERSE,F3A_EVENT_SELECTION,"Reports Main-sequence TESS flare catalogue across Sectors 1–69; scale: ~14,000 flare stars and ~120,000 flares; primary method: flatwrm2 LSTM flare detection. BAII.4 assessed PARTIAL F3A overlap, principally on F3A_COHORT_UNIVERSE.","Does not reproduce the complete prospective F3A programme. In particular, it does not by itself fix the project's prospectively defined cohort, independent QPP reference-label contract, and the full window/processing/quality/numerical robustness matrix.",This concrete literature feature must be considered when the relevant F3A design choice is prospectively frozen; it does not mandate adoption of the paper's method.,CATALOG_SOURCE_AND_EVENT_SELECTION,BAII4E0113;BAII4E0114;BAII4E0115;BAII4E0116,"Strict filtering/manual vetting reduces completeness, which is directly relevant to catalogue selection effects.",BAII4_ASSESSMENT_CONFIRMED,BAII.4 assessment confirmed from the frozen extraction/evidence layer.
