raw_hit_id,execution_id,query_id,source_database,source_rank,source_record_id,title,authors_raw,source_date,publication_date_raw,updated_date_raw,doi_raw,arxiv_id_raw,bibcode_raw,journal_reference_raw,publication_status_raw,abstract_available,abstract_sha256,provider_metadata_json,raw_payload_filename,raw_payload_record_locator,retrieval_status,error
BAII2H000001,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,1,2025A&A...700A.178J,Stationary quasi-periodic pulsations in 20-second cadence TESS flares,"[""Joshi, Aadish"",""Van Doorsselaere, Tom"",""Lim, Daye"",""Fritzewski, Dario J.""]",2025-08-01T00:00:00Z,2025-08-00,2026-06-08T10:13:48.696Z,"[""10.1051/0004-6361/202554820"",""10.48550/arXiv.2506.22131""]",,2025A&A...700A.178J,Astronomy and Astrophysics,"[""ARTICLE"",""DATA"",""EPRINT_OPENACCESS"",""ESOURCE"",""OPENACCESS"",""PUB_OPENACCESS"",""REFEREED""]",true,23b023b9cc1fe0ad7d7aa5a42bc6bd1d3f1be1787bb016402c860e3ae5b55576,"{""alternate_bibcode"":[""2025arXiv250622131J""],""arxiv_class"":[""astro-ph.SR""],""author"":[""Joshi, Aadish"",""Van Doorsselaere, Tom"",""Lim, Daye"",""Fritzewski, Dario J.""],""bibcode"":""2025A&A...700A.178J"",""date"":""2025-08-01T00:00:00Z"",""doctype"":""article"",""doi"":[""10.1051/0004-6361/202554820"",""10.48550/arXiv.2506.22131""],""eid"":""A178"",""entry_date"":""2025-08-24T00:00:00Z"",""id"":""36321201"",""indexstamp"":""2026-08-08T22:26:32.316Z"",""metadata_mtime"":""2026-06-08T10:13:48.696Z"",""property"":[""ARTICLE"",""DATA"",""EPRINT_OPENACCESS"",""ESOURCE"",""OPENACCESS"",""PUB_OPENACCESS"",""REFEREED""],""pub"":""Astronomy and Astrophysics"",""pubdate"":""2025-08-00"",""title"":[""Stationary quasi-periodic pulsations in 20-second cadence TESS flares""],""year"":""2025""}",page_0001.json,response.docs[0],RETRIEVED,
BAII2H000002,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2,2024A&A...686A.239B,Detailed cool star flare morphology with CHEOPS and TESS***,"[""Bruno, G."",""Pagano, I."",""Scandariato, G."",""Florén, H.-G."",""Brandeker, A."",""Olofsson, G."",""Maxted, P. F. L."",""Fortier, A."",""Sousa, S. G."",""Sulis, S."",""Van Grootel, V."",""Garai, Z."",""Boldog, A."",""Kriskovics, L."",""Szabó, Gy. M."",""Gandolfi, D."",""Alibert, Y."",""Alonso, R."",""Bárczy, T."",""Barrado Navascues, D."",""Barros, S. C. C."",""Baumjohann, W."",""Beck, M."",""Beck, T."",""Benz, W."",""Billot, N."",""Borsato, L."",""Broeg, C."",""Collier Cameron, A."",""Csizmadia, Sz."",""Cubillos, P. E."",""Davies, M. B."",""Deleuil, M."",""Deline, A."",""Delrez, L."",""Demangeon, O. D. S."",""Demory, B.-O."",""Ehrenreich, D."",""Erikson, A."",""Farinato, J."",""Fossati, L."",""Fridlund, M."",""Gillon, M."",""Güdel, M."",""Günther, M. N."",""Heitzmann, A."",""Helling, Ch."",""Hoyer, S."",""Isaak, K. G."",""Kiss, L. L."",""Lam, K. W. F."",""Laskar, J."",""Lecavelier des Etangs, A."",""Lendl, M."",""Magrin, D."",""Mordasini, C."",""Nascimbeni, V."",""Ottensamer, R."",""Pallé, E."",""Peter, G."",""Piotto, G."",""Pollacco, D."",""Queloz, D."",""Ragazzoni, R."",""Rando, N."",""Ratti, F."",""Rauer, H."",""Ribas, I."",""Santos, N. C."",""Sarajlic, M."",""Ségransan, D."",""Simon, A. E."",""Singh, V."",""Smith, A. M. S."",""Stalport, M."",""Thomas, N."",""Udry, S."",""Ulmer, B."",""Venturini, J."",""Villaver, E."",""Walton, N. A."",""Wilson, T. G.""]",2024-06-01T00:00:00Z,2024-06-00,2026-06-15T11:21:33.703Z,"[""10.1051/0004-6361/202348951"",""10.48550/arXiv.2403.17065""]",,2024A&A...686A.239B,Astronomy and Astrophysics,"[""ARTICLE"",""ASSOCIATED"",""DATA"",""EPRINT_OPENACCESS"",""ESOURCE"",""OPENACCESS"",""PUB_OPENACCESS"",""REFEREED""]",true,4ffb8bcb96757cf0b050451ad79e46ccf4ce19f0b444af7f6c3819b6d1c07cd4,"{""alternate_bibcode"":[""2024arXiv240317065B""],""arxiv_class"":[""astro-ph.SR"",""astro-ph.EP""],""author"":[""Bruno, G."",""Pagano, I."",""Scandariato, G."",""Florén, H.-G."",""Brandeker, A."",""Olofsson, G."",""Maxted, P. F. L."",""Fortier, A."",""Sousa, S. G."",""Sulis, S."",""Van Grootel, V."",""Garai, Z."",""Boldog, A."",""Kriskovics, L."",""Szabó, Gy. M."",""Gandolfi, D."",""Alibert, Y."",""Alonso, R."",""Bárczy, T."",""Barrado Navascues, D."",""Barros, S. C. C."",""Baumjohann, W."",""Beck, M."",""Beck, T."",""Benz, W."",""Billot, N."",""Borsato, L."",""Broeg, C."",""Collier Cameron, A."",""Csizmadia, Sz."",""Cubillos, P. E."",""Davies, M. B."",""Deleuil, M."",""Deline, A."",""Delrez, L."",""Demangeon, O. D. S."",""Demory, B.-O."",""Ehrenreich, D."",""Erikson, A."",""Farinato, J."",""Fossati, L."",""Fridlund, M."",""Gillon, M."",""Güdel, M."",""Günther, M. N."",""Heitzmann, A."",""Helling, Ch."",""Hoyer, S."",""Isaak, K. G."",""Kiss, L. L."",""Lam, K. W. F."",""Laskar, J."",""Lecavelier des Etangs, A."",""Lendl, M."",""Magrin, D."",""Mordasini, C."",""Nascimbeni, V."",""Ottensamer, R."",""Pallé, E."",""Peter, G."",""Piotto, G."",""Pollacco, D."",""Queloz, D."",""Ragazzoni, R."",""Rando, N."",""Ratti, F."",""Rauer, H."",""Ribas, I."",""Santos, N. C."",""Sarajlic, M."",""Ségransan, D."",""Simon, A. E."",""Singh, V."",""Smith, A. M. S."",""Stalport, M."",""Thomas, N."",""Udry, S."",""Ulmer, B."",""Venturini, J."",""Villaver, E."",""Walton, N. A."",""Wilson, T. G.""],""bibcode"":""2024A&A...686A.239B"",""date"":""2024-06-01T00:00:00Z"",""doctype"":""article"",""doi"":[""10.1051/0004-6361/202348951"",""10.48550/arXiv.2403.17065""],""eid"":""A239"",""entry_date"":""2024-06-23T00:00:00Z"",""id"":""29071414"",""indexstamp"":""2026-08-08T22:22:51.910Z"",""metadata_mtime"":""2026-06-15T11:21:33.703Z"",""property"":[""ARTICLE"",""ASSOCIATED"",""DATA"",""EPRINT_OPENACCESS"",""ESOURCE"",""OPENACCESS"",""PUB_OPENACCESS"",""REFEREED""],""pub"":""Astronomy and Astrophysics"",""pubdate"":""2024-06-00"",""title"":[""Detailed cool star flare morphology with CHEOPS and TESS***""],""year"":""2024""}",page_0001.json,response.docs[1],RETRIEVED,
BAII2H000003,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,3,2025ApJS..281...52W,Properties of Flare Quasiperiodic Pulsations Based on a New TESS Flare Catalog,"[""Wang, Yinpeng"",""Zhang, Li-yun"",""Su, Tianhao"",""Misra, Prabhakar"",""Han, Xianming L.""]",2025-12-01T00:00:00Z,2025-12-00,2026-06-08T10:14:32.419Z,"[""10.3847/1538-4365/ae1469""]",,2025ApJS..281...52W,The Astrophysical Journal Supplement Series,"[""ARTICLE"",""DATA"",""ESOURCE"",""OPENACCESS"",""PUB_OPENACCESS"",""REFEREED""]",true,03c139e9270e943064ba07f411b3494c69ad15bac669677c2b93e03a1a165c21,"{""author"":[""Wang, Yinpeng"",""Zhang, Li-yun"",""Su, Tianhao"",""Misra, Prabhakar"",""Han, Xianming L.""],""bibcode"":""2025ApJS..281...52W"",""date"":""2025-12-01T00:00:00Z"",""doctype"":""article"",""doi"":[""10.3847/1538-4365/ae1469""],""eid"":""52"",""entry_date"":""2025-12-07T00:00:00Z"",""id"":""38146159"",""indexstamp"":""2026-08-06T21:23:03.934Z"",""metadata_mtime"":""2026-06-08T10:14:32.419Z"",""property"":[""ARTICLE"",""DATA"",""ESOURCE"",""OPENACCESS"",""PUB_OPENACCESS"",""REFEREED""],""pub"":""The Astrophysical Journal Supplement Series"",""pubdate"":""2025-12-00"",""title"":[""Properties of Flare Quasiperiodic Pulsations Based on a New TESS Flare Catalog""],""year"":""2025""}",page_0001.json,response.docs[2],RETRIEVED,
BAII2H000004,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,4,2026MNRAS.546f2256L,A recurrent 70─100 min quasi-periodic pulsation in the intermediate-aged mid-M dwarf GJ 3512,"[""López-Santiago, J."",""Reale, F."",""Micela, G."",""Martino, L."",""Vázquez-Vilar, G."",""Miguez, J.""]",2026-02-01T00:00:00Z,2026-02-00,2026-06-08T10:15:10.510Z,"[""10.1093/mnras/staf2256"",""10.48550/arXiv.2512.18086""]",,2026MNRAS.546f2256L,Monthly Notices of the Royal Astronomical Society,"[""ARTICLE"",""DATA"",""EPRINT_OPENACCESS"",""ESOURCE"",""OPENACCESS"",""PUB_OPENACCESS"",""REFEREED""]",true,6940aaca7c4ca21e301d9ac30a1624a274403d298359eb00260aebd446c9d94b,"{""alternate_bibcode"":[""2025arXiv251218086L"",""2025MNRAS.tmp.2125L"",""2026MNRAS.546S2256L""],""arxiv_class"":[""astro-ph.SR""],""author"":[""López-Santiago, J."",""Reale, F."",""Micela, G."",""Martino, L."",""Vázquez-Vilar, G."",""Miguez, J.""],""bibcode"":""2026MNRAS.546f2256L"",""date"":""2026-02-01T00:00:00Z"",""doctype"":""article"",""doi"":[""10.1093/mnras/staf2256"",""10.48550/arXiv.2512.18086""],""eid"":""staf2256"",""entry_date"":""2026-01-25T00:00:00Z"",""id"":""38424108"",""indexstamp"":""2026-08-06T20:01:39.252Z"",""metadata_mtime"":""2026-06-08T10:15:10.510Z"",""property"":[""ARTICLE"",""DATA"",""EPRINT_OPENACCESS"",""ESOURCE"",""OPENACCESS"",""PUB_OPENACCESS"",""REFEREED""],""pub"":""Monthly Notices of the Royal Astronomical Society"",""pubdate"":""2026-02-00"",""title"":[""A recurrent 70─100 min quasi-periodic pulsation in the intermediate-aged mid-M dwarf GJ 3512""],""year"":""2026""}",page_0001.json,response.docs[3],RETRIEVED,
BAII2H000005,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,5,2024ApJS..272...25E,β Cephei Pulsators in Eclipsing Binaries Observed with TESS,"[""Eze, Christian I."",""Handler, Gerald""]",2024-06-01T00:00:00Z,2024-06-00,2026-06-15T11:22:01.914Z,"[""10.3847/1538-4365/ad39c5"",""10.48550/arXiv.2403.12281""]",,2024ApJS..272...25E,The Astrophysical Journal Supplement Series,"[""ARTICLE"",""DATA"",""EPRINT_OPENACCESS"",""ESOURCE"",""OPENACCESS"",""PUB_OPENACCESS"",""REFEREED""]",true,dc00af86ae5cedb34e3acdb583fb33000c1fd9d8ab40bdbb10b01047bd56d5c7,"{""alternate_bibcode"":[""2024arXiv240312281E""],""arxiv_class"":[""astro-ph.SR""],""author"":[""Eze, Christian I."",""Handler, Gerald""],""bibcode"":""2024ApJS..272...25E"",""date"":""2024-06-01T00:00:00Z"",""doctype"":""article"",""doi"":[""10.3847/1538-4365/ad39c5"",""10.48550/arXiv.2403.12281""],""eid"":""25"",""entry_date"":""2024-05-19T00:00:00Z"",""id"":""28584426"",""indexstamp"":""2026-08-07T01:25:40.352Z"",""metadata_mtime"":""2026-06-15T11:22:01.914Z"",""property"":[""ARTICLE"",""DATA"",""EPRINT_OPENACCESS"",""ESOURCE"",""OPENACCESS"",""PUB_OPENACCESS"",""REFEREED""],""pub"":""The Astrophysical Journal Supplement Series"",""pubdate"":""2024-06-00"",""title"":[""β Cephei Pulsators in Eclipsing Binaries Observed with TESS""],""year"":""2024""}",page_0001.json,response.docs[4],RETRIEVED,
BAII2H000006,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,6,2024maeu.conf..496P,Quasi-periodic pulsations in flares of UV Ceti-type stars,"[""Panferov, A."",""Kolotkov, D."",""Beskin, G."",""Karpov, S."",""Plokhotnichenko, V."",""Maryeva, O.""]",2024-12-01T00:00:00Z,2024-12-00,2026-03-23T19:01:00.797Z,"[""10.26119/VAK2024.079""]",,2024maeu.conf..496P,Modern Astronomy: From the Early Universe to Exoplanets and Black Holes,"[""ARTICLE"",""ESOURCE"",""NOT REFEREED""]",true,704ec187c7896f4e144097feda3934152bac8237d42379cdec59b93b0f98f7c9,"{""author"":[""Panferov, A."",""Kolotkov, D."",""Beskin, G."",""Karpov, S."",""Plokhotnichenko, V."",""Maryeva, O.""],""bibcode"":""2024maeu.conf..496P"",""date"":""2024-12-01T00:00:00Z"",""doctype"":""inproceedings"",""doi"":[""10.26119/VAK2024.079""],""entry_date"":""2025-04-27T00:00:00Z"",""id"":""34038473"",""indexstamp"":""2026-08-07T01:35:53.109Z"",""metadata_mtime"":""2026-03-23T19:01:00.797Z"",""property"":[""ARTICLE"",""ESOURCE"",""NOT REFEREED""],""pub"":""Modern Astronomy: From the Early Universe to Exoplanets and Black Holes"",""pubdate"":""2024-12-00"",""title"":[""Quasi-periodic pulsations in flares of UV Ceti-type stars""],""year"":""2024""}",page_0001.json,response.docs[5],RETRIEVED,
BAII2H000007,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,7,2025A&A...703A.155P,Exploring low-amplitude variability in first-overtone Cepheids with TESS,"[""Plachy, E."",""Netzel, H."",""Bódi, A.""]",2025-11-01T00:00:00Z,2025-11-00,2026-07-13T10:27:00.024Z,"[""10.1051/0004-6361/202556557"",""10.48550/arXiv.2510.05017""]",,2025A&A...703A.155P,Astronomy and Astrophysics,"[""ARTICLE"",""ASSOCIATED"",""DATA"",""EPRINT_OPENACCESS"",""ESOURCE"",""OPENACCESS"",""PUB_OPENACCESS"",""REFEREED""]",true,4a0ab5c09b4f3eb2d4d514b986a1786349c4eb20f3017351b94bceaf035013d0,"{""alternate_bibcode"":[""2025arXiv251005017P""],""arxiv_class"":[""astro-ph.SR""],""author"":[""Plachy, E."",""Netzel, H."",""Bódi, A.""],""bibcode"":""2025A&A...703A.155P"",""date"":""2025-11-01T00:00:00Z"",""doctype"":""article"",""doi"":[""10.1051/0004-6361/202556557"",""10.48550/arXiv.2510.05017""],""eid"":""A155"",""entry_date"":""2025-11-23T00:00:00Z"",""id"":""38077894"",""indexstamp"":""2026-08-07T21:36:38.149Z"",""metadata_mtime"":""2026-07-13T10:27:00.024Z"",""property"":[""ARTICLE"",""ASSOCIATED"",""DATA"",""EPRINT_OPENACCESS"",""ESOURCE"",""OPENACCESS"",""PUB_OPENACCESS"",""REFEREED""],""pub"":""Astronomy and Astrophysics"",""pubdate"":""2025-11-00"",""title"":[""Exploring low-amplitude variability in first-overtone Cepheids with TESS""],""year"":""2025""}",page_0001.json,response.docs[6],RETRIEVED,
BAII2H000008,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,8,2026arXiv260203499R,Similarities and differences between solar and stellar flare pulsation processes,"[""Reale, Fabio""]",2026-02-01T00:00:00Z,2026-02-00,2026-06-15T15:51:08.695Z,"[""10.48550/arXiv.2602.03499""]",arXiv:2602.03499,2026arXiv260203499R,arXiv e-prints,"[""ARTICLE"",""EPRINT_OPENACCESS"",""ESOURCE"",""NOT REFEREED"",""OPENACCESS""]",true,8008ac205f5e449f6aa63eb571e253a2db19caf9bf1082b4bb5efe353fa3d24a,"{""arxiv_class"":[""astro-ph.SR""],""author"":[""Reale, Fabio""],""bibcode"":""2026arXiv260203499R"",""date"":""2026-02-01T00:00:00Z"",""doctype"":""eprint"",""doi"":[""10.48550/arXiv.2602.03499""],""eid"":""arXiv:2602.03499"",""entry_date"":""2026-02-04T00:00:00Z"",""id"":""38566604"",""indexstamp"":""2026-08-09T02:53:53.673Z"",""metadata_mtime"":""2026-06-15T15:51:08.695Z"",""property"":[""ARTICLE"",""EPRINT_OPENACCESS"",""ESOURCE"",""NOT REFEREED"",""OPENACCESS""],""pub"":""arXiv e-prints"",""pubdate"":""2026-02-00"",""title"":[""Similarities and differences between solar and stellar flare pulsation processes""],""year"":""2026""}",page_0001.json,response.docs[7],RETRIEVED,
BAII2H000009,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,9,2024MNRAS.527.8402K,Period variability in the pulsating Extreme Helium stars V652 Her and BX Cir,"[""Kilkenny, D."",""Worters, H. L."",""Baran, A. S.""]",2024-01-01T00:00:00Z,2024-01-00,2026-03-23T19:01:24.729Z,"[""10.1093/mnras/stad3544""]",,2024MNRAS.527.8402K,Monthly Notices of the Royal Astronomical Society,"[""ARTICLE"",""DATA"",""ESOURCE"",""OPENACCESS"",""PUB_OPENACCESS"",""REFEREED""]",true,a30173c28364df1f0f3694963da11988fe8f008c82270e0feea1368dc9594ac3,"{""alternate_bibcode"":[""2023MNRAS.tmp.3429K""],""author"":[""Kilkenny, D."",""Worters, H. L."",""Baran, A. S.""],""bibcode"":""2024MNRAS.527.8402K"",""date"":""2024-01-01T00:00:00Z"",""doctype"":""article"",""doi"":[""10.1093/mnras/stad3544""],""entry_date"":""2023-12-24T00:00:00Z"",""id"":""26372400"",""indexstamp"":""2026-08-09T02:36:15.847Z"",""metadata_mtime"":""2026-03-23T19:01:24.729Z"",""property"":[""ARTICLE"",""DATA"",""ESOURCE"",""OPENACCESS"",""PUB_OPENACCESS"",""REFEREED""],""pub"":""Monthly Notices of the Royal Astronomical Society"",""pubdate"":""2024-01-00"",""title"":[""Period variability in the pulsating Extreme Helium stars V652 Her and BX Cir""],""year"":""2024""}",page_0001.json,response.docs[8],RETRIEVED,
BAII2H000010,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,10,2024ApJ...973..114L,WASP 0346-21: An EL CVn-type Eclipsing Binary with Multiperiodic Pulsations in a Triple System,"[""Lee, Jae Woo"",""Hong, Kyeongsoo"",""Jeong, Min-Ji"",""Wolf, Marek""]",2024-10-01T00:00:00Z,2024-10-00,2026-06-15T11:21:55.321Z,"[""10.3847/1538-4357/ad67c7"",""10.48550/arXiv.2407.17729""]",,2024ApJ...973..114L,The Astrophysical Journal,"[""ARTICLE"",""DATA"",""EPRINT_OPENACCESS"",""ESOURCE"",""OPENACCESS"",""PUB_OPENACCESS"",""REFEREED""]",true,b22751d986b2dc9469d09d7037f4a76aa5a949d2a7b2b45140f2a13575b192e7,"{""alternate_bibcode"":[""2024arXiv240717729L""],""arxiv_class"":[""astro-ph.SR""],""author"":[""Lee, Jae Woo"",""Hong, Kyeongsoo"",""Jeong, Min-Ji"",""Wolf, Marek""],""bibcode"":""2024ApJ...973..114L"",""date"":""2024-10-01T00:00:00Z"",""doctype"":""article"",""doi"":[""10.3847/1538-4357/ad67c7"",""10.48550/arXiv.2407.17729""],""eid"":""114"",""entry_date"":""2024-12-01T00:00:00Z"",""id"":""31167513"",""indexstamp"":""2026-08-09T02:15:22.615Z"",""metadata_mtime"":""2026-06-15T11:21:55.321Z"",""property"":[""ARTICLE"",""DATA"",""EPRINT_OPENACCESS"",""ESOURCE"",""OPENACCESS"",""PUB_OPENACCESS"",""REFEREED""],""pub"":""The Astrophysical Journal"",""pubdate"":""2024-10-00"",""title"":[""WASP 0346-21: An EL CVn-type Eclipsing Binary with Multiperiodic Pulsations in a Triple System""],""year"":""2024""}",page_0001.json,response.docs[9],RETRIEVED,
