overlap_evidence_id,work_id,target_phase,comparison_dimension,overlap_level,literature_description,project_reference_description,evidence_ids,project_reference_source,project_reference_locator,assessment_rationale
BAII4O0001,BAIIW0001,F3A,F3A_CATALOG_SCALE,DIRECT,"TESS 20-second-cadence stellar-flare survey, Sectors 27–80; reported scale 1285 flaring stars and 3878 flares.",Catalogue-scale observational robustness extending the frozen ten-event F2 pilot to a substantially broader prospectively defined observational cohort.,BAII4E0001;BAII4E0002;BAII4E0003,workflows/phase3a/ENTRY_CONTRACT.md,Purpose; Phase 3A scientific role,Direct overlap with the central catalogue-scale TESS/QPP comparison target.
BAII4O0002,BAIIW0001,F3A,F3A_QPP_CLASSIFICATION_REFERENCE,DIRECT,QPP/detection reference: AFINO Fourier model comparison; selection description: AFINO Fourier-domain model-comparison test applied to detected flares.,"QPP-labelled/comparison-event provenance and selection rules must be independent of the F3A output; F3A cannot establish physical truth, sensitivity/specificity, observational false-positive rate or true-negative status.",BAII4E0001;BAII4E0002;BAII4E0003,workflows/phase3a/ENTRY_CONTRACT.md,Candidate discovery; Prohibited Phase 3A interpretations,Direct overlap with the central catalogue-scale TESS/QPP comparison target.
BAII4O0003,BAIIW0002,F3A,F3A_COHORT_UNIVERSE,PARTIAL,High-cadence CHEOPS and TESS sample of late-K and M stars; reported scale 130 stars and NOT_REPORTED flares.,"Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.",BAII4E0005;BAII4E0006;BAII4E0007,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0004,BAIIW0003,F3A,F3A_CATALOG_SCALE,DIRECT,"Large TESS flare catalogue with QPP-candidate classification; reported scale ~29,280 flaring stars and 208,280 flares.",Catalogue-scale observational robustness extending the frozen ten-event F2 pilot to a substantially broader prospectively defined observational cohort.,BAII4E0009;BAII4E0010;BAII4E0011,workflows/phase3a/ENTRY_CONTRACT.md,Purpose; Phase 3A scientific role,Direct overlap with the central catalogue-scale TESS/QPP comparison target.
BAII4O0005,BAIIW0003,F3A,F3A_QPP_CLASSIFICATION_REFERENCE,DIRECT,QPP/detection reference: Fully convolutional neural-network QPP classifier; selection description: Fully-convolutional-network-based QPP classification derived from prior work.,"QPP-labelled/comparison-event provenance and selection rules must be independent of the F3A output; F3A cannot establish physical truth, sensitivity/specificity, observational false-positive rate or true-negative status.",BAII4E0009;BAII4E0010;BAII4E0011,workflows/phase3a/ENTRY_CONTRACT.md,Candidate discovery; Prohibited Phase 3A interpretations,Direct overlap with the central catalogue-scale TESS/QPP comparison target.
BAII4O0006,BAIIW0004,F3A,F3A_QPP_CLASSIFICATION_REFERENCE,PARTIAL,QPP/detection reference: Morlet continuous wavelet transform; selection description: Morlet continuous-wavelet analysis with significance testing; reconstructed signal in 70–100 min band.,"QPP-labelled/comparison-event provenance and selection rules must be independent of the F3A output; F3A cannot establish physical truth, sensitivity/specificity, observational false-positive rate or true-negative status.",BAII4E0013;BAII4E0014;BAII4E0015,workflows/phase3a/ENTRY_CONTRACT.md,Candidate discovery; Prohibited Phase 3A interpretations,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0007,BAIIW0004,F3A,F3A_WINDOW_ROBUSTNESS,PARTIAL,Window definition/robustness: definition=15-point (~30 min) moving mean before wavelet analysis; 70–100/120 min band investigated.; tested=YES.,Temporal-window dependence is a primary observational-robustness dimension; future F3A must freeze temporal-window perturbations rather than silently inherit the F2 grid.,BAII4E0013;BAII4E0014;BAII4E0015,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0008,BAIIW0006,F3A,F3A_QPP_CLASSIFICATION_REFERENCE,CONTEXT_ONLY,QPP/detection reference: Fourier transform + empirical mode decomposition; selection description: Fourier transform and empirical mode decomposition.,"QPP-labelled/comparison-event provenance and selection rules must be independent of the F3A output; F3A cannot establish physical truth, sensitivity/specificity, observational false-positive rate or true-negative status.",BAII4E0017;BAII4E0018;BAII4E0019,workflows/phase3a/ENTRY_CONTRACT.md,Candidate discovery; Prohibited Phase 3A interpretations,The work informs the dimension contextually without using the same prospective TESS catalogue-scale design.
BAII4O0009,BAIIW0008,F3A,F3A_QPP_CLASSIFICATION_REFERENCE,PARTIAL,"QPP/detection reference: Review of Fourier, wavelet, AFINO and related QPP techniques; selection description: Review of published QPP detection methods and physical interpretations.","QPP-labelled/comparison-event provenance and selection rules must be independent of the F3A output; F3A cannot establish physical truth, sensitivity/specificity, observational false-positive rate or true-negative status.",BAII4E0021;BAII4E0022;BAII4E0023,workflows/phase3a/ENTRY_CONTRACT.md,Candidate discovery; Prohibited Phase 3A interpretations,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
BAII4O0010,BAIIW0023,F3A,F3A_COHORT_UNIVERSE,PARTIAL,"TESS 2-min all-sky machine-learning flare catalogue, Sectors 1–72; reported scale 1.3 million light curves; ~18,000 flare stars and ~250,000 flares.","Prospectively defined catalogue-scale observational cohort; source catalogue(s), eligibility criteria, cohort construction, inclusion/exclusion, duplicates/repeated observations and observational roles/strata must be frozen before execution.",BAII4E0025;BAII4E0026;BAII4E0027,workflows/phase3a/ENTRY_CONTRACT.md,Phase 3A scientific role; Required prospective design,The work addresses a related observational/methodological dimension but does not duplicate the full prospective F3A design.
