claim_id,domain,claim_text,evidence_class,source_task,source_artifact,source_sha256,source_location,population,numerator,denominator,estimate,uncertainty_or_dispersion,scope,supported_interpretation,prohibited_interpretation,status
C001,observational_baseline,Cinco detecciones QPP publicadas fueron reproducidas con el baseline observacional congelado.,OBSERVATIONAL_REPRODUCTION,F0.15,fase0_tarea15_reproduced_baseline.json,4c0bf97f875b9beb2bd2d619b26fa77b083fb946a05d3ee48c32896046690dc7,validated_events.published_qpp_reproduced,detecciones publicadas examinadas,5,5,5 reproducciones estables,10/10 seeds por detección en la cohorte congelada,Solo las cinco detecciones TESS examinadas con el baseline efectivo; no las 61 detecciones del catálogo.,El protocolo congelado reproduce la decisión publicada en estas cinco observaciones.,AFINO está validado para la población TESS o se reprodujo el pipeline completo de los autores.,SUPPORTED
C002,observational_baseline,Los cinco eventos observacionales emparejados no seleccionados se conservaron como no seleccionados.,OBSERVATIONAL_REPRODUCTION,F0.15,fase0_tarea15_reproduced_baseline.json,4c0bf97f875b9beb2bd2d619b26fa77b083fb946a05d3ee48c32896046690dc7,validated_events.matched_not_selected_retained,controles observacionales emparejados,5,5,5 controles retenidos,0/10 seeds seleccionadas por control,Cinco eventos emparejados pertenecientes a cinco TIC; no una muestra poblacional de no detecciones.,El baseline preserva la clasificación del catálogo en estos controles emparejados.,Especificidad observacional o tasa observacional de falsos positivos.,SUPPORTED
C003,physical_truth,La reproducción observacional no establece ground truth físico independiente para QPP.,PHYSICAL_INTERPRETATION_NOT_ESTABLISHED,F0.15,fase0_tarea15_reproduced_baseline.json,4c0bf97f875b9beb2bd2d619b26fa77b083fb946a05d3ee48c32896046690dc7,numerical_risks.NO_OBSERVATIONAL_GROUND_TRUTH,diez observaciones congeladas,,,no establecido,UNRESOLVED,"Las etiquetas son resultados del catálogo, no verificación física independiente.",Se reproduce una clasificación publicada.,Las cinco detecciones contienen QPP físicas demostradas y los controles no las contienen.,NOT_ESTABLISHED
C004,observational_scope,"El baseline observacional es una reproducción efectiva, no una reconstrucción documental completa ni una estimación de rendimiento poblacional.",METHOD_CONSTRAINT,F0.15,fase0_tarea15_reproduced_baseline.json,4c0bf97f875b9beb2bd2d619b26fa77b083fb946a05d3ee48c32896046690dc7,scope_statement,protocolo observacional congelado,,,alcance limitado,paper_reproduction_status=UNRESOLVED,Baseline identificado empíricamente para diez observaciones.,Existe un protocolo reproducible apto para pruebas de robustez sobre la misma cohorte.,Equivalencia documental con la capa TESS privada.,SUPPORTED_WITH_LIMITATION
C005,synthetic_core_null,El benchmark sintético principal produjo 0/480 selecciones bajo su nulo construido.,SYNTHETIC_GROUND_TRUTH,F1.6,fase1_tarea06_analysis_audit.json,207b1b058a8faf6d145bb31d698a9994c90fa2550e0ea7d204c330f7a875a04a,descriptive_results.null_selected/null_planned,realizaciones nulas sintéticas primarias,0,480,synthetic false selection 0/480,"Cada condición nula: 0/40; Wilson descriptivo superior 8,8 %","Generador estacionario congelado, ruido rojo, cadencia 20 s y protocolo AFINO prerregistrado.",No hubo synthetic false selection en este nulo y diseño.,Tasa observacional de falsos positivos igual a cero.,SUPPORTED
C006,synthetic_core_positive,"La detección positiva sintética estuvo fuertemente estratificada por N, periodo, ruido y amplitud.",SYNTHETIC_GROUND_TRUTH,F1.6,fase1_tarea06_condition_summary.csv,25c60ca7cfdbb46bb9a389fa16ce8f2be98e734e689186815c6a97cdc042d1eb,99 filas ground_truth=STATIONARY_QPP_PRESENT,99 condiciones positivas sintéticas,21,99,21 condiciones con alguna selección; 78 con 0/40; rango 0–100 %,Mediana por condición 0 %; estratificación completa,QPP estacionaria modulada por la envolvente y grid F1.1.,La detectabilidad depende de la condición sintética.,Sensibilidad global de AFINO o extrapolación a curvas reales.,SUPPORTED
C007,synthetic_short_windows,N=15 y N=30 tuvieron 0/40 selecciones en todas sus condiciones positivas del benchmark principal.,SYNTHETIC_GROUND_TRUTH,F1.6,fase1_tarea06_condition_summary.csv,25c60ca7cfdbb46bb9a389fa16ce8f2be98e734e689186815c6a97cdc042d1eb,"filas positivas con n_samples en {15,30}; n_selected=0",condiciones positivas N=15 y N=30,0,40 por condición,0/40 en cada condición,Sin categoría global de éxito prerregistrada,Ventanas de 280 y 580 s en el generador principal.,El protocolo no seleccionó M1 en las condiciones cortas probadas.,AFINO nunca puede detectar QPP en observaciones cortas.,SUPPORTED
C008,synthetic_core_amplitude,Aumentar la amplitud fue no decreciente en los 33 estratos completos del benchmark principal.,SYNTHETIC_GROUND_TRUTH,F1.6,fase1_tarea06_core_benchmark_analysis.md,c9d31f3b248ae6298eb40d50b27f58adc545226c2c616996584a7cd0749a570c,"§3, párrafo de contrastes de amplitud","33 estratos completos (N, P, alpha)",33,33,"28 contrastes positivos, 71 cero y 0 negativos",Solo 4/33 estratos aumentaron estrictamente en ambos pasos,"Amplitudes q=0,01, 0,02 y 0,04 emparejadas.",Mayor q no redujo la selección dentro de los pares sintéticos.,Relación causal general o monotonicidad en datos reales.,SUPPORTED
C009,numerical_stability_core,"La decisión fue estable frente a la seed externa en F1.6, pero M2 mostró múltiples soluciones en 97/111 condiciones.",NUMERICAL_DIAGNOSTIC,F1.6,fase1_tarea06_analysis_audit.json,207b1b058a8faf6d145bb31d698a9994c90fa2550e0ea7d204c330f7a875a04a,descriptive_results.optimizer_conditions_with_decision_change y m2_multiple_solution_conditions,"111 condiciones, seeds externas 0–9",97,111,"0 condiciones con cambio de decisión; 97 con rango M2>0,001","Máximo rango M2 documentado: 4,542837",Estabilidad de clasificación y dispersión de BIC.,La clasificación puede ser estable entre seeds.,La solución numérica u óptimo de M2 es único.,SUPPORTED_WITH_LIMITATION
C010,numerical_diagnostics_core,"Bounds y warnings fueron frecuentes en el benchmark principal, especialmente en M1 y M2.",NUMERICAL_DIAGNOSTIC,F1.6,fase1_tarea06_core_benchmark_analysis.md,c9d31f3b248ae6298eb40d50b27f58adc545226c2c616996584a7cd0749a570c,"§6 Bounds, warnings y fallos numéricos",4.440 llamadas primarias por modelo,,4440,"bounds M0=471, M1=3135, M2=1747; warnings M2=2106 llamadas","M1 bounds 10,6/70,6/39,3 % por modelo; warnings M2 47,4 %",Diagnóstico numérico del benchmark sintético.,Deben acompañar la lectura de BIC y periodos.,Son causas demostradas de una selección o invalidan automáticamente una llamada OK.,SUPPORTED_WITH_LIMITATION
C011,short_window_failure,En F1.7 ambas comparaciones fallaron en las 2.040 series cortas y M0 fue siempre la limitante inmediata.,SYNTHETIC_GROUND_TRUTH,F1.7,fase1_tarea07_short_window_diagnostic_audit.json,c565716438d3990119aea48ed85ac8018fa4772d0cb1c952f33e02971ab0c2da,"descriptive_results.threshold_failure_class_counts, bic_winner_counts y all_joint_margins_limited_by_m0","2.040 decisiones primarias N∈{15,30}",2040,2040,BOTH_COMPARISONS_FAILED y BIC winner M0 en 2.040/2.040,"Δ01 mediano -5,478 (N15) y -7,454 (N30)",Ventanas cortas del benchmark principal.,La comparación M1 frente a M0 fue el cuello de botella inmediato.,M0 es causalmente responsable o el resultado prueba una limitación universal.,SUPPORTED
C012,short_window_amplitude,Aumentar amplitud desplazó favorablemente los márgenes en F1.7 sin producir cruces de umbral.,SYNTHETIC_GROUND_TRUTH,F1.7,fase1_tarea07_short_window_amplitude_contrasts.csv,d92ecbf529949a22b2d8314af491b401d920b52d10a3a0db89fa5cb10bc432fc,45 filas; median_change_joint_margin>0 y todos los campos threshold_crossing_count=0,45 contrastes emparejados de amplitud,45,45,45/45 cambio favorable en Δ01 y joint margin; 40/45 en Δ21,0 cruces y 0 cambios de ganador BIC,"N=15 y N=30, amplitudes emparejadas.",La amplitud mueve la evidencia en dirección favorable.,Existe una categoría posterior de casi detección.,SUPPORTED
C013,short_window_length,N=30 no se aproximó uniformemente más a los umbrales que N=15.,METHOD_CONSTRAINT,F1.7,fase1_tarea07_short_window_diagnostic_audit.json,c565716438d3990119aea48ed85ac8018fa4772d0cb1c952f33e02971ab0c2da,descriptive_results.common_strata_n15_closer/common_strata_n30_closer,18 estratos comunes N15–N30,17,18,N15 menos negativo en 17 estratos; N30 en 1,Comparación descriptiva emparejada,Periodos comunes de las ventanas cortas.,Más duración no garantizó mayor proximidad al umbral.,Extender ventanas empeora causalmente la detección.,SUPPORTED_WITH_LIMITATION
C014,nested_design_scope,"F1.8 prerregistró el efecto total de extender prefijos, no un efecto causal puro del número de bins.",METHOD_CONSTRAINT,F1.8,fase1_tarea08_nested_window_preregistration.json,d80890319b4646f8df994ba7c1dd9da3dc1f141834dbf289d1b17c484fa67487,interpretation_limits y paired_trajectory_analysis,360 trayectorias anidadas prerregistradas,,,restricción causal prerregistrada,"Cambian prefijo, ruido, normalización, Hann y grid FFT",Benchmark anidado padre–prefijos.,Se evalúa el efecto total de observar una ventana más extensa.,Los cambios son causados exclusivamente por el número de bins.,SUPPORTED
C015,nested_null,El benchmark anidado produjo dos synthetic false selections entre 720 decisiones nulas primarias.,SYNTHETIC_GROUND_TRUTH,F1.13,fase1_tarea13_nested_analysis_audit.json,7994cd4475c02f2f2675a3275dc1b7d6b90f0bfc9a9532555ea0541e8012ef35,selection_by_n.null_synthetic_false_selection,720 decisiones nulas anidadas,2,720,synthetic false selection 2/720,Una en N=60 y una en N=120; 2/120 trayectorias alguna vez,Nulo sintético del benchmark anidado.,Hubo dos selecciones bajo el nulo construido.,Tasa observacional de falsos positivos.,SUPPORTED
C016,nested_positive,Solo cuatro de 1.440 decisiones positivas anidadas fueron seleccionadas.,SYNTHETIC_GROUND_TRUTH,F1.13,fase1_tarea13_nested_analysis_audit.json,7994cd4475c02f2f2675a3275dc1b7d6b90f0bfc9a9532555ea0541e8012ef35,selection_by_n.positive y period_recovery.selected_execution_count,1.440 decisiones positivas anidadas,4,1440,4 selecciones,"2 en N=60, 2 en N=120; 0 en las demás longitudes","P=50/80 s, q=0,04 y alpha 0/1/2.",La selección fue muy escasa en este diseño anidado.,Sensibilidad observacional o incapacidad general de AFINO.,SUPPORTED
C017,nested_support_contrast,C_support fue negativo en 959/1.200 transiciones positivas.,SYNTHETIC_GROUND_TRUTH,F1.13,fase1_tarea13_nested_analysis_audit.json,7994cd4475c02f2f2675a3275dc1b7d6b90f0bfc9a9532555ea0541e8012ef35,support_hypothesis_contrast.overall,1.200 transiciones positivas anidadas,959,1200,"mediana -0,744515; 241 positivas, 0 cero, 959 negativas","Q1=-1,162037; Q3=-0,167933",Contraste prerregistrado ΔΔ01−ΔΔ21.,En la mayoría de transiciones mejoró más el margen frente a M2.,Efecto causal puro de bins o umbral global de éxito posterior.,SUPPORTED
