limitation_id,source_phase,evidence_plane,description,affected_claim_ids,manuscript_section,mandatory_wording,mitigation,remaining_uncertainty,source_ids
M1L001,F0,M1EP01,F0 observational reproduction does not provide physical QPP ground truth or population performance.,M1C001;M1C024,3.1;4.1;5.3,"Reproduction is an observational-reference result, not physical validation.",Separate reproduction from accuracy claims.,Physical truth remains unresolved.,M1S002;M1S003
M1L002,F0,M1EP01,Private TESS adaptation and exact identity with authors' unpublished pipeline remain unresolved.,M1C001,3.1;4.1,The public baseline is empirically reproduced; private-pipeline identity is unresolved.,Use frozen public-code identity only.,Exact unpublished implementation equivalence is unknown.,M1S002
M1L003,F1,M1EP02,Synthetic benchmark performance is conditional on the designed signal/noise/sampling domain.,M1C002;M1C012,3.2;4.1,F1 results are synthetic-domain results.,Explicitly report support/design dimensions.,Transport outside the design is unestablished.,M1S005;M1S010;M1S015
M1L004,F1,M1EP02,"Numerical warnings, bounds and multiple solutions do not permit a unique-optimum claim.",M1C003;M1C011,3.2;4.4,Binary stability does not establish unique numerical convergence.,Report numerical diagnostics separately from decisions.,Global optimizer uniqueness/convergence remains unauditable.,M1S006;M1S011;M1S015
M1L005,F2,M1EP03,F2 is a ten-event observational pilot with repeated perturbations and no physical ground truth.,M1C004;M1C010;M1C024,3.3;4.2;5.3,"F2 characterizes methodological robustness, not classifier accuracy.",Keep event/perturbation denominators explicit.,Generalization beyond pilot motivated F3A.,M1S017;M1S022;M1S025
M1L006,F2,M1EP03,F2 observational labels cannot support observational FPR/sensitivity/specificity.,M1C004;M1C010,4.2;5.3,Reference-state transitions are not confusion-matrix outcomes.,Use robustness transition language only.,Observational accuracy remains unestimated.,M1S021;M1S023
M1L007,BAII,M1EP06,BAII is bounded to the frozen 2024–2026 search window and documented source-access depth.,M1C028,1,Priority language is bounded to the frozen BAII corpus; no global novelty claim is authorized.,Use safe/qualified wording from positioning matrix.,Literature after the search freeze is not systematically covered.,M1S026;M1S027;M1S029
M1L008,F3A,M1EP04,51/61 published-QPP references do not reproduce the frozen F3A W00/P00 baseline; cause is unresolved within F3A.,M1C006;M1C007;M1C008,4.3;5.3,"These are reproduction mismatches, not physical falsifications.",Condition perturbation claims on baseline-concordant references.,Mechanistic cause remains unresolved.,M1S030;M1S036;M1S038
M1L009,F3A,M1EP04,Observational reference labels are not ground truth; absence of selection gains is not observational FPR.,M1C009;M1C010;M1C024,4.3;5.3,No observational performance metric follows from reference transitions.,Keep reference roles and known-truth metrics separate.,Observational FPR remains unestablished.,M1S035;M1S037;M1S038
M1L010,F3A,M1EP04,Seed-stable binary classification does not imply a unique numerical solution or auditable convergence.,M1C011,4.4,F3A supports seed stability of the binary output in the frozen scope only.,Report numerical multiplicity/warnings separately.,Unique optimum remains unestablished.,M1S033;M1S036;M1S038
M1L011,F3A,M1EP04,Period robustness is conditional on retained selection and baseline comparability.,M1C011,4.4;5.1,F3A period changes are conditional robustness quantities.,Keep selection conditioning explicit.,Unselected/inadmissible cases have no comparable period outcome.,M1S034;M1S036
M1L012,F3B,M1EP05,F3B HELDOUT sensitivity is low in-domain: 152/1800 synthetic positives selected.,M1C013;M1C014;M1C021,4.5;5.2,Report low synthetic sensitivity alongside high specificity.,Use the frozen HELDOUT denominator and interval.,Observational sensitivity remains unknown.,M1S042;M1S046
M1L013,F3B,M1EP05,Observed HELDOUT FP=0/1800 retains finite Wilson uncertainty.,M1C015;M1C016,4.5;5.2,Zero observed false selections is not proof of population FPR=0.,Report Wilson uncertainty.,Underlying synthetic-domain FPR may be nonzero.,M1S042;M1S046
M1L014,F3B,M1EP05,The 156-row HELDOUT selection function is bounded to the frozen synthetic domain.,M1C019;M1C020;M1C023;M1C025,4.6;5.4;5.5,The synthetic selection surface is not an observational population correction.,No DEVELOPMENT pooling/smoothing; defer transport.,Population transport remains F4+.,M1S043;M1S046;M1S047
M1L015,F3B,M1EP05,Period-recovery summaries are conditional on selected true positives with finite recovered period.,M1C021;M1C022,4.6;5.2,Conditional period accuracy does not imply high completeness.,Report coverage separately from period error.,Unselected positives do not contribute period error.,M1S042;M1S044;M1S046
M1L016,F3B,M1EP05,The DEVELOPMENT candidate failed its preregistered specificity-preservation gate and was not promoted.,M1C017;M1C018;M1C023,4.5;5.4,The final HELDOUT rule remained the untouched 10/10 baseline.,No runner-up rescue or post-hoc retuning.,No validated correction was established.,M1S040;M1S041;M1S047
M1L017,F3B,M1EP05,The single-use HELDOUT is consumed and cannot be reused for rule development.,M1C017;M1C018;M1C025,3.5;5.5,Future tuning requires independent new evidence.,Maintain HELDOUT closure.,No further threshold search on this HELDOUT is valid.,M1S047;M1S048
M1L018,BAII;F3A;F3B,M1EP06;M1EP04;M1EP05,External comparators were not executed as part of the frozen F3A/F3B scientific programmes.,M1C028,1;5.5,Literature positioning and comparator disposition do not equal empirical head-to-head benchmarking.,State comparator policy explicitly.,Comparative method superiority is untested.,M1S026;M1S029;M1S036;M1S046
