raw_hit_id,execution_id,query_id,source_database,source_record_id,work_id,version_id,mapping_basis,mapping_confidence,manual_adjudication_required,manual_adjudication_status,title,doi_normalized,arxiv_id_normalized,bibcode,is_preferred_version,mapping_status,error
BAII2H000001,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2025A&A...700A.178J,BAIIW0001,BAIIV0002,AUTO_EXACT_ARXIV;AUTO_EXACT_DOI;AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Stationary quasi-periodic pulsations in 20-second cadence TESS flares,10.1051/0004-6361/202554820,2506.22131,2025A&A...700A.178J,true,RESOLVED,
BAII2H000002,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2024A&A...686A.239B,BAIIW0002,BAIIV0004,AUTO_EXACT_ARXIV;AUTO_EXACT_PROVIDER_RECORD;MANUAL_CONFIRMED_SAME_WORK,HIGH_AFTER_MANUAL_ADJUDICATION,true,MANUAL_CONFIRMED_SAME_WORK,Detailed cool star flare morphology with CHEOPS and TESS***,10.1051/0004-6361/202348951,2403.17065,2024A&A...686A.239B,true,RESOLVED,
BAII2H000003,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2025ApJS..281...52W,BAIIW0003,BAIIV0006,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Properties of Flare Quasiperiodic Pulsations Based on a New TESS Flare Catalog,10.3847/1538-4365/ae1469,,2025ApJS..281...52W,true,RESOLVED,
BAII2H000004,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2026MNRAS.546f2256L,BAIIW0004,BAIIV0008,AUTO_EXACT_ARXIV;AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,A recurrent 70─100 min quasi-periodic pulsation in the intermediate-aged mid-M dwarf GJ 3512,10.1093/mnras/staf2256,2512.18086,2026MNRAS.546f2256L,true,RESOLVED,
BAII2H000005,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2024ApJS..272...25E,BAIIW0005,BAIIV0010,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,β Cephei Pulsators in Eclipsing Binaries Observed with TESS,10.3847/1538-4365/ad39c5,2403.12281,2024ApJS..272...25E,true,RESOLVED,
BAII2H000006,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2024maeu.conf..496P,BAIIW0006,BAIIV0011,AUTO_EXACT_PROVIDER_RECORD,HIGH,true,MANUAL_CONFIRMED_DISTINCT_WORKS,Quasi-periodic pulsations in flares of UV Ceti-type stars,10.26119/vak2024.079,,2024maeu.conf..496P,true,RESOLVED,
BAII2H000007,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2025A&A...703A.155P,BAIIW0007,BAIIV0013,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Exploring low-amplitude variability in first-overtone Cepheids with TESS,10.1051/0004-6361/202556557,2510.05017,2025A&A...703A.155P,true,RESOLVED,
BAII2H000008,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2026arXiv260203499R,BAIIW0008,BAIIV0014,AUTO_EXACT_ARXIV;AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Similarities and differences between solar and stellar flare pulsation processes,,2602.03499,2026arXiv260203499R,true,RESOLVED,
BAII2H000009,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2024MNRAS.527.8402K,BAIIW0009,BAIIV0015,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,Period variability in the pulsating Extreme Helium stars V652 Her and BX Cir,10.1093/mnras/stad3544,,2024MNRAS.527.8402K,true,RESOLVED,
BAII2H000010,BAII2E001,Q01_DIRECT_TESS_QPP,ADS_SCIX,2024ApJ...973..114L,BAIIW0010,BAIIV0017,AUTO_EXACT_PROVIDER_RECORD,HIGH,false,,WASP 0346-21: An EL CVn-type Eclipsing Binary with Multiperiodic Pulsations in a Triple System,10.3847/1538-4357/ad67c7,2407.17729,2024ApJ...973..114L,true,RESOLVED,
