claim_id,claim_type,claim_text,source_work_ids,source_evidence_ids,source_baii_artifacts,scope,allowed_interpretation,prohibited_interpretation,relevance_to_f3a,relevance_to_f3b,relevance_to_manuscript1,confidence_basis
CLM001,SYSTEMATIC_CORPUS_FACT,"Bibliographic Audit II resolves the frozen systematic corpus to 190 unique works, of which 40 were included for structured extraction.",,,screening/screening_manifest.json;extraction/extraction_manifest.json,BAII frozen corpus,The audit denominator is 190 works with 40 primary extracted works.,The 190 works are all QPP literature or all relevant literature globally.,HIGH,HIGH,HIGH,Frozen manifests and validated denominators.
CLM002,OBSERVATIONAL_OVERLAP,Two included works have DIRECT F3A overlap under the frozen BAII.4 rubric: BAIIW0001 and BAIIW0003.,BAIIW0001;BAIIW0003,BAII4E0001;BAII4E0002;BAII4E0003;BAII4E0004;BAII4E0009;BAII4E0010;BAII4E0011;BAII4E0012,extraction/overlap_assessment.csv;extraction/overlap_dimension_evidence.csv,F3A comparison micro-freeze,Both works materially overlap catalogue-scale TESS QPP/classification dimensions relevant to the prospective F3A contribution.,Either work invalidates F3A or proves the future F3A cannot be novel.,CENTRAL,LOW,HIGH,Direct dimensional evidence and critical BAII.5 review.
CLM003,METHOD_OVERLAP,BAIIW0001 applies AFINO Fourier model comparison to a catalogue-scale sample of 20-second TESS flares and reports 61 QPPs across 57 stars.,BAIIW0001,BAII4E0001;BAII4E0002;BAII4E0003;BAII4E0004,extraction/included_work_extraction.csv;extraction/extraction_evidence_log.csv,BAIIW0001 supported source level,Catalogue-scale AFINO/TESS QPP use predates the prospective F3A freeze.,BAIIW0001 implements the complete planned F3A robustness design.,CENTRAL,LOW,HIGH,Frozen BAII.4 evidence plus allowed-source arXiv verification.
CLM004,METHOD_OVERLAP,"BAIIW0003 applies a previously published fully convolutional QPP classifier to a very large TESS flare catalogue and reports 10,465 M-star flares with QPP features.",BAIIW0003,BAII4E0009;BAII4E0010;BAII4E0011;BAII4E0012,extraction/included_work_extraction.csv;extraction/extraction_evidence_log.csv;closure/critical_overlap_review.csv,High-level catalogue/classifier facts only,Machine-learning QPP classification on large TESS catalogue data predates F3A.,"The audit resolves the complete classifier training, validation or selection-function architecture.",CENTRAL,MEDIUM,HIGH,Frozen provider-level evidence; access limitation retained after BAII.5 recheck.
CLM005,DESIGN_CONSIDERATION,"Thirteen additional included works carry F3A_DESIGN_ADJUSTMENT_POSSIBLE and identify concrete cohort, method, processing, quality/gap or numerical considerations.",BAIIW0002;BAIIW0004;BAIIW0023;BAIIW0024;BAIIW0037;BAIIW0071;BAIIW0098;BAIIW0145;BAIIW0149;BAIIW0150;BAIIW0156;BAIIW0168;BAIIW0190,BAII4E0005;BAII4E0006;BAII4E0007;BAII4E0008;BAII4E0013;BAII4E0014;BAII4E0015;BAII4E0016;BAII4E0025;BAII4E0026;BAII4E0027;BAII4E0028;BAII4E0029;BAII4E0030;BAII4E0031;BAII4E0032;BAII4E0057;BAII4E0058;BAII4E0059;BAII4E0060;BAII4E0093;BAII4E0094;BAII4E0095;BAII4E0096;BAII4E0097;BAII4E0098;BAII4E0099;BAII4E0100;BAII4E0113;BAII4E0114;BAII4E0115;BAII4E0116;BAII4E0121;BAII4E0122;BAII4E0123;BAII4E0124;BAII4E0125;BAII4E0126;BAII4E0127;BAII4E0128;BAII4E0133;BAII4E0134;BAII4E0135;BAII4E0136;BAII4E0141;BAII4E0142;BAII4E0143;BAII4E0144;BAII4E0157;BAII4E0158;BAII4E0159;BAII4E0160,extraction/overlap_assessment.csv;closure/critical_overlap_review.csv,Prospective F3A design consideration,These considerations must be addressed or explicitly deferred before F3A freeze.,Every literature method must be implemented in F3A.,HIGH,MEDIUM,MEDIUM,15/15 critical-impact works reviewed.
CLM006,DESIGN_CONSIDERATION,"Eleven BAII.4 comparator candidates are sufficiently defined to merit explicit consideration, but no adoption decision is made in BAII.5.",BAIIW0004;BAIIW0023;BAIIW0024;BAIIW0037;BAIIW0098;BAIIW0145;BAIIW0147;BAIIW0149;BAIIW0154;BAIIW0156;BAIIW0168,BAII4E0013;BAII4E0014;BAII4E0015;BAII4E0016;BAII4E0025;BAII4E0026;BAII4E0027;BAII4E0028;BAII4E0029;BAII4E0030;BAII4E0031;BAII4E0032;BAII4E0057;BAII4E0058;BAII4E0059;BAII4E0060;BAII4E0097;BAII4E0098;BAII4E0099;BAII4E0100;BAII4E0113;BAII4E0114;BAII4E0115;BAII4E0116;BAII4E0117;BAII4E0118;BAII4E0119;BAII4E0120;BAII4E0121;BAII4E0122;BAII4E0123;BAII4E0124;BAII4E0129;BAII4E0130;BAII4E0131;BAII4E0132;BAII4E0133;BAII4E0134;BAII4E0135;BAII4E0136;BAII4E0141;BAII4E0142;BAII4E0143;BAII4E0144,extraction/overlap_assessment.csv;closure/comparator_consideration_matrix.csv,Comparator consideration,Future F3A/F3B design must record how each high-priority comparator is handled.,All 11 comparators are adopted or required to be implemented.,HIGH,HIGH,MEDIUM,11/11 comparator candidates represented.
CLM007,VALIDATION_OVERLAP,"Nine included works provide F3B-relevant injection–recovery, synthetic-ground-truth or selection-function analogues.",BAIIW0024;BAIIW0071;BAIIW0098;BAIIW0147;BAIIW0149;BAIIW0150;BAIIW0154;BAIIW0156;BAIIW0168,BAII4E0029;BAII4E0030;BAII4E0031;BAII4E0032;BAII4E0093;BAII4E0094;BAII4E0095;BAII4E0096;BAII4E0097;BAII4E0098;BAII4E0099;BAII4E0100;BAII4E0117;BAII4E0118;BAII4E0119;BAII4E0120;BAII4E0121;BAII4E0122;BAII4E0123;BAII4E0124;BAII4E0125;BAII4E0126;BAII4E0127;BAII4E0128;BAII4E0129;BAII4E0130;BAII4E0131;BAII4E0132;BAII4E0133;BAII4E0134;BAII4E0135;BAII4E0136;BAII4E0141;BAII4E0142;BAII4E0143;BAII4E0144,extraction/overlap_dimension_evidence.csv;closure/f3b_design_considerations.csv,Prospective F3B validation design,F3B should be designed with explicit awareness of these validation approaches.,These works implement the exact project-specific F3B architecture or must be copied.,LOW,HIGH,MEDIUM,9/9 F3B-impact works represented.
CLM008,VALIDATION_OVERLAP,No included BAII.4 work was assessed as matching the complete project-specific combination of prospective development/validation separation and independent held-out validation.,BAIIW0024;BAIIW0071;BAIIW0098;BAIIW0147;BAIIW0149;BAIIW0150;BAIIW0154;BAIIW0156;BAIIW0168,BAII4E0029;BAII4E0030;BAII4E0031;BAII4E0032;BAII4E0093;BAII4E0094;BAII4E0095;BAII4E0096;BAII4E0097;BAII4E0098;BAII4E0099;BAII4E0100;BAII4E0117;BAII4E0118;BAII4E0119;BAII4E0120;BAII4E0121;BAII4E0122;BAII4E0123;BAII4E0124;BAII4E0125;BAII4E0126;BAII4E0127;BAII4E0128;BAII4E0129;BAII4E0130;BAII4E0131;BAII4E0132;BAII4E0133;BAII4E0134;BAII4E0135;BAII4E0136;BAII4E0141;BAII4E0142;BAII4E0143;BAII4E0144,extraction/included_work_extraction.csv;extraction/overlap_dimension_evidence.csv,Only the 40 included BAII.4 works and the frozen F3B reference,The complete project-specific architecture was not found among included works.,No previous study anywhere has used development/held-out validation for QPP or flare detection.,NONE,HIGH,MEDIUM,Bounded negative statement from the structured 40-work corpus.
CLM009,POSITIONING_CONSTRAINT,F3A must not be positioned as the first catalogue-scale TESS QPP study.,BAIIW0001;BAIIW0003,BAII4E0001;BAII4E0002;BAII4E0003;BAII4E0004;BAII4E0009;BAII4E0010;BAII4E0011;BAII4E0012,closure/precedence_positioning_matrix.csv,Manuscript/F3A positioning,The contribution must be narrowed to the project-specific robustness design and bounded cohort/method choices.,First catalogue-scale TESS QPP study.,CENTRAL,NONE,HIGH,Direct contradiction by included literature.
CLM010,POSITIONING_CONSTRAINT,Global priority claims such as “first TESS QPP selection-effects study” are not authorized by BAII.,BAIIW0001;BAIIW0003;BAIIW0098,BAII4E0001;BAII4E0002;BAII4E0003;BAII4E0004;BAII4E0009;BAII4E0010;BAII4E0011;BAII4E0012;BAII4E0097;BAII4E0098;BAII4E0099;BAII4E0100,closure/precedence_positioning_matrix.csv;closure/limitations_register.csv,Priority wording,Use bounded corpus and design-specific statements.,Convert absence of an exact retrieved precedent into a global literature absence.,HIGH,HIGH,HIGH,Protocol limitation and included overlapping literature.
CLM011,LIMITATION,Five included works retain source-access limitations; only three works were extracted primarily from full text and 35 primarily from abstracts.,BAIIW0003;BAIIW0029;BAIIW0043;BAIIW0182;BAIIW0188,,extraction/extraction_manifest.json;extraction/source_access_log.csv,Evidence-depth limitation,Gate claims must remain at the evidence level actually supported.,All 40 works received equivalent full-text methodological review.,HIGH,HIGH,HIGH,Frozen source-access and extraction manifest counts.
CLM012,LIMITATION,The citation candidate arXiv:2602.20402 is supplemental context only and has no effect on the systematic 190/40 denominators.,BAIIW0182,,extraction/extraction_manifest.json;closure/supplemental_context_registry.csv,Non-systematic citation chasing,The paper may inform later context or design discussion.,Treat the paper as a retroactive BAII systematic hit or included work.,LOW,LOW,LOW,BAII.4 deferred-citation record and BAII.5 arXiv verification.
CLM013,DESIGN_CONSIDERATION,The gate hierarchy is triggered because at least one confirmed DIRECT F3A overlap with F3A_REDRAFT_REQUIRED has sufficient evidence and affects the central catalogue-scale contribution/framing.,BAIIW0001;BAIIW0003,BAII4E0001;BAII4E0002;BAII4E0003;BAII4E0004;BAII4E0009;BAII4E0010;BAII4E0011;BAII4E0012,closure/critical_overlap_review.csv;closure/final_gate_decision.json,Frozen BAII.5 gate rule,F3A design must be reconsidered prospectively before it is scientifically frozen.,"F3A is cancelled, invalidated, or necessarily non-novel.",CENTRAL,NONE,HIGH,Hierarchy A satisfied; BAIIW0001 independently supplies sufficient direct evidence even if BAIIW0003 remains access-limited.
CLM014,SYSTEMATIC_CORPUS_FACT,"BAII.5 does not modify F0–F2, BAII.1–BAII.4, F3A or F3B, and no new systematic search is executed.",,,closure/final_synthesis_audit.json,Governance,BAII.5 is a documentary synthesis and pre-design gate.,The gate itself constitutes the redesigned F3A protocol.,HIGH,HIGH,MEDIUM,Hash-based historical freeze validation and closure audit.
